id,backside,betrayed,brnagain,call,cdnum,cruzhone,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,gop20162,gop201_1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,muslimba,ncrprs16,outsider,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,prevpri,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,rubiohon,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,vetvoter,votenovc,votenovr,votenovt,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
491370,Not complete,Yes, ,Call 1,10, ,Very worried,Worried, , , , ,5, ,Ted Cruz,Donald Trump, , , , , , , , , , , , ,Ted Cruz,Be from outside the political establishment, , , , , , , ,13, , ,White,White,State questionnaire,White,White,South, ,Male,White men,Suburbs,Suburbs, North Carolina,Election day exit poll, , , , , , , ,Not Donald Trump, ,Version 2, , , , ,1.34950542449951, , ,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
494686,Not complete, , ,Call 1,8, , , , , , , ,3,Holding steady financially, , , , ,Offered a chance to apply for legal status, , , , , , , , , ,Ted Cruz, , , , , , , , ,8, , ,White,White,State questionnaire,White,White,South, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that, , ,Not Donald Trump, ,Version 1,No, , , ,1.46961402893066, , ,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
500174,Not complete, , ,Call 2,13, , , , , , , ,2,Holding steady financially, , , , ,Deported to the country they came from, , , , , , , , , ,Ted Cruz, , , , , , , , ,96, , , , ,State questionnaire, , ,South, ,Female, ,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Seriously consider voting for a third party candidate,Sometime last week,Earlier than that,In the last month,This week, , ,Not Donald Trump, ,Version 1,No, , , ,.645679354667664, , ,30-44,30-59,40-44,17-44,17-49,30-44,40-49, 
503323,Not complete,Yes, ,Call 3,3, ,Very worried,Worried, , , , ,1, ,Ted Cruz,Marco Rubio, , , , , , , , , , , , ,Ted Cruz,Omit, , , , , , , ,72, , ,Black,Black,State questionnaire,Black,Non-white,South, ,Female,Black women,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll, , , , , , , ,Not Donald Trump, ,Version 2, , , , ,1.19837331771851, , ,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Black 30-44
504209,Not complete, , ,Call 3,10, , , , , , , ,5,Getting ahead financially, , , , ,Deported to the country they came from, , , , , , , , , ,Ted Cruz, , , , , , , , ,12, , ,White,White,State questionnaire,White,White,South, ,Female,White women,Suburbs,Suburbs, North Carolina,Election day exit poll,Be satisfied with that choice,In the last few days,Last few days,In the last month,This week, , ,Not Donald Trump, ,Version 1, , , , ,.786251604557037, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
506315,Not complete, , ,Call 3,6, , , , , , , ,4,Getting ahead financially, , , , ,Offered a chance to apply for legal status, , , , , , , , , ,Ted Cruz, , , , , , , , ,37, , ,White,White,State questionnaire,White,White,South, ,Male,White men,Suburbs,Suburbs, North Carolina,Election day exit poll,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that, , ,Not Donald Trump, ,Version 1,No, , , ,.525662064552307, , ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
490726,Complete,Yes, , ,12, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate, ,1, ,Ted Cruz,Marco Rubio, , , , , , , , , , ,Terrorism, ,Ted Cruz,Omit, , , , ,Conservative,Conservative,Very conservative, ,Yes,Shares my values, , ,State questionnaire, , ,South, ,Male, ,Suburbs,Suburbs, North Carolina,Telephone survey, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Omit,Version 2, ,Definitely vote for him,Definitely vote for him,Probably vote for him,1.03352284431458, , ,30-44,30-59,30-39,17-44,17-49,30-44,30-39, 
492484,Complete,Yes, ,Call 1,10, ,Very worried,Worried, , , , ,5, ,Ted Cruz,Marco Rubio, , , , , , , , , , ,Economy/Jobs, ,Ted Cruz,Have experience in politics, , , , , , , ,88,Omit,Shares my values,White,White,State questionnaire,White,White,South, ,Female,White women,Rural,Small Cities/Rural, North Carolina,Election day exit poll, , , , , ,Omit, ,Not Donald Trump,Omit,Version 2, ,Definitely vote for him,Omit,Omit,1.02167153358459, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
492543,Complete, ,Yes,Call 1,5,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Holding steady financially, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Immigration,Support,Ted Cruz, , , , , ,Conservative,Conservative,Very conservative,46, ,Shares my values,White,White,State questionnaire,White,White,South,No,Male,White men,Suburbs,Suburbs, North Carolina,Election day exit poll,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1,No, , , ,1.03612983226776,No,White Born-again/Evangelical Christians,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
493228,Complete, ,Yes,Call 1,12,Yes, , ,College graduate,College graduate,More than High school graduate,White college degree,3,Omit, , ,Omit,Omit,Omit, , , , , , , ,Terrorism,Omit,Ted Cruz, , , , , , , , ,58, ,Shares my values,White,White,State questionnaire,White,White,South,Yes,Female,White women,"Cities over 500,000","Cities over 50,000", North Carolina,Election day exit poll,Seriously consider voting for a third party candidate,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,No, , , ,.731975495815277,No,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
493230,Complete, ,Yes,Call 1,12,Yes, , ,College graduate,College graduate,More than High school graduate,White college degree,3,Omit, , ,Omit,Omit,Omit, , , , , , , ,Terrorism,Omit,Ted Cruz, , , , , , , , ,58, ,Shares my values,White,White,State questionnaire,White,White,South,Yes,Female,White women,"Cities over 500,000","Cities over 50,000", North Carolina,Election day exit poll,Seriously consider voting for a third party candidate,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1,No, , , ,.731975495815277,No,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
493731,Complete, , ,Call 1,7,Yes, , ,College graduate,College graduate,More than High school graduate,White college degree,1,Falling behind financially, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Omit,Support,Ted Cruz, , , , , , , , ,3, ,Can bring needed change,White,White,State questionnaire,White,White,South,Omit,Male,White men,Rural,Small Cities/Rural, North Carolina,Election day exit poll,Seriously consider voting for a third party candidate,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1,No, , , ,2.11528849601746,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
494057,Complete, , ,Call 1,13,Yes, , , , , , ,2,Holding steady financially, , ,Omit,Omit,Deported to the country they came from, , , , , , , ,Economy/Jobs,Support,Ted Cruz, , , , , , , , ,96, ,Shares my values,White,White,State questionnaire,White,White,South,Yes,Female,White women,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1,No, , , ,.656765460968018, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
497423,Complete,Yes, ,Call 2,10, ,Very worried,Worried, , , , ,5, ,Ted Cruz,Marco Rubio, , , , , , , , , , ,Economy/Jobs, ,Ted Cruz,Have experience in politics, , , , ,Conservative,Conservative,Very conservative,88,Yes,Shares my values,White,White,State questionnaire,White,White,South, ,Male,White men,Rural,Small Cities/Rural, North Carolina,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2, ,Definitely vote for him,Probably vote for him,Probably vote for him,.964199006557465, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
