id,backside,brnagain,call,cdnum,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,outsider,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,scotusre,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,unfairre,version,vetvoter,vtrprs16,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
399017,Complete,No,Call 1,1,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,Omit,Democrat,White Democrat,Democrat,Democratic Men,Moderate/Liberal,Liberal,Liberal,15,Can bring needed change,White,White,State questionnaire,White,White,East,Donald Trump,Male,White men,"Cities 10,000-50,000",Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Ted Cruz,Version 1,Yes,Donald Trump,.379953145980835,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
399055,Complete,No,Call 1,1,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Have experience in politics,Democrat,White Democrat,Democrat,Democratic Women,Moderate/Liberal,Liberal,Liberal,15,Shares my values,White,White,State questionnaire,White,White,East,John Kasich,Female,White women,"Cities 10,000-50,000",Small Cities/Rural, Vermont,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Donald Trump,Version 1,No,John Kasich,.446885585784912,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
399279,Complete,No,Call 1,1,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Have experience in politics,Democrat,White Democrat,Democrat,Democratic Men,Moderate/Liberal,Moderate,Moderate,28,Tells it like it is,White,White,State questionnaire,White,White,East,John Kasich,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Donald Trump,Version 1,No,John Kasich,.785784780979156,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
399419,Complete,No,Call 1,1,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Immigration,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative,34,Can win in November,White,White,State questionnaire,White,White,East,Marco Rubio,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Donald Trump,Version 1,Yes,Marco Rubio,.76226407289505,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
399442,Complete,No,Call 1,1,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry", , , , , , , ,Government spending,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,34,Shares my values,White,White,State questionnaire,White,White,East,Ted Cruz,Female,White women,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Donald Trump,Version 1,No,Ted Cruz,.950260758399963, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
399493,Complete,No,Call 1,1,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,34,Can bring needed change,White,White,State questionnaire,White,White,East,Marco Rubio,Female,White women,Rural,Small Cities/Rural, Vermont,Election day exit poll,In the last few days,Last few days,In the last month,This week,Donald Trump,Donald Trump,Version 1,No,Donald Trump,.994654715061188,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
399753,Complete,No,Call 1,1,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,11,Can win in November,White,White,State questionnaire,White,White,East,John Kasich,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,John Kasich,Version 1,Yes,John Kasich,.368101358413696,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
399763,Complete,No,Call 1,1,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Immigration,Be from outside the political establishment,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Somewhat conservative,34,Tells it like it is,White,White,State questionnaire,White,White,East,Donald Trump,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Marco Rubio,Version 1,Yes,Donald Trump,1.01624989509583,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
399778,Complete,No,Call 1,1,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,34,Tells it like it is,White,White,State questionnaire,White,White,East,Donald Trump,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Marco Rubio,Version 1,No,Donald Trump,1.01624989509583,Yes,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
399779,Complete,Yes,Call 1,1,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Have experience in politics,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Very conservative,11,Shares my values,White,White,State questionnaire,White,White,East,John Kasich,Female,White women,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,John Kasich,Version 1,No,John Kasich,.564223051071167,No,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
399796,Complete,No,Call 1,1,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,34,Can win in November,White,White,State questionnaire,White,White,East,Donald Trump,Female,White women,Rural,Small Cities/Rural, Vermont,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Donald Trump,John Kasich,Version 1,No,Donald Trump,1.24473857879639,Yes,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
399809,Complete,No,Call 1,1,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,11,Can win in November,White,White,State questionnaire,White,White,East,John Kasich,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,John Kasich,Version 1,No,John Kasich,.46065229177475,No,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
399813,Complete,No,Call 1,1,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,34,Shares my values,White,White,State questionnaire,White,White,East,Omit,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Ted Cruz,Version 1,No,John Kasich,.866557776927948,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
399817,Complete,No,Call 1,1,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Omit,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,1,Tells it like it is,White,White,State questionnaire,White,White,East,John Kasich,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Omit,Version 1,No,John Kasich,.976403295993805,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
399826,Complete,No,Call 1,1,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,34,Can bring needed change,White,White,State questionnaire,White,White,East,John Kasich,Female,White women,Rural,Small Cities/Rural, Vermont,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Omit,Version 1,No,John Kasich,.848143517971039,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
399843,Complete,No,Call 1,1,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,11,Can win in November,White,White,State questionnaire,White,White,East,John Kasich,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,John Kasich,Version 1,Yes,John Kasich,.368101358413696,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
399846,Complete,No,Call 1,1,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Have experience in politics,Democrat,White Democrat,Democrat,Democratic Men,Moderate/Liberal,Liberal,Liberal,34,Shares my values,White,White,State questionnaire,White,White,East,John Kasich,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Donald Trump,Version 1,No,John Kasich,.692455291748047,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
399847,Complete,No,Call 1,1,Very worried,Worried,College graduate,College graduate,More than High school graduate, ,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999", ,Economy/Jobs,Be from outside the political establishment,Independent/Something else, ,Independent, ,Conservative,Conservative,Somewhat conservative,1,Can win in November, , ,State questionnaire, , ,East,Marco Rubio, , ,Rural,Small Cities/Rural, Vermont,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,John Kasich,Version 1,Yes,Marco Rubio,.710383355617523, ,All others,65+,60+,65 or over,45+,50+,60+,65+, 
399860,Complete,Yes,Call 1,1,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,34,Shares my values,White,White,State questionnaire,White,White,East,John Kasich,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Donald Trump,Version 1,No,John Kasich,2.50608563423157,No,White Born-again/Evangelical Christians,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
399868,Complete,No,Call 1,1,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,1,Can bring needed change,White,White,State questionnaire,White,White,East,John Kasich,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Donald Trump,Version 1,No,John Kasich,1.22189819812775,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
399873,Complete,No,Call 1,1,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Immigration,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,11,Tells it like it is,White,White,State questionnaire,White,White,East,Ted Cruz,Male,White men,Rural,Small Cities/Rural, Vermont,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Ted Cruz,Version 1,No,Ted Cruz,.412421137094498,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
399874,Complete,No,Call 1,1,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", , , , , , , ,Economy/Jobs,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,34,Can bring needed change,White,White,State questionnaire,White,White,East,John Kasich,Female,White women,Rural,Small Cities/Rural, Vermont,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Donald Trump,Version 1,No,John Kasich,.848143517971039, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
