ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CICDEM16,CLINHONEST,CLINREALISTIC,CLINTONLIB,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GENDISS,GENDISS2,GEOCODE,GETAHEAD,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INSPIRES16D,ISSDEM16,MARRIED,MODPRS16,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDERSLIB,SANDHONEST,SANDREALISTIC,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,UNIONHH12,VERSION,WEIGHT,WHNCLINC
491778.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,8.0,Hillary Clinton,Yes,,,,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,,,2.0,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Hillary Clinton,Income inequality,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,67.0,,Cares about people like me,White,White,State questionnaire,White,White,,,,,Midwest,,Yes,,,,Female,White women,,Suburbs,Suburbs,Missouri,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,No,Version 1,1.16705453395844,No
491809.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,8.0,Bernie Sanders,No,,,,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,,,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Bernie Sanders,Economy/Jobs,,Bernie Sanders,Change to less liberal policies,Omit,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,67.0,,Honest and trustworthy,White,White,State questionnaire,White,White,,,,,Midwest,,Yes,,,,Male,White men,,Suburbs,Suburbs,Missouri,Election day exit poll,In the last few days,Last few days,In the last month,This month,Creates more U.S. jobs,No,Version 1,0.976065576076508,No
491836.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,8.0,Bernie Sanders,No,,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Bernie Sanders,Income inequality,,Bernie Sanders,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,67.0,,Honest and trustworthy,White,White,State questionnaire,White,White,,,,,Midwest,,Yes,,,,Male,White men,,Suburbs,Suburbs,Missouri,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,No,Version 1,0.976065576076508,No
491857.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,8.0,Bernie Sanders,No,,,,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,,,2.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Bernie Sanders,Income inequality,,Bernie Sanders,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,67.0,,Honest and trustworthy,White,White,State questionnaire,White,White,,,,,Midwest,,Yes,,,,Female,White women,,Suburbs,Suburbs,Missouri,Election day exit poll,Just today,Last few days,In the last month,This month,Creates more U.S. jobs,No,Version 1,0.808645367622375,Yes
491902.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 1,8.0,Hillary Clinton,Yes,,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,2.0,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Bernie Sanders,Health care,,Bernie Sanders,Generally continue Barack Obama's policies,Have experience in politics,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Very liberal,Liberal,Liberal,67.0,,Can win in November,White,White,State questionnaire,White,White,,,,,Midwest,,No,,,,Male,White men,,Suburbs,Suburbs,Missouri,Election day exit poll,In the last few days,Last few days,In the last month,This month,Takes away U.S. jobs,Yes,Version 1,0.82140576839447,Yes
491940.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Bernie Sanders,Call 1,8.0,,,Not realistic,Too liberal,Favors the wealthy,,,College graduate,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,2.0,Falling behind financially,,,,,,,,,Terrorism,Yes,Bernie Sanders,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,67.0,No,Cares about people like me,White,White,State questionnaire,White,White,Gotten worse,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,Midwest,About right,,Realistic,Dissatisfied,Satisifed,Female,White women,Married women,Suburbs,Suburbs,Missouri,Election day exit poll,,,,,,,Version 2,0.851633787155151,
491966.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Bernie Sanders,Call 1,8.0,,,Realistic,About right,Favors the wealthy,,,College graduate,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,2.0,Getting ahead financially,,,,,,,,,Health care,Yes,Bernie Sanders,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,67.0,Yes,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,About right,,Realistic,Satisifed,Satisifed,Female,White women,Married women,Suburbs,Suburbs,Missouri,Election day exit poll,,,,,,,Version 2,0.851633787155151,
491993.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Hillary Clinton,Call 1,2.0,,,Realistic,About right,Favors the wealthy,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,The single most important factor,The single most important factor or one of several important factors,1.0,Getting ahead financially,,,,,,,,,Income inequality,Yes,Hillary Clinton,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,109.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,Too liberal,,Not realistic,Satisifed,Dissatisfied,Male,Black men,Married men,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,,,,,,,Version 2,1.78795611858368,
491999.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 1,8.0,,,Realistic,Not liberal enough,Favors the wealthy,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,One of several important factors,The single most important factor or one of several important factors,2.0,Holding steady financially,,,,,,,,,Economy/Jobs,,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,67.0,Yes,Has the right experience,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,Too liberal,,Realistic,Satisifed,Dissatisfied,Female,White women,,Suburbs,Suburbs,Missouri,Election day exit poll,,,,,,,Version 2,1.17375636100769,
492030.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Bernie Sanders,Call 1,2.0,,,Realistic,Not liberal enough,Favors the wealthy,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Not an important factor,Not an important factor,1.0,Falling behind financially,,,,,,,,,Income inequality,Yes,Bernie Sanders,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,109.0,Yes,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,About right,,Realistic,Satisifed,Satisifed,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,,,,,,,Version 2,1.62223982810974,
