ID,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CICDEM16,CLINHONEST,CLINREALISTIC,CLINTONLIB,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GENDISS,GENDISS2,GEOCODE,GETAHEAD,ILDPRS16,ILDSEN16,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INSPIRES16D,ISSDEM16,MARRIED,OBAMAPLCY,OUTSIDER16,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDERSLIB,SANDHONEST,SANDREALISTIC,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE
501839.0,Complete,,Call 2,13.0,Bernie Sanders,No,,,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,,,5.0,,,Tammy Duckworth,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Bernie Sanders,Health care,,Change to less liberal policies,Be from outside the political establishment,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,6.0,Has the right experience,White,White,State questionnaire,White,White,,,,,Midwest,,No,,,,Female,White women,,Rural,Small Cities/Rural, Illinois,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Version 1,1.2995673418045,No,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
505615.0,Complete,,Call 3,14.0,Hillary Clinton,No,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,3.0,,,Tammy Duckworth,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Omit,Health care,,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,Moderate or conservative,Conservative,96.0,Can win in November,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,,Yes,,,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", Illinois,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Version 1,0.816081583499908,No,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+
505959.0,Complete,Hillary Clinton,Call 3,13.0,,,Not realistic,Not liberal enough,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Not an important factor,Not an important factor,5.0,Holding steady financially,,Tammy Duckworth,,,,,,,,,Terrorism,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,59.0,Can win in November,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,Too liberal,,Realistic,Dissatisfied,Satisifed,Male,White men,Non married men,Suburbs,Suburbs, Illinois,Election day exit poll,,,,,,Version 2,0.601375877857208,,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
500982.0,Complete,,Call 2,13.0,Bernie Sanders,No,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,4.0,,,Tammy Duckworth,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Bernie Sanders,Income inequality,,Change to more liberal policies,Have experience in politics,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,81.0,Honest and trustworthy,White,White,State questionnaire,White,White,,,,,Midwest,,Yes,,,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.776802182197571,Yes,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
494824.0,Complete,,Call 1,7.0,Hillary Clinton,Yes,,,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,,,1.0,,,Tammy Duckworth,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Hillary Clinton,Omit,,Change to more liberal policies,Omit,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,100.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,,No,,,,Female,Black women,,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,0.897831380367279,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44
506174.0,Complete,Hillary Clinton,Call 3,6.0,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,3.0,Getting ahead financially,,Napoleon Harris,,,,,,,,,Income inequality,Yes,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,9.0,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,About right,,Realistic,Satisifed,Satisifed,Female,White women,Married women,Suburbs,Suburbs, Illinois,Election day exit poll,,,,,,Version 2,0.435181736946106,,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
501084.0,Complete,Hillary Clinton,Call 2,14.0,,,Not realistic,Too liberal,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,3.0,Getting ahead financially,,Andrea Zopp,,,,,,,,,Economy/Jobs,Yes,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,33.0,Can win in November,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,Too liberal,,Not realistic,Dissatisfied,Dissatisfied,Female,White women,Married women,Suburbs,Suburbs, Illinois,Election day exit poll,,,,,,Version 2,0.874816834926605,,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
495480.0,Complete,,Call 1,2.0,Bernie Sanders,Yes,,,Not at all worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,2.0,,,Andrea Zopp,,,,,,,,Omit,Economy/Jobs,,Generally continue Barack Obama's policies,Be from outside the political establishment,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Very liberal,Liberal,Liberal,131.0,Cares about people like me,White,White,State questionnaire,White,White,,,,,Midwest,,Yes,,,,Male,White men,,Suburbs,Suburbs, Illinois,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Version 1,0.997174501419067,,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
494656.0,Complete,,Call 1,2.0,Omit,Omit,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,4.0,,,Other,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Omit,Omit,,Omit,Omit,Independent/Something else,Black non-Democrat,Black Independent,Something else,All others,,,,35.0,Omit,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,,Omit,,,,Male,Black men,,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll,Omit,Omit,Omit,Omit,Omit,Version 1,0.0,No,17-29,17-29,25-29,17-44,17-49,17-29,25-29,Black 17-29
501491.0,Complete,Bernie Sanders,Call 2,7.0,,,Not realistic,Not liberal enough,,,,,,,The single most important factor,The single most important factor or one of several important factors,1.0,Falling behind financially,Did not vote,Andrea Zopp,,,,,,,,,Income inequality,,,,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,117.0,Honest and trustworthy,Other,Asian,State questionnaire,Asian,Non-white,Gotten better,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,Midwest,Not liberal enough,,Realistic,Dissatisfied,Satisifed,Male,All other races,,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,,,,,,Version 2,2.29809045791626,,17-29,17-29,17-24,17-44,17-49,17-29,17-24,All others
