id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,garprs16,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,unfairre,version,vetvoter,weight,whnclinc,whtevang
396430,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,8, , , ,College graduate,College graduate,More than High school graduate,White college degree,Jeb Bush,4,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can win in November,White,White,State questionnaire,White,White,South,Omit,Omit,Dissatisfied,Donald Trump,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000", Georgia,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.93515431880951,No,White Born-again/Evangelical Christians
396584,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,Yes, ,3,Omit,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,Jeb Bush,4, , , , , , , , , , ,Omit,Terrorism, ,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs, Georgia,Telephone survey, , , , ,Not Donald Trump,Omit,Version 2,No,.893257081508636, ,White Born-again/Evangelical Christians
396596,65+,60+,65 or over,45+,50+,60+,65+, , , ,Complete,Yes,Yes, ,12,Donald Trump,Not too worried,Not worried, , , , ,Jeb Bush,5, , , , , , , , , , ,Omit,Omit, ,Omit,45+,65+, , , , , , , , ,Can win in November, , ,State questionnaire, , ,South, , , , ,Female, ,Not much,Not much or not at all,Rural,Small Cities/Rural, Georgia,Telephone survey, , , , ,Not Donald Trump,Omit,Version 2,No,.229981824755669, ,All others
396615,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No, , ,7,Donald Trump,Not too worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Jeb Bush,1, , , , , , , , , , ,Omit,Economy/Jobs, ,Omit,45+,65+, , , , ,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,Suburbs,Suburbs, Georgia,Telephone survey, , , , ,Not Donald Trump,Ted Cruz,Version 2,Yes,.536611974239349, ,All others
396643,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,Yes, ,3,Omit,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,Jeb Bush,3, , , , , , , , , , ,Omit,Omit, ,Omit,45+,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative, ,Omit,White,White,State questionnaire,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Georgia,Telephone survey, , , , ,Not Donald Trump,Ted Cruz,Version 2,No,.295340359210968, ,White Born-again/Evangelical Christians
402276,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,13, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Jeb Bush,3,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,26,Can bring needed change,White,White,State questionnaire,White,White,South,Dissatisfied,Dissatisfied,Satisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs, Georgia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.02673745155334,Yes,White Born-again/Evangelical Christians
407542,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes, ,Call 2,8,Omit,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,Jeb Bush,5, , , , , , , , , , ,Omit,Terrorism, ,Omit,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,155,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,Rural,Small Cities/Rural, Georgia,Election day exit poll, , , , ,Not Donald Trump,Omit,Version 2,Yes,.536647915840149, ,All others
407828,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 2,9, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Jeb Bush,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,110,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs, Georgia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,1.43986356258392,No,White Born-again/Evangelical Christians
412009,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Yes,Call 2,1,Omit,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Jeb Bush,5, , , , , , , , , , ,Ted Cruz,Government spending, ,Have experience in politics,18-44,18-64,Democrat,White Democrat,Democrat,Democratic Men,Conservative,Conservative,Very conservative,13,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000", Georgia,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Version 2,No,.757196962833405, ,White Born-again/Evangelical Christians
413912,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 3,2, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,Jeb Bush,4,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,143,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs, Georgia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.84038925170898,No,White Born-again/Evangelical Christians
