id,backside,betrayed,break12p,breakfac,breakimp,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satrep16,scotusre,scrprs16,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,unfairre,version,vetvoter,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
129389,Complete, ,Not a factor at all,Not a factor,Not important,No,Call 1,7, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry", ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Immigration, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,45,Shares my values,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,Not much,Not much or not at all,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,No,1.26234269142151,Yes,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
129392,Complete, ,A minor factor,A factor,Not important,Yes,Call 1,7, , , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Economy/Jobs, , ,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,45,Can bring needed change,Other,American Indian,State questionnaire,Other,Non-white,South, ,Jeb Bush,Jeb Bush,Male,All other races,Not at all,Not much or not at all,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,Yes,1.17895090579987,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,All others
129417,Complete, ,Not a factor at all,Not a factor,Not important,No,Call 1,7, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Terrorism, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,45,Can bring needed change,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,A great deal,A great deal or somewhat,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1,Yes,1.08952951431274,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
129426,Complete, ,Not a factor at all,Not a factor,Not important,Yes,Call 1,1, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic", ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,25,Can win in November,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1,No,.931016206741333,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129479,Complete,No, , , , ,Call 1,2,Jeb Bush,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Economy/Jobs,Oppose,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,4,Shares my values,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Male,White men, , ,Suburbs,Suburbs,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2, ,1.35542833805084, , ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
129483,Complete,No, , , , ,Call 1,6,Jeb Bush,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Terrorism,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,88,Shares my values,White,White,State questionnaire,White,White,South,Omit, ,Jeb Bush,Male,White men, , ,Rural,Small Cities/Rural,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2, ,1.91394507884979, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129549,Complete,Yes, , , , ,Call 1,1,Jeb Bush,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,5, , ,Omit, , , , , , , ,Jeb Bush,Terrorism,Support,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,25,Shares my values,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,.931016206741333, , ,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
129555,Complete, ,Not a factor at all,Not a factor,Not important,Yes,Call 1,1, , , ,College graduate,College graduate,More than High school graduate,White college degree,5,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Government spending, , ,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,25,Can win in November,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Male,White men,Not much,Not much or not at all,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1,No,1.00742781162262,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129565,Complete,No, , , , ,Call 1,5,Jeb Bush,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,2, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Terrorism,Oppose,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,115,Can win in November,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Male,White men, , ,Suburbs,Suburbs,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,.905120074748993, , ,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
129579,Complete,No, , , , ,Call 1,5,Jeb Bush,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , ,Deported to the country they came from, , , , , , , ,Jeb Bush,Economy/Jobs,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,115,Tells it like it is,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Male,White men, , ,Suburbs,Suburbs,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,.964698016643524, , ,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
