id,backside,betrayed,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,hrctrump,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,nerprs16,novtrump,party,partybyr,partyid,partysex,partyuni,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumpvot,trumpwin,trumpw_1,version,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
628195,Complete,No,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Vote for Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Is divided now but will unite by November,Moderate/Liberal,Moderate,Moderate,8,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Just today,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.31727814674377,Yes,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628212,Complete,No, ,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,Ted Cruz,Very likely,Independent/Something else,White Independent,Independent,Independent Women,Will still be divided in November,Conservative,Conservative,Very conservative,8,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Just today,Last few days,In the last month,This week,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.31727814674377,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628215,Complete,Yes,No,Call 1,1,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Somewhat likely,Democrat,White Democrat,Democrat,Democratic Women,Will still be divided in November,Conservative,Conservative,Very conservative,64,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.18359565734863,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628216,Complete,Yes,Yes,Call 1,1,Postgraduate study,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Somewhat conservative,64,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.2193831205368,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628236,Complete,Yes, ,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,Ted Cruz,Not at all likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,8,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.35710763931274,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628244,Complete,Yes,Yes,Call 1,3,Postgraduate study,College graduate,More than High school graduate,Non white college degree,3,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Government spending,Ted Cruz,Not too likely,Independent/Something else,All Other,Independent,Independent Men,Will still be divided in November,Conservative,Conservative,Very conservative,8,Shares my values,Other,Other,State questionnaire,Other,Non-white,Midwest,Male,All other races,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.35710763931274,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,All others
628274,Complete,Yes,Yes,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Ted Cruz,Very likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,46,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.380876690149307,No,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
628278,Complete,No,No,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Not at all likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,46,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.380876690149307,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
628279,Complete,Omit, ,Call 1,3, , , , ,3,Omit,Omit,Not vote for either candidates, , , , , , , ,Omit,Ted Cruz,Very likely,Republican,All Republicans,Republican,Republican Men,Omit, , , ,53,Omit,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Omit,Omit,Version 1,1.72120976448059, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628282,Complete,Yes,Yes,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Very likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Very conservative,46,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.36969843506813,No,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
