ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSGA08,SENGA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BAILOUT,BRNAGAIN,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BAILOUT2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400942.0, Georgia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,11.7066249847412,,Jim Martin,Female,White,18-24,Something else,Liberal,"$30,000-$49,999",College graduate,,Strongly disapprove,,No,The war in Iraq,Poor,Not at all worried,No,Can bring about needed change,One of several important factors,Earlier in October,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Suburbs,Suburbs,10.0,North,South,Low Density Rural,80s Suburbs,Urban Perimeter,Downscale,30666.0
4388644.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,16.0372467041016,,Saxby Chambliss,Male,White,40-44,Something else,Conservative,"$75,000-$99,999",Some college or associate degree,No,Somewhat approve,Somewhat oppose,No,Energy policy,Good,Omit,No,Shares my values,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Excellent/Good,Omit,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,10.0,North,South,Low Density Rural,Rural,Rural,Downscale,30549.0
4388578.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,17.6484870910645,,Saxby Chambliss,Male,White,50-59,Something else,Conservative,,Some college or associate degree,No,Strongly disapprove,Somewhat support,Yes,Health care,Poor,Somewhat worried,No,Shares my values,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,No college degree,More than High school graduate,White no college degree,,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,White Born-again/Evangelical Christians,Suburbs,Suburbs,9.0,North,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30728.0
4388685.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Other,Male,White,50-59,Something else,Conservative,,Some college or associate degree,No,Strongly disapprove,Strongly oppose,Yes,Terrorism,Poor,Very worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,No college degree,More than High school graduate,White no college degree,,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,Suburbs,Suburbs,9.0,North,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,30707.0
4388847.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.350038975477219,Barack Obama,Jim Martin,Female,White,65-74,Independent,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,Strongly oppose,Yes,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Oppose,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,9.0,North,South,Low Density Rural,Rural,Rural,Downscale,30533.0
4388845.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.21558976173401,Barack Obama,Jim Martin,Male,Hispanic/Latino,50-59,Something else,Liberal,"$200,000 or more",College graduate,Yes,Strongly disapprove,Somewhat oppose,No,The economy,Not so good,Very worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,Oppose,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",10.0,North,South,Suburb,Urban,Urban Core,Upscale,30606.0
4388837.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.45322585105896,Barack Obama,Jim Martin,Female,White,30-39,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,Somewhat support,No,The economy,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Support,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,8.0,North,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,30014.0
4388827.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,12.0355739593506,Barack Obama,Jim Martin,Female,Black,30-39,Democrat,Moderate,"Under $15,000",Some college or associate degree,No,Strongly disapprove,Strongly support,No,Health care,Poor,Not at all worried,No,Cares about people like me,One of several important factors,Sometime in September,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,Support,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,11.0,North,South,Town,Rural,Rural,Downscale,30165.0
4388741.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.73621940612793,Barack Obama,Jim Martin,Female,Black,50-59,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,Somewhat support,No,The economy,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,Support,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,8.0,North,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Downscale,30016.0
4388726.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.371472358703613,Barack Obama,Jim Martin,Female,White,50-59,Democrat,Moderate,,College graduate,No,Strongly disapprove,Somewhat support,No,The economy,Not so good,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,College graduate,More than High school graduate,White college degree,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Rural,Small Cities/Rural,3.0,North,South,Low Density Rural,Rural,Rural,Very downscale,30204.0
