ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMD08,HOU08MD,MDQUES2,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,AGEISS4,ATTEND,BAILOUT,BREAK08,BRNAGAIN,BUSHMCCAIN,CELLULAR,CHILD,CONGRESS4,COUNTACC,DRILL,EXPER08,FINSIT,FINWORR,FIRSTLDY08,FNEC,GAY,GOTV08,GOVTDO,GUNOWNER,HEALTHCARE,HILLPSPRT,HRCVMCCN,INTOUCH08,INVESTOR,IRAQWAR,ISSUE08,ISSVQUAL,JUDGMENT08,MARRIED,MCCAINWIN,NEC,NECWORRY,NEWVOTER,OBAMALIB,OBAMWIN,QLT08,RACEISS4,RACERELATIONS,RELIGN8,SUPREME,TAXGOUP,TERRWORR,TIME08,TRACK,UNFR08,UNION4,VETVOTER,VOTE2004,VPQUAL08,WORK,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISSA,AGEISSB,ATTEND2,ATTREL,BAILOUT2,BREAK08A,BREAK08B,CONGRESS,COUNT2,DRILL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,FINWORR2,FIRSTMCCAIN,FIRSTOBAMA,GOTVMCCAIN,GOTVOBAMA,HEALTHCARE2,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,JUDGEMCCAIN,JUDGEOBAMA,MARCHILD,MARPAR,MARRIEDMOM,NEC2,NECWORR2,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,RACERELATIONS3,REL5,SUPREMEA,SUPREMEB,TAXMCCAIN,TAXOBAMA,TERWORR2,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,VPQUALBIDEN,VPQUALPALIN,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4436868.0, Maryland,66.0,National questionnaire,Version 4,Call 2,Not complete,Election day exit poll,1.02282845973969,Barack Obama,The Democratic candidate,No,Male,Hispanic/Latino,40-44,Something else,,,Postgraduate study,Yes,,,,,,Yes,,,Yes,,,,,,,,Get worse,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Sometime in September,,,,,,,,,Non black male,Latino men,Non white male,Non white,Married men,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,,,,,,,,,,,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,,,,,,,,,Married with children,Married men with children,All men,,,Dads - Men with children,Independent/Something else,Non black non Democrat,Latino Independents,All others,Other,All others,,,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,3.0,Baltimore Suburbs,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,21075.0
4436869.0, Maryland,66.0,National questionnaire,Version 4,Call 2,Not complete,Election day exit poll,1.02282845973969,Barack Obama,The Democratic candidate,No,Male,Hispanic/Latino,40-44,Something else,,,Postgraduate study,Yes,,,,,,Yes,,,Yes,,,,,,,,Get worse,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Sometime in September,,,,,,,,,Non black male,Latino men,Non white male,Non white,Married men,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,,,,,,,,,,,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,,,,,,,,,Married with children,Married men with children,All men,,,Dads - Men with children,Independent/Something else,Non black non Democrat,Latino Independents,All others,Other,All others,,,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,3.0,Baltimore Suburbs,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,21075.0
4463616.0, Maryland,110.0,National questionnaire,Version 3,Call 3,Complete,Election day exit poll,0.622322916984558,Barack Obama,The Democratic candidate,No,Female,Other,30-39,Democrat,,,College graduate,No,,,,Strongly oppose,,,,,,Strongly disapprove,,Omit,Only Barack Obama,Worse today,Very worried,,,,,Government should do more to solve problems,,Very worried,,,Only Barack Obama,,,,,Only Barack Obama,,,,,,About right,,,,Stay about the same,,Not a factor at all,Stay the same or go down,Not too worried,,,,,,,,,,Non black female,All other races,Non white female,Non white,,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,,,,,Oppose,,,Disapprove,,Omit,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,Worried,,,,,Worried,,,,,,John McCain is not,Barack Obama is,,John McCain does not,Barack Obama does,,,,,,,Democrat,Non black Democrat,All other,All others,Other,,,,Stay about the same,,Not important,Not a factor,Not go up if McCain is elected president,Not go up if Obama is elected president,Not worried,,,,,,,,,,,,,,,,,Rural,Small Cities/Rural,1.0,Rest of State,East,Low Density Rural,Rural,Rural,Downscale,21625.0
4468298.0, Maryland,97.0,National questionnaire,Version 2,Call 3,Not complete,Election day exit poll,2.20587801933289,Barack Obama,,,Male,Other,50-59,,,,,No,,,,,Omit,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can bring about needed change,,,,,,,Just today,,,,,,,,,Non black male,All other races,Non white male,Non white,,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,,,,,,Omit,Omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Indian,All others,,,,,,,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,,,,,,,,All others,,,,Suburbs,Suburbs,5.0,DC Suburbs,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,20744.0
4411299.0, Maryland,42.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.679213523864746,Barack Obama,The Democratic candidate,No,Male,Asian,30-39,Independent,Liberal,,Postgraduate study,No,,,,Somewhat oppose,,,,,,Somewhat approve,,Strongly oppose,Only Barack Obama,Better today,Somewhat worried,,,,,Government should do more to solve problems,,Not very worried,,,Only Barack Obama,Yes,,,,Only Barack Obama,,,,,,Too conservative,,,,Get somewhat better,,One of several important factors,Go up no matter which candidate wins,Somewhat worried,,,,,,,,,,Non black male,All other races,Non white male,Non white,,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,,,,,Oppose,,,Approve,,Oppose,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,Worried,,,,,Not worried,,,,,,John McCain is not,Barack Obama is,,John McCain does not,Barack Obama does,,,,,,,Independent/Something else,Non black non Democrat,All other,All others,Asian,,,,Get better,,Important,Factor,Go up if McCain is elected president,Go up if Obama is elected president,Worried,,,,,,,,,,,,,,,,,"Cities over 500,000","Cities over 50,000",3.0,Baltimore City,East,Suburb,Urban,Urban Core,Very upscale,21210.0
4460367.0, Maryland,58.0,National questionnaire,Version 2,Call 3,Complete,Election day exit poll,0.716100633144379,Barack Obama,The Democratic candidate,Yes,Male,Hispanic/Latino,50-59,Independent,,,High school graduate,Yes,Omit,Omit,,,One of several important factors,,Omit,Omit,,,,,,,,,,,Omit,,,,,Hillary Clinton,,,,Omit,Omit,,,,Poor,Somewhat worried,,,,Can bring about needed change,Omit,,,,,,Sometime in September,,Omit,,,,,,Omit,Non black male,Latino men,Non white male,Non white,,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,Omit,Omit,,,,Important,Was a factor,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,Omit,Omit,,,,,,,,,,,,,,,Not so good/Poor,Worried,,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,,Omit,Omit,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,Omit,Omit,,,,,,,,All others,,,,Suburbs,Suburbs,6.0,Rest of State,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,21703.0
4410261.0, Maryland,107.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,1.6525399684906,Barack Obama,The Democratic candidate,Yes,Male,Hispanic/Latino,30-39,Independent,Conservative,,College graduate,Yes,,,,Somewhat support,,,,,,Somewhat approve,,Strongly oppose,Only Barack Obama,Better today,Somewhat worried,,,,,Government should do more to solve problems,,Not very worried,,,Only Barack Obama,No,,,,Only Barack Obama,,,,,,Omit,,,,Stay about the same,,A minor factor,Stay the same or go down,Somewhat worried,,,,,,,,,,Non black male,Latino men,Non white male,Non white,,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,,,,,Support,,,Approve,,Oppose,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,Worried,,,,,Not worried,,,,,,John McCain is not,Barack Obama is,,John McCain does not,Barack Obama does,,,,,,,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,,,,Stay about the same,,Not important,Factor,Not go up if McCain is elected president,Not go up if Obama is elected president,Worried,,,,,,,,,,,,,,,,,"Cities 10,000-50,000",Small Cities/Rural,5.0,Rest of State,East,Town,Rural,Rural,Downscale,20653.0
4434696.0, Maryland,16.0,National questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.958079516887665,Barack Obama,The Democratic candidate,Yes,Female,Black,50-59,Democrat,Conservative,"$15,000-$29,999",,No,,Not a factor at all,,,Not a factor at all,Yes,Continue George W. Bush's policies,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's leadership/personal qualities,,,"Optimistic, but not excited",Not so good,,Yes,,Excited,Cares about people like me,One of several important factors,,,,,,Before that,,Both of them,,,,,,,Black female,Black women,Non white female,Non white,,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,Not Important,Was not a factor,,,,Not Important,Was not a factor,,,,,,,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,,,,All others,,,,Suburbs,Suburbs,3.0,Baltimore Suburbs,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21403.0
4413470.0, Maryland,103.0,National questionnaire,Version 2,Call 1,Not complete,Election day exit poll,0.961397051811218,Barack Obama,The Democratic candidate,Yes,Male,Black,65-74,Democrat,,,Some college or associate degree,No,,,,,One of several important factors,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can bring about needed change,,,,,,,Earlier in October,,,,,,,,,Black male,Black men,Non white male,Non white,,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,,,,,,Important,Was a factor,,,,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,1.0,Rest of State,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,21666.0
4408594.0, Maryland,58.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.769195377826691,Barack Obama,The Democratic candidate,Yes,Female,Black,60-64,Democrat,,,High school graduate,No,,,,,Omit,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can bring about needed change,,,,,,,Before that,,,,,,,,,Black female,Black women,Non white female,Non white,,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,,,,,,Omit,Omit,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,6.0,Rest of State,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,21703.0
