ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMS08,SENMS08,SEN2MS08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401002.0, Mississippi,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Male,White,75 or over,Independent,Conservative,"$30,000-$49,999",Some college or associate degree,,Somewhat disapprove,Yes,Health care,Somewhat worried,Earlier in October,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Jackson and delta,South,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,39071.0
4401003.0, Mississippi,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,,Male,White,50-59,Independent,Conservative,,College graduate,,Somewhat disapprove,Yes,Energy policy,Not too worried,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Jackson and delta,South,Low Density Rural,Rural,Rural,Downscale,38829.0
4401584.0, Mississippi,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Female,Black,30-39,Democrat,Conservative,"$100,000-$149,999",Some college or associate degree,,,,,,,,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,No,,"Cities 10,000-50,000",Small Cities/Rural,4.0,Jackson and delta,South,Town,Rural,Rural,Downscale,39401.0
4401585.0, Mississippi,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,,,,Female,White,45-49,Republican,Moderate,"$50,000-$74,999",College graduate,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,No,,Suburbs,Suburbs,1.0,Jackson and delta,South,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,38632.0
4402246.0, Mississippi,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Female,White,30-39,Independent,Moderate,"$50,000-$74,999",Postgraduate study,,,Yes,,,Earlier in October,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,3.0,Jackson and delta,South,Low Density Rural,Rural,Rural,Downscale,39428.0
4411385.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.482264399528503,Barack Obama,,,Male,Black,50-59,Democrat,Liberal,"$15,000-$29,999",High school graduate,No,Somewhat disapprove,No,The economy,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4411439.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.734514772891998,John McCain,Thad Cochran,,Female,White,18-24,Republican,Conservative,"Under $15,000",Some college or associate degree,No,Somewhat approve,Yes,The war in Iraq,Somewhat worried,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4411615.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.610611438751221,Barack Obama,Erik Fleming,,Male,Black,45-49,Democrat,Liberal,,Did not complete high school,No,Omit,No,The economy,Very worried,Before that,Omit,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4411663.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.465234577655792,Barack Obama,,,Female,Black,,,,,College graduate,No,Strongly disapprove,No,Omit,Somewhat worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,,,,,,,,,,College graduate,More than High school graduate,Non white college degree,,,,,Worried,,,,,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4411836.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.465234577655792,Barack Obama,,,Female,Black,45-49,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,,Omit,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4411888.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.482264399528503,Barack Obama,,,Male,Black,45-49,Democrat,Liberal,"$15,000-$29,999",High school graduate,No,Somewhat disapprove,No,Health care,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
