ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSAK08,SENAK08,HSEAK08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ANWR,PALIN4,STEVENS,GUNOWNER,ISSUE08,NECWORRY,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,PALIN2,STEVENSA,STEVENSB,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAK,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4385706.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.560031116008759,Barack Obama,Mark Begich,Ethan Berkowitz,Female,White,50-59,Independent,Liberal,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Oppose,Somewhat disapprove,One of several important factors,No,Health care,Very worried,Shares my values,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-64,Disapprove,Important,A factor,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Anchorage,West,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,99508.0
4385707.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.3539696931839,John McCain,Mark Begich,Don Young,Female,White,75 or over,Something else,Conservative,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,Favor,Somewhat approve,The single most important factor,No,The economy,Somewhat worried,Cares about people like me,Not a factor at all,Omit,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Approve,Important,A factor,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Omit,Omit,Omit,Yes,All others,Suburbs,Suburbs,1.0,Anchorage,West,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,99501.0
4385710.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.480436593294144,Barack Obama,Mark Begich,Ethan Berkowitz,Male,White,45-49,Independent,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Oppose,Strongly disapprove,Not a factor at all,No,The economy,Not too worried,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-64,Disapprove,Not important,Not a factor,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Anchorage,West,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,99504.0
4385715.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.06351113319397,Did not vote,Mark Begich,Ethan Berkowitz,Female,White,30-39,,Liberal,"Under $15,000",College graduate,No,Strongly disapprove,No,Oppose,Strongly disapprove,Not a factor at all,No,Energy policy,Somewhat worried,Cares about people like me,A minor factor,Earlier in October,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Disapprove,Not important,Not a factor,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,,,,,White,White non born again,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Anchorage,West,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,99504.0
4385716.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.520550072193146,Barack Obama,Ted Stevens,Don Young,Female,White,30-39,Something else,Moderate,"$100,000-$149,999",Some college or associate degree,No,Strongly disapprove,No,Oppose,Strongly approve,A minor factor,No,Terrorism,Somewhat worried,Cares about people like me,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Approve,Not important,A factor,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Anchorage,West,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,99509.0
4385720.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.18616783618927,John McCain,Mark Begich,Ethan Berkowitz,Male,White,65-74,Independent,Liberal,,Some college or associate degree,No,Strongly approve,No,Favor,Strongly approve,Not a factor at all,No,Energy policy,Not too worried,Has the right experience,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Approve,Not important,Not a factor,No college degree,More than High school graduate,White no college degree,,,,,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Suburbs,Suburbs,1.0,Anchorage,West,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,99504.0
4385722.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.77925169467926,John McCain,Mark Begich,Ethan Berkowitz,Male,White,65-74,Republican,Moderate,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Favor,Somewhat approve,Not a factor at all,No,The economy,Somewhat worried,Has the right experience,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Approve,Not important,Not a factor,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Juneau/Fairbanks/Rural,West,Low Density Rural,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,99577.0
4385725.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.324061334133148,Barack Obama,Mark Begich,Ethan Berkowitz,Female,Hispanic/Latino,40-44,Democrat,Moderate,"$75,000-$99,999",College graduate,Yes,Somewhat disapprove,No,Favor,Strongly approve,A minor factor,No,The economy,Very worried,Can bring about needed change,One of several important factors,Before that,Disapprove,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,Approve,Not important,A factor,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Black,All others,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Anchorage,West,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,99501.0
4385726.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.305054932832718,Barack Obama,Mark Begich,Ethan Berkowitz,Female,Black,30-39,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Somewhat disapprove,No,Favor,Somewhat approve,A minor factor,No,The economy,Somewhat worried,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,Approve,Not important,A factor,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Anchorage,West,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,99504.0
4385730.0,Alaska,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.515855371952057,Barack Obama,Mark Begich,Ethan Berkowitz,Female,White,65-74,Independent,Moderate,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,No,Favor,Strongly disapprove,Not a factor at all,No,The economy,Very worried,Omit,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Disapprove,Not important,Not a factor,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Anchorage,West,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,99508.0
