ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWA08,GOVWA08,WAINIT1000,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,WAVT2004,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4395317.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Christine Gregoire,,Female,Other,75 or over,Democrat,Moderate,,College graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Neither of them,Christine Gregoire,Only Barack Obama,Strongly disapprove,The economy,Poor,Not at all worried,No,Cares about people like me,One of several important factors,Protestant,Before that,Omit,No one does,Disapprove,Non black female,All other races,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does not,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Not worried,Democrat,Non black Democrat,All other,All others,American Indian,All others,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Omit,Omit,No,No,No,Non-white,,All others,All others,All others,"Cities over 500,000","Cities over 50,000",7.0,King County,West,High Density Urban,Urban,Urban Core,Very upscale,98112.0
4394925.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,,Female,White,65-74,Republican,Conservative,"$50,000-$74,999",High school graduate,No,Somewhat disapprove,No,Take the country in a different direction,Both of them,Dino Rossi,Omit,Somewhat disapprove,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,Protestant,Earlier in October,Both of them,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Omit,Omit,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,6.0,Urban Puget Sound,West,Suburb,80s Suburbs,Urban Perimeter,Upscale,98367.0
4394667.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,,Female,Hispanic/Latino,,,Conservative,,Did not complete high school,Yes,Strongly approve,Yes,Omit,Omit,Dino Rossi,Omit,Somewhat approve,Terrorism,Not so good,Somewhat worried,No,Has the right experience,Not a factor at all,Other Christian,Before that,Omit,No one does,Approve,Non black female,Latino women,Non white female,Non white,,,,,,,,,,No college degree,High school graduate or less,Non white no college degree,Omit,Omit,,,,,Omit,Omit,Approve,Not so good/Poor,Worried,,,,,Hispanic/Latino,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Omit,Omit,No,No,No,Non-white,,All others,All others,All others,Rural,Small Cities/Rural,4.0,East,West,Extremely Low Density Rural,Rural,Rural,Very downscale,99344.0
4394870.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,Did not vote,Female,White,65-74,Independent,,"Under $15,000",Did not complete high school,No,Somewhat disapprove,Yes,Continue George W. Bush's policies,Neither of them,Dino Rossi,Neither of them,Somewhat disapprove,Energy policy,Poor,Very worried,No,Omit,Omit,Protestant,Earlier in October,Both of them,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Omit,Omit,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 10,000-50,000",Small Cities/Rural,6.0,West,West,Extremely Low Density Rural,Rural,Rural,Downscale,98363.0
4395350.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Female,White,60-64,Republican,Moderate,"Under $15,000",High school graduate,No,Somewhat approve,No,Take the country in a different direction,Omit,Omit,Only John McCain,Somewhat approve,Terrorism,Not so good,Very worried,No,Shares my values,Not a factor at all,Protestant,Before that,Both of them,No one does,Approve,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,Omit,Omit,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",3.0,West,West,Suburb,Urban,Urban Core,Downscale,98682.0
4395339.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,Yes,Female,Hispanic/Latino,50-59,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,Yes,Somewhat disapprove,No,Omit,Omit,Dino Rossi,Omit,Somewhat disapprove,The economy,Not so good,Not too worried,No,Shares my values,Not a factor at all,None,Before that,Both of them,"Yes, I do",Disapprove,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,Omit,Omit,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Omit,Omit,Disapprove,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,White,All others,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,I am,Yes,Non-white,No,All others,All others,All others,Rural,Small Cities/Rural,2.0,West,West,Low Density Rural,Rural,Rural,Very downscale,98284.0
4395335.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Christine Gregoire,Yes,Female,,60-64,Something else,Liberal,,College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Neither of them,Christine Gregoire,Neither of them,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,None,Sometime in September,Only John McCain,"Yes, I do",Disapprove,,,,,45-65,60+,45+,60+,50-64,18-64,,,,College graduate,More than High school graduate,,John McCain does not,Barack Obama does not,,,,,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,,,,,,Not important,Not a factor,None,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,Yes,I am,Yes,,,All others,All others,,Rural,Small Cities/Rural,6.0,West,West,Low Density Rural,Rural,Rural,Upscale,98365.0
4395294.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Female,White,75 or over,Independent,Moderate,,Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Christine Gregoire,Only Barack Obama,Somewhat disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Protestant,Sometime in September,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,"Cities 10,000-50,000",Small Cities/Rural,6.0,West,West,Low Density Rural,Rural,Rural,Very downscale,98584.0
4395269.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,Yes,Female,White,50-59,Independent,,,High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Omit,Christine Gregoire,Omit,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,A minor factor,Something else,Before that,Both of them,"Yes, I do and someone else does",Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Omit,Omit,,,,,Omit,Omit,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,I am,Yes,Something else,,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,West,West,Extremely Low Density Rural,Rural,Rural,Very downscale,98593.0
4395265.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Male,White,75 or over,Independent,Moderate,,High school graduate,No,Strongly disapprove,Yes,Omit,Omit,Christine Gregoire,Omit,Strongly disapprove,The war in Iraq,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,Other Christian,Sometime in September,Both of them,No one does,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Omit,Omit,,,,,Omit,Omit,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,2.0,Urban Puget Sound,West,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,98223.0
