ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMO08,GOVMO08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402248.0,Missouri,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Democrat,Liberal,,High school graduate,,,Yes,,,,,,,,,,,,Protestant,Before that,,"Yes, I do",,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,Yes,I am,Yes,Protestant/Other Christian,,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,3.0,St. Louis City,Midwest,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,63123.0
4402247.0,Missouri,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,60-64,Republican,Moderate,"$100,000-$149,999",Some college or associate degree,,,Yes,,,,,,,,,,,,Protestant,Before that,,No one does,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,2.0,St. Louis City,Midwest,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63011.0
4402249.0,Missouri,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,30-39,Independent,Conservative,"$75,000-$99,999",College graduate,,,No,,,,,,,,,,,,Catholic,Before that,,No one does,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,Catholic,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Catholic,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",5.0,St. Louis City,Midwest,Suburb,Urban,Urban Core,Very upscale,64114.0
4400422.0,Missouri,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,50-59,Independent,Moderate,"$15,000-$29,999",High school graduate,,,Yes,Continue George W. Bush's policies,,"No, I was not contacted",,The economy,Not so good,,No,,Can bring about needed change,A minor factor,,Before that,Neither of them,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,,,Yes,White Born-again/Evangelical Christians,,,Suburbs,Suburbs,9.0,St. Louis City,Midwest,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,65010.0
4400418.0,Missouri,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,45-49,Something else,Liberal,"$15,000-$29,999",College graduate,,,Yes,Continue George W. Bush's policies,,"No, I was not contacted",,The economy,Poor,,No,,Shares my values,Not a factor at all,,Sometime in September,Only John McCain,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,,,,,No,White Born-again/Evangelical Christians,,,Rural,Small Cities/Rural,9.0,St. Louis City,Midwest,Low Density Rural,Rural,Rural,Upscale,65251.0
4401586.0,Missouri,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Asian,30-39,Democrat,Liberal,,College graduate,,,,,Only Barack Obama,,Only Barack Obama,,,,,About right,,,,,,,,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,,,,,,,John McCain is not,Barack Obama is,,,Democrat,Non black Democrat,All other,All others,Asian,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,3.0,St. Louis City,Midwest,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63129.0
4401010.0,Missouri,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,45-49,Democrat,Liberal,"$15,000-$29,999",College graduate,,Strongly disapprove,Yes,Continue George W. Bush's policies,,"Yes, for John McCain",,The economy,Not so good,Not too worried,No,,Cares about people like me,Not a factor at all,,Before that,Neither of them,,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,,,John McCain did,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,Not so good/Poor,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,,,No,All others,,,Suburbs,Suburbs,6.0,St. Louis City,Midwest,Suburb,80s Suburbs,Urban Perimeter,Very upscale,64015.0
4401006.0,Missouri,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Independent,Moderate,"$30,000-$49,999",Postgraduate study,,Strongly disapprove,Yes,Continue George W. Bush's policies,,"No, I was not contacted",,The economy,Poor,Somewhat worried,No,,Can bring about needed change,Not a factor at all,,Earlier in October,Both of them,,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,,,,,No,White Born-again/Evangelical Christians,,,Rural,Small Cities/Rural,7.0,St. Louis City,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,64874.0
4401005.0,Missouri,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,60-64,Democrat,Conservative,,Some college or associate degree,,Somewhat approve,Yes,Continue George W. Bush's policies,,"No, I was not contacted",,The economy,Poor,Very worried,No,,Shares my values,Not a factor at all,,Sometime in September,Neither of them,,Approve,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,,,John McCain did not,Barack Obama did not,,,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did not,Barack Obama did not,,,,,,White Born-again/Evangelical Christians,,,Suburbs,Suburbs,4.0,St. Louis City,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,65706.0
4400417.0,Missouri,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,75 or over,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,,,Yes,Continue George W. Bush's policies,,"Yes, for both Obama and McCain",,The economy,Poor,,No,,Can bring about needed change,Not a factor at all,,Sometime in September,Only John McCain,,,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,College graduate,More than High school graduate,Non white college degree,,,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,,,Not so good/Poor,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,,,,,No,All others,,,Suburbs,Suburbs,1.0,St. Louis City,Midwest,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63031.0
4400416.0,Missouri,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Democrat,Moderate,,High school graduate,,,Yes,Continue George W. Bush's policies,,"Yes, for both Obama and McCain",,The economy,Poor,,No,,Can bring about needed change,Not a factor at all,,Before that,Neither of them,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,John McCain did,Barack Obama did,,,,,,,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,,,,White Born-again/Evangelical Christians,,,"Cities 50,000-500,000","Cities over 50,000",7.0,St. Louis City,Midwest,Suburb,Urban,Urban Core,Downscale,65802.0
4401587.0,Missouri,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Democrat,Moderate,,High school graduate,,,,,Only Barack Obama,,Only Barack Obama,,,,,About right,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,,,,,,,John McCain is not,Barack Obama is,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,5.0,St. Louis City,Midwest,Suburb,70s Suburbs,Urban Perimeter,Upscale,64056.0
4400421.0,Missouri,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Democrat,Conservative,"$50,000-$74,999",High school graduate,,,Yes,Take the country in a different direction,,"No, I was not contacted",,The war in Iraq,Poor,,No,,Shares my values,Not a factor at all,,Before that,Both of them,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,No,White Born-again/Evangelical Christians,,,Rural,Small Cities/Rural,4.0,St. Louis City,Midwest,Town,Rural,Rural,Downscale,65584.0
4400420.0,Missouri,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Independent,Conservative,"$75,000-$99,999",High school graduate,,,No,Take the country in a different direction,,"Yes, for both Obama and McCain",,Terrorism,Good,,No,,Has the right experience,A minor factor,,Sometime in September,Both of them,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Excellent/Good,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,,,,,No,All others,,,"Cities 50,000-500,000","Cities over 50,000",5.0,St. Louis City,Midwest,Low Density Rural,Urban,Urban Core,Upscale,64070.0
4401588.0,Missouri,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Something else,Moderate,"Under $15,000",High school graduate,,,,,Only John McCain,,Omit,,,,,Too liberal,,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Omit,Omit,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,Yes,,,,Suburbs,Suburbs,1.0,St. Louis City,Midwest,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63031.0
4401008.0,Missouri,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Republican,Conservative,"$100,000-$149,999",High school graduate,,Somewhat approve,Yes,Take the country in a different direction,,"Yes, for both Obama and McCain",,Energy policy,Not so good,Not too worried,No,,Shares my values,Not a factor at all,,Before that,Both of them,,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,John McCain did,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Not so good/Poor,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,No,White Born-again/Evangelical Christians,,,"Cities 10,000-50,000",Small Cities/Rural,8.0,St. Louis City,Midwest,Low Density Rural,Rural,Rural,Upscale,65401.0
