ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNY08,HOU08NY,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,AGEISS4,ATTEND,BAILOUT,BREAK08,BRNAGAIN,BUSHMCCAIN,CELLULAR,CHILD,CONGRESS4,COUNTACC,DRILL,EXPER08,FINSIT,FINWORR,FIRSTLDY08,FNEC,GAY,GOTV08,GOVTDO,GUNOWNER,HEALTHCARE,HILLPSPRT,HRCVMCCN,INTOUCH08,INVESTOR,IRAQWAR,ISSUE08,ISSVQUAL,JUDGMENT08,MARRIED,MCCAINWIN,NEC,NECWORRY,NEWVOTER,OBAMALIB,OBAMWIN,QLT08,RACEISS4,RACERELATIONS,RELIGN8,SPANISHQ,SUPREME,TAXGOUP,TERRWORR,TIME08,TRACK,UNFR08,UNION4,VETVOTER,VOTE2004,VPQUAL08,WORK,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISSA,AGEISSB,ATTEND2,ATTREL,BAILOUT2,BREAK08A,BREAK08B,CONGRESS,COUNT2,DRILL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,FINWORR2,FIRSTMCCAIN,FIRSTOBAMA,GOTVMCCAIN,GOTVOBAMA,HEALTHCARE2,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,JUDGEMCCAIN,JUDGEOBAMA,MARCHILD,MARPAR,MARRIEDMOM,NEC2,NECWORR2,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,RACERELATIONS3,REL5,SUPREMEA,SUPREMEB,TAXMCCAIN,TAXOBAMA,TERWORR2,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,VPQUALBIDEN,VPQUALPALIN,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400443.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Other,Female,Black,50-59,Independent,Moderate,"$100,000-$149,999",Postgraduate study,No,,Not a factor at all,,,,No,Take the country in a different direction,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's position on the issues,,,Scared,Poor,,No,,Excited,Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Both of them,,,,,,,Black female,Black women,Non white female,Non white,,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,Non white college degree,,,,,,John McCain did not,Barack Obama did not,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,,Disapprove,,,,,,Not so good/Poor,,,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,,,No,All others,,,,"Cities over 500,000","Cities over 50,000",7.0,New York City,East,Extremely High Density Urban,Urban,Urban Core,Downscale,10475.0
4400444.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Male,White,75 or over,Democrat,Moderate,"$30,000-$49,999",College graduate,No,,Not a factor at all,,,,No,Continue George W. Bush's policies,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's position on the issues,,,Scared,Poor,,No,,"Concerned, but not scared",Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,,Non black male,White men,White male,White male,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,"Cities over 500,000","Cities over 50,000",14.0,New York City,East,Extremely High Density Urban,Urban,Urban Core,Very upscale,10003.0
4400445.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Male,White,65-74,Independent,Moderate,"$30,000-$49,999",High school graduate,No,,The single most important factor,,,,Yes,Take the country in a different direction,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's position on the issues,,,"Concerned, but not scared",Poor,,No,,Excited,Shares my values,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,,Non black male,White men,White male,White male,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Disapprove,,,,,,Not so good/Poor,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,Yes,White Born-again/Evangelical Christians,,,,Suburbs,Suburbs,17.0,New York City,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,10965.0
4400446.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Male,White,40-44,Democrat,Moderate,"$200,000 or more",College graduate,No,,A minor factor,,,,No,Take the country in a different direction,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,Health care,My candidate's position on the issues,,,"Concerned, but not scared",Poor,,No,,Excited,Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Both of them,,,,,,,Non black male,White men,White male,White male,,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Not Important,Was a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,,,No,All others,,,,"Cities over 500,000","Cities over 50,000",12.0,New York City,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,11385.0
4400447.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,The Republican candidate,Male,White,75 or over,Republican,Conservative,"$30,000-$49,999",High school graduate,No,,Not a factor at all,,,,Yes,Take the country in a different direction,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Somewhat approve,Health care,My candidate's leadership/personal qualities,,,Excited,Omit,,No,,Scared,Has the right experience,Not a factor at all,,,English,,,,Earlier in October,,Omit,,,,,,,Non black male,White men,White male,White male,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Not Important,Was not a factor,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Approve,,,,,,Omit,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,Omit,Omit,,,,,,,Yes,White Born-again/Evangelical Christians,,,,"Cities 10,000-50,000",Small Cities/Rural,29.0,New York City,East,Town,Rural,Rural,Downscale,14760.0
4400448.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Male,Black,65-74,Democrat,Moderate,"$30,000-$49,999",College graduate,No,,One of several important factors,,,,No,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's leadership/personal qualities,,,Scared,Poor,,No,,"Optimistic, but not excited",Shares my values,Not a factor at all,,,English,,,,Before that,,Both of them,,,,,,,Black male,Black men,Non white male,Non white,,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,Important,Was a factor,,,,,,,,,College graduate,More than High school graduate,Non white college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,,,No,All others,,,,"Cities over 500,000","Cities over 50,000",5.0,New York City,East,Extremely High Density Urban,Urban,Urban Core,Upscale,11355.0
4400449.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Female,Black,65-74,Democrat,Liberal,"$30,000-$49,999",High school graduate,No,,One of several important factors,,,,No,Take the country in a different direction,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's position on the issues,,,"Concerned, but not scared",Poor,,No,,Excited,Shares my values,Not a factor at all,,,English,,,,Before that,,Both of them,,,,,,,Black female,Black women,Non white female,Non white,,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,,,No,All others,,,,"Cities over 500,000","Cities over 50,000",6.0,New York City,East,Extremely High Density Urban,Urban,Urban Core,Downscale,11434.0
4400450.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Female,White,75 or over,Republican,Moderate,"$30,000-$49,999",High school graduate,No,,A minor factor,,,,No,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Somewhat disapprove,The economy,My candidate's position on the issues,,,"Optimistic, but not excited",Poor,,No,,"Optimistic, but not excited",Can bring about needed change,Not a factor at all,,,English,,,,Earlier in October,,Only John McCain,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Not Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Disapprove,,,,,,Not so good/Poor,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,Yes,All others,,,,"Cities 10,000-50,000",Small Cities/Rural,22.0,New York City,East,Town,Rural,Rural,Upscale,12401.0
4400451.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Female,White,60-64,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,No,,Not a factor at all,,,,No,Continue George W. Bush's policies,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The economy,My candidate's leadership/personal qualities,,,Scared,Poor,,No,,Excited,Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,,Non black female,White women,White female,White female,,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,Rural,Small Cities/Rural,23.0,New York City,East,Extremely Low Density Rural,Rural,Rural,Downscale,13618.0
4400452.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Male,Black,50-59,Democrat,Moderate,"Under $15,000",High school graduate,No,,The single most important factor,,,,No,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The war in Iraq,My candidate's position on the issues,,,"Optimistic, but not excited",Poor,,No,,Scared,Can bring about needed change,Not a factor at all,,,English,,,,Earlier in October,,Only John McCain,,,,,,,Black male,Black men,Non white male,Non white,,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,Suburbs,Suburbs,25.0,New York City,East,Suburb,60s Suburbs,Urban Perimeter,Very upscale,14617.0
