ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMI08,SENMI08,MIPROP2,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,JOBSIT,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4389699.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.820984959602356,,,No,Female,White,75 or over,,,"Under $15,000",High school graduate,No,Omit,Yes,Take the country in a different direction,Both of them,,Both of them,Omit,Omit,Poor,Not at all worried,No,Has the right experience,One of several important factors,Protestant,Before that,Both of them,No one does,Omit,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is,Omit,Not so good/Poor,Not worried,,,,,White,White born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,4.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Downscale,48617.0
4389825.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.37437069416046,John McCain,,Yes,Female,White,,,,,,,Omit,,Omit,Omit,,Omit,Omit,Omit,Omit,Omit,,Omit,Omit,,Omit,Omit,,Omit,Non black female,White women,White female,White female,,,,,,,,,,,,,Omit,Omit,,,,,Omit,Omit,Omit,Omit,Omit,,,,,White,,Omit,Omit,,Omit,Omit,Omit,Omit,Omit,,,,,,All others,,,Rural,Small Cities/Rural,10.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Very downscale,48450.0
4389753.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.428579390048981,Barack Obama,Carl Levin,No,Female,White,65-74,Independent,Moderate,"$30,000-$49,999",College graduate,No,Somewhat disapprove,No,Continue George W. Bush's policies,Only Barack Obama,,Only Barack Obama,Somewhat disapprove,Health care,Omit,Not at all worried,No,Cares about people like me,Not a factor at all,Protestant,Before that,Neither of them,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Omit,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,"Cities 10,000-50,000",Small Cities/Rural,2.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Downscale,49601.0
4389788.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.930144250392914,John McCain,Other,No,Male,White,60-64,Republican,Conservative,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,Yes,Take the country in a different direction,Only John McCain,,Only John McCain,Strongly approve,Terrorism,Omit,Not too worried,No,Shares my values,Not a factor at all,Other Christian,Earlier in October,Both of them,No one does,Approve,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Omit,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,4.0,North/Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,49305.0
4389618.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.06809961795807,Barack Obama,Carl Levin,Yes,Female,White,75 or over,Republican,Moderate,,Some college or associate degree,No,Omit,No,Take the country in a different direction,Only John McCain,About the same,Neither of them,Somewhat approve,Omit,Not so good,Somewhat worried,No,Omit,Not a factor at all,Protestant,Before that,Both of them,No one does,Omit,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,,,,,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,"Cities 10,000-50,000",Small Cities/Rural,1.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Downscale,49707.0
4389500.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.30792152881622,Barack Obama,Carl Levin,Yes,Female,White,65-74,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,About the same,Only Barack Obama,Somewhat disapprove,The economy,Poor,Very worried,No,Cares about people like me,One of several important factors,Protestant,Before that,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,2.0,North/Northeast,Midwest,Suburb,60s Suburbs,Urban Perimeter,Very downscale,49444.0
4389476.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.871914446353912,Barack Obama,Carl Levin,No,Female,White,60-64,Independent,Conservative,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,No,Continue George W. Bush's policies,Both of them,About the same,Only Barack Obama,Somewhat approve,The economy,Not so good,Not too worried,No,Shares my values,Not a factor at all,Protestant,Before that,Only John McCain,"Yes, I do",Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Yes,I am,Yes,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Rural,Small Cities/Rural,1.0,North/Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,48647.0
4389857.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.873119413852692,John McCain,Carl Levin,Yes,Female,White,65-74,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,About the same,Only Barack Obama,Somewhat approve,Terrorism,Not so good,Very worried,No,Has the right experience,Not a factor at all,Catholic,Before that,Only Barack Obama,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,No,No,No,Catholic,No,All others,All others,All others,Rural,Small Cities/Rural,1.0,North/Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,49779.0
4389773.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.15248584747314,John McCain,Jack Hoogendyk,Yes,Male,White,30-39,Republican,Conservative,"$50,000-$74,999",High school graduate,No,Strongly approve,Yes,Take the country in a different direction,Only John McCain,About the same,Only John McCain,Strongly approve,Terrorism,Not so good,Not too worried,No,Has the right experience,Not a factor at all,Catholic,Before that,Both of them,"Yes, I do",Approve,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,I am,Yes,Catholic,No,White Born-again/Evangelical Christians,All others,All others,Rural,Small Cities/Rural,10.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Very downscale,48422.0
4389864.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.694302082061768,John McCain,Jack Hoogendyk,No,Male,Other,50-59,Republican,Conservative,"$100,000-$149,999",College graduate,No,Strongly approve,Yes,Take the country in a different direction,Only John McCain,About the same,Only John McCain,Somewhat approve,Terrorism,Not so good,Not at all worried,No,Has the right experience,Not a factor at all,Protestant,Before that,Both of them,"Yes, I do",Approve,Non black male,All other races,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,College graduate,More than High school graduate,Non white college degree,John McCain does,Barack Obama does not,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Not worried,Republican,Non black non Democrat,All Republicans,All others,American Indian,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,I am,Yes,Non-white,No,All others,All others,All others,Rural,Small Cities/Rural,4.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Upscale,49682.0
