ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMA08,SENMA08,HOU08MA,MAQUES1,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,AGEISS4,ATTEND,BAILOUT,BREAK08,BRNAGAIN,BUSHMCCAIN,CELLULAR,CHILD,CONGRESS4,COUNTACC,DRILL,EXPER08,FINSIT,FINWORR,FIRSTLDY08,FNEC,GAY,GOTV08,GOVTDO,GUNOWNER,HEALTHCARE,HILLPSPRT,HRCVMCCN,INTOUCH08,INVESTOR,IRAQWAR,ISSUE08,ISSVQUAL,JUDGMENT08,MARRIED,MCCAINWIN,NEC,NECWORRY,NEWVOTER,OBAMALIB,OBAMWIN,QLT08,RACEISS4,RACERELATIONS,RELIGN8,SUPREME,TAXGOUP,TERRWORR,TIME08,TRACK,UNFR08,UNION4,VETVOTER,VOTE2004,VPQUAL08,WORK,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISSA,AGEISSB,ATTEND2,ATTREL,BAILOUT2,BREAK08A,BREAK08B,CONGRESS,COUNT2,DRILL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,FINWORR2,FIRSTMCCAIN,FIRSTOBAMA,GOTVMCCAIN,GOTVOBAMA,HEALTHCARE2,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,JUDGEMCCAIN,JUDGEOBAMA,MARCHILD,MARPAR,MARRIEDMOM,NEC2,NECWORR2,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,RACERELATIONS3,REL5,SUPREMEA,SUPREMEB,TAXMCCAIN,TAXOBAMA,TERWORR2,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,VPQUALBIDEN,VPQUALPALIN,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4405038.0,Massachusetts,83.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.54258525371552,John McCain,Jeff Beatty' 9 'Other' 0 'Did not vote',The Republican candidate,Yes,Male,White,18-24,Republican,,,Postgraduate study,No,,,,,A minor factor,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has the right experience,,,,,,,Before that,,,,,,,,,Non black male,White men,White male,White male,,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,,,,,,Not Important,Was a factor,,,,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,,,,,,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4405165.0,Massachusetts,83.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.307424753904343,Other,Jeff Beatty' 9 'Other' 0 'Did not vote',Other,No,Female,White,65-74,Democrat,,,College graduate,No,,,,,Not a factor at all,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omit,,,,,,,Sometime in September,,,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,Not Important,Was not a factor,,,,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4405431.0,Massachusetts,83.0,National questionnaire,Version 2,Call 1,Not complete,Election day exit poll,1.29474437236786,Barack Obama,John Kerry,The Democratic candidate,No,Female,Black,40-44,Democrat,,,Some college or associate degree,No,,,,,Omit,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omit,,,,,,,Before that,,,,,,,,,Black female,Black women,Non white female,Non white,,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,,,,,,Omit,Omit,,,,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4405683.0,Massachusetts,83.0,National questionnaire,Version 2,Call 1,Not complete,Election day exit poll,1.47751951217651,Barack Obama,John Kerry,The Democratic candidate,No,Male,Black,18-24,Something else,,,Some college or associate degree,No,,,,,One of several important factors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can bring about needed change,,,,,,,Earlier in October,,,,,,,,,Black male,Black men,Non white male,Non white,,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,,,,,,Important,Was a factor,,,,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,,,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4406852.0,Massachusetts,83.0,National questionnaire,Version 3,Call 1,Not complete,Election day exit poll,0.983469009399414,,,,No,Female,White,65-74,Independent,,,High school graduate,No,,,,,,,,,,Strongly disapprove,,,,Worse today,Not too worried,,,,,Government should do more to solve problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,Disapprove,,,No college degree,High school graduate or less,White no college degree,,,Not worried,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4406958.0,Massachusetts,83.0,National questionnaire,Version 3,Call 1,Not complete,Election day exit poll,0.838189005851746,Barack Obama,John Kerry,The Democratic candidate,No,Male,White,50-59,Democrat,,,Some college or associate degree,No,,,,,,,,,,Somewhat disapprove,,,,Worse today,Very worried,,,,,Government should do more to solve problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black male,White men,White male,White male,,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,,,,,,Disapprove,,,No college degree,More than High school graduate,White no college degree,,,Worried,,,,,,,,,,,,,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4407084.0,Massachusetts,74.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.56829500198364,John McCain,Jeff Beatty' 9 'Other' 0 'Did not vote',The Republican candidate,No,Female,White,18-24,Republican,,,High school graduate,No,,,,,One of several important factors,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has the right experience,,,,,,,Sometime in September,,,,,,,,,Non black female,White women,White female,White female,,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,,,,,,Important,Was a factor,,,,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,10.0,North & South Shores and Cape Cod,East,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Upscale,2359.0
4407172.0,Massachusetts,72.0,National questionnaire,Version 3,Call 1,Not complete,Election day exit poll,0.604418218135834,John McCain,Jeff Beatty' 9 'Other' 0 'Did not vote',,No,Male,White,45-49,Republican,,,College graduate,No,,,,,,,,,,Strongly disapprove,,,,About the same,Somewhat worried,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black male,White men,White male,White male,,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,,,,,,,Disapprove,,,College graduate,More than High school graduate,White college degree,,,Worried,,,,,,,,,,,,,,,,,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,2.0,Other Large Industrial Cities,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1069.0
4407232.0,Massachusetts,74.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.56829500198364,John McCain,Jeff Beatty' 9 'Other' 0 'Did not vote',The Republican candidate,No,Male,White,50-59,Independent,,,Postgraduate study,No,,,,,Not a factor at all,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shares my values,,,,,,,Sometime in September,,,,,,,,,Non black male,White men,White male,White male,,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,,,,Not Important,Was not a factor,,,,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,10.0,North & South Shores and Cape Cod,East,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Upscale,2359.0
4407318.0,Massachusetts,92.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.7590092420578,Barack Obama,John Kerry,The Democratic candidate,No,Female,White,45-49,Independent,Liberal,,,No,,One of several important factors,,,Not a factor at all,No,Omit,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,Omit,My candidate's position on the issues,,,Scared,Not so good,,No,,"Optimistic, but not excited",Can bring about needed change,Not a factor at all,,,,,,Before that,,Neither of them,,,,,,,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Important,Was a factor,,,,Not Important,Was not a factor,,,,,,,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,Disapprove,,,,,,Not so good/Poor,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,,,,,,All others,,,,Suburbs,Suburbs,10.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,2189.0
