ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNC08,SENNC08,GOVNC08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4390725.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.67153549194336,Barack Obama,Did not vote,Did not vote,Female,White,50-59,Republican,Liberal,"$75,000-$99,999",College graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only John McCain,"No, I was not contacted",Only Barack Obama,Omit,The economy,Not so good,Very worried,No,Too liberal,Can bring about needed change,Not a factor at all,Before that,Omit,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Omit,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Omit,Omit,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,10.0,Mountain west,South,Low Density Rural,Rural,Rural,Very downscale,28645.0
4390727.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.35494244098663,Barack Obama,Did not vote,Bev Perdue,Female,White,75 or over,Democrat,Conservative,"Under $15,000",High school graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"Yes, for both Obama and McCain",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Very worried,No,About right,Cares about people like me,Omit,Earlier in October,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Omit,Omit,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,11.0,Mountain west,South,Low Density Rural,Rural,Rural,Very downscale,28762.0
4390393.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.45222210884094,Barack Obama,Did not vote,Bev Perdue,Female,Other,75 or over,Democrat,Conservative,"$50,000-$74,999",College graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,Health care,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Before that,Both of them,Disapprove,Non black female,All other races,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,All other,All others,Other,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,All others,Suburbs,Suburbs,11.0,Mountain west,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,28704.0
4390729.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,9.66483497619629,John McCain,Did not vote,Did not vote,Male,White,60-64,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,,Somewhat approve,No,Take the country in a different direction,Only John McCain,"No, I was not contacted",Only John McCain,Somewhat approve,Omit,Not so good,Somewhat worried,No,Too liberal,Shares my values,Not a factor at all,Before that,Neither of them,Approve,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,No,All others,Rural,Small Cities/Rural,10.0,Mountain west,South,Extremely Low Density Rural,Rural,Rural,Upscale,28746.0
4390659.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,29.1904296875,John McCain,Did not vote,Did not vote,Male,Black,45-49,Republican,Liberal,"$15,000-$29,999",High school graduate,No,Strongly approve,Yes,Take the country in a different direction,Only John McCain,"No, I was not contacted",Only John McCain,Strongly approve,The war in Iraq,Not so good,Very worried,Yes,Omit,Has the right experience,Not a factor at all,Before that,Both of them,Approve,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does,Barack Obama does not,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Black non Democrat,All Republicans,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,All others,Rural,Small Cities/Rural,11.0,Mountain west,South,Suburb,Rural,Rural,Upscale,28739.0
4390378.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.79672783613205,Barack Obama,Kay Hagan,Bev Perdue,Female,Hispanic/Latino,60-64,Democrat,Moderate,"$100,000-$149,999",College graduate,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for both Obama and McCain",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Very worried,No,About right,Shares my values,Not a factor at all,Sometime in September,Only John McCain,Disapprove,Non black female,Latino women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Non black 60+,Latino 60+,Latino 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,No,All others,"Cities 10,000-50,000",Small Cities/Rural,11.0,Mountain west,South,Low Density Rural,Rural,Rural,Upscale,28712.0
4390217.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.452505677938461,Barack Obama,Kay Hagan,Bev Perdue,Female,White,60-64,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,All others,"Cities 10,000-50,000",Small Cities/Rural,10.0,Mountain west,South,Low Density Rural,Rural,Rural,Very downscale,28645.0
4390746.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.674727082252502,Barack Obama,Kay Hagan,Bev Perdue,Female,White,45-49,Democrat,Liberal,"$30,000-$49,999",Did not complete high school,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"Yes, for both Obama and McCain",Both of them,Strongly disapprove,The war in Iraq,Poor,Very worried,No,About right,Cares about people like me,A minor factor,Earlier in October,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,10.0,Mountain west,South,Town,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,28690.0
4390692.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.204076617956161,Barack Obama,Kay Hagan,Bev Perdue,Female,White,75 or over,Democrat,Liberal,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Somewhat worried,No,Omit,Can bring about needed change,Not a factor at all,Sometime last week,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did not,No,All others,Suburbs,Suburbs,11.0,Mountain west,South,Suburb,80s Suburbs,Urban Perimeter,Upscale,28787.0
4390545.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.27603077888489,Barack Obama,Kay Hagan,Bev Perdue,Female,Black,50-59,Independent,Moderate,"$200,000 or more",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Shares my values,Not a factor at all,Before that,,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,,No,All others,Suburbs,Suburbs,10.0,Mountain west,South,Town,70s Suburbs,Urban Perimeter,Downscale,28630.0
