ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSFL08,FLAMD2,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,CUBAN3,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,SPANISHQ,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
4388490.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.828557312488556,,Yes,Female,White,75 or over,Republican,Moderate,,College graduate,No,Strongly disapprove,No,Take the country in a different direction,Omit,"Yes, for both Obama and McCain",Omit,Somewhat disapprove,Energy policy,Poor,Very worried,No,Too liberal,Has the right experience,Not a factor at all,Protestant,English,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Omit,Omit,John McCain did,Barack Obama did,,,,,Omit,Omit,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",10.0,Tampa Bay Area,South,High Density Urban,Urban,Urban Core,Upscale
4388454.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.527510583400726,,Yes,Female,,,,,,College graduate,No,Somewhat approve,,Take the country in a different direction,Omit,"Yes, for both Obama and McCain",Omit,Somewhat disapprove,Omit,Not so good,Very worried,No,Omit,Omit,Not a factor at all,,,Earlier in October,Both of them,Approve,,,,,,,,,,,,,,College graduate,More than High school graduate,,Omit,Omit,John McCain did,Barack Obama did,,,,,Omit,Omit,Disapprove,Not so good/Poor,Worried,,,,,,,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,,,,,,Suburbs,Suburbs,9.0,Tampa Bay Area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale
4388328.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,6.35728597640991,,Yes,Female,Hispanic/Latino,50-59,Something else,Moderate,"$50,000-$74,999",Postgraduate study,Cuban,Strongly disapprove,No,Continue George W. Bush's policies,Neither of them,"Yes, for both Obama and McCain",Neither of them,Strongly disapprove,The economy,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Catholic,English,Before that,Both of them,Disapprove,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does not,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Non-white,No,All others,All others,All others,Suburbs,Suburbs,9.0,Tampa Bay Area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale
4388241.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,9.53592777252197,,Yes,Female,Hispanic/Latino,50-59,Democrat,Conservative,"$75,000-$99,999",Some college or associate degree,,Omit,Yes,Omit,Omit,"No, I was not contacted",Omit,Somewhat disapprove,The war in Iraq,Poor,Not at all worried,No,Omit,Has the right experience,Not a factor at all,Other Christian,English,Sometime in September,Neither of them,Omit,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,Omit,Omit,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Omit,Omit,Disapprove,Not so good/Poor,Not worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did not,Barack Obama did not,Non-white,No,All others,All others,All others,Suburbs,Suburbs,9.0,Tampa Bay Area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale
4388128.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.33921027183533,,Yes,Male,White,50-59,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,No,Strongly approve,No,Take the country in a different direction,Only John McCain,"No, I was not contacted",Neither of them,Strongly approve,Energy policy,Not so good,Not too worried,No,Too liberal,Has the right experience,Not a factor at all,Protestant,English,Before that,Omit,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Omit,Omit,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,12.0,Tampa Bay Area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
4387957.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.828557312488556,,Yes,Female,White,75 or over,Something else,Moderate,"Under $15,000",Did not complete high school,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"No, I was not contacted",Neither of them,Strongly disapprove,Health care,Poor,Very worried,No,About right,Cares about people like me,Not a factor at all,None,English,Earlier in October,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,None,Yes,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",10.0,Tampa Bay Area,South,High Density Urban,Urban,Urban Core,Downscale
4387882.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.414278656244278,,Yes,Female,White,75 or over,Independent,Moderate,,Some college or associate degree,No,Somewhat disapprove,No,Take the country in a different direction,Neither of them,"No, I was not contacted",Neither of them,Strongly disapprove,The economy,Poor,Somewhat worried,No,Too liberal,Shares my values,Not a factor at all,Catholic,English,Sometime in September,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,Catholic,,All others,All others,All others,Suburbs,Suburbs,9.0,Tampa Bay Area,South,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale
4388526.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.26514053344727,,Yes,Male,White,65-74,Republican,Moderate,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,No,Continue George W. Bush's policies,Only John McCain,"No, I was not contacted",Only John McCain,Somewhat approve,Terrorism,Not so good,Somewhat worried,No,Too liberal,Has the right experience,Not a factor at all,Catholic,English,Before that,Only Barack Obama,Approve,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,Catholic,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",10.0,Tampa Bay Area,South,High Density Urban,Urban,Urban Core,Upscale
4388178.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,6.37561750411987,,No,Female,White,45-49,Democrat,Moderate,"$100,000-$149,999",High school graduate,No,Strongly disapprove,No,Take the country in a different direction,Omit,"No, I was not contacted",Omit,Somewhat disapprove,The war in Iraq,Not so good,Not too worried,No,About right,Cares about people like me,Not a factor at all,None,English,Sometime in September,Neither of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Omit,Omit,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Omit,Omit,Disapprove,Not so good/Poor,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did not,Barack Obama did not,None,No,All others,All others,All others,Suburbs,Suburbs,12.0,Tampa Bay Area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
4388163.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.591734409332275,Did not vote,Yes,Male,,,Independent,,,,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only John McCain,"No, I was not contacted",Neither of them,Strongly approve,The economy,Poor,Very worried,No,Too liberal,Cares about people like me,Not a factor at all,Other Christian,,Before that,Neither of them,Disapprove,,,,,,,,,,,,,,,,,John McCain does,Barack Obama does not,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,,,,,,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,All others,,,Suburbs,Suburbs,11.0,Tampa Bay Area,South,Suburb,70s Suburbs,Urban Perimeter,Very downscale
