ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMN08,SENMN08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,UNFAIRMN,@2WAYSENMN,INTOUCH08,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,UNFAIRCOLE,UNFAIRFRANK,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401580.0,Minnesota,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,65-74,Democrat,Liberal,,Some college or associate degree,,,,,Only Barack Obama,,,Only Barack Obama,,,,,,,,,,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,,,,,John McCain is not,Barack Obama is,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,,,,,,,,Rural,Small Cities/Rural,8.0,Minneapolis/St. Paul,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,55709.0
4401581.0,Minnesota,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,60-64,Democrat,Liberal,"$75,000-$99,999",Some college or associate degree,,,,,Only Barack Obama,,,Only Barack Obama,,,,,,,,,,,,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,,,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,,,,No,,,,"Cities 50,000-500,000","Cities over 50,000",8.0,Minneapolis/St. Paul,Midwest,Low Density Rural,Urban,Urban Core,Upscale,55804.0
4401582.0,Minnesota,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Republican,Conservative,,College graduate,,,,,Only John McCain,,,Only John McCain,,,,,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,,,,,John McCain is,Barack Obama is not,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,,,,,,,,,,Rural,Small Cities/Rural,7.0,Minneapolis/St. Paul,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,56265.0
4401583.0,Minnesota,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,,,Independent,,,,,,,,Only John McCain,,,Neither of them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John McCain does,Barack Obama does not,,,,,John McCain is not,Barack Obama is not,,,Independent/Something else,,,,,,,,,,,,,,,,,,,,,,"Cities 50,000-500,000","Cities over 50,000",5.0,Minneapolis/St. Paul,Midwest,High Density Urban,Urban,Urban Core,Upscale,55406.0
4402240.0,Minnesota,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,45-49,Independent,Conservative,"$30,000-$49,999",Some college or associate degree,,,Yes,,,,,,,,,,,,Protestant,Omit,,No one does,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,,No college degree,More than High school graduate,White no college degree,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,,,Protestant/Other Christian,Omit,Omit,Omit,,,No,No,No,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 10,000-50,000",Small Cities/Rural,7.0,Minneapolis/St. Paul,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,56601.0
4402241.0,Minnesota,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,40-44,Independent,Moderate,"$15,000-$29,999",Some college or associate degree,,,No,,,,,,,,,,,,Other Christian,Before that,,No one does,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,,,No college degree,More than High school graduate,White no college degree,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,2.0,Minneapolis/St. Paul,Midwest,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,55372.0
4402242.0,Minnesota,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Something else,Moderate,,College graduate,,,No,,,,,,,,,,,,Catholic,Sometime in September,,No one does,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,College graduate,More than High school graduate,White college degree,,,,,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,,,No,No,No,Catholic,,All others,All others,All others,Suburbs,Suburbs,2.0,Minneapolis/St. Paul,Midwest,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,55386.0
4402243.0,Minnesota,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,45-49,Republican,Conservative,"$100,000-$149,999",Some college or associate degree,,,No,,,,,,,,,,,,Protestant,Before that,,No one does,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,,No college degree,More than High school graduate,White no college degree,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,8.0,Minneapolis/St. Paul,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,55079.0
4402244.0,Minnesota,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,50-59,Independent,Moderate,"$200,000 or more",College graduate,,,No,,,,,,,,,,,,Catholic,Earlier in October,,No one does,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,College graduate,More than High school graduate,White college degree,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,,,No,No,No,Catholic,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Minneapolis/St. Paul,Midwest,Suburb,Urban,Urban Core,Very upscale,55346.0
4402245.0,Minnesota,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,,,No,,,,,,,,,,,,Protestant,Before that,,"Yes, I do",,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,College graduate,More than High school graduate,White college degree,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,Yes,I am,Yes,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,6.0,Minneapolis/St. Paul,Midwest,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,56329.0
4419428.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.882280826568604,Barack Obama,Al Franken,Female,White,25-29,Something else,Liberal,"$15,000-$29,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Both of them,Al Franken,Only Barack Obama,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,Catholic,Before that,Only John McCain,"Yes, I do",Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Norm Coleman did,Al Franken did,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Yes,I am,Yes,Catholic,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
4419672.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.984644591808319,Barack Obama,Al Franken,Male,White,30-39,Something else,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Both of them,Al Franken,Only Barack Obama,The economy,Poor,Very worried,No,Can bring about needed change,One of several important factors,Something else,Before that,Only John McCain,"Yes, I do and someone else does",Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Norm Coleman did,Al Franken did,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Important,Factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Yes,I am,Yes,Something else,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
4419970.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.08338987827301,Barack Obama,Al Franken,Male,White,25-29,Something else,Liberal,"$30,000-$49,999",Some college or associate degree,No,Somewhat disapprove,Yes,Continue George W. Bush's policies,Neither of them,Only Norm Coleman,Al Franken,Only Barack Obama,The war in Iraq,Not so good,Not too worried,No,Can bring about needed change,One of several important factors,Other Christian,Earlier in October,Only John McCain,No one does,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Norm Coleman did,Al Franken did not,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
4420234.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.03064501285553,Barack Obama,Al Franken,Female,White,60-64,Democrat,Liberal,"$15,000-$29,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Neither of them,Al Franken,Only Barack Obama,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,None,Before that,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Norm Coleman did not,Al Franken did not,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,None,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
4420466.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.27069866657257,Barack Obama,Norm Coleman,Male,Hispanic/Latino,30-39,Democrat,Moderate,"$30,000-$49,999",High school graduate,Yes,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,Neither of them,Norm Coleman,Only Barack Obama,The economy,Not so good,Very worried,No,Omit,A minor factor,Catholic,Sometime in September,Both of them,No one does,Disapprove,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,Norm Coleman did not,Al Franken did not,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,White,All others,Not important,Factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
4420674.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.59076404571533,John McCain,Norm Coleman,Male,White,18-24,Republican,Conservative,"$15,000-$29,999",Some college or associate degree,No,Somewhat approve,Yes,Take the country in a different direction,Only John McCain,Only Norm Coleman,Norm Coleman,Only John McCain,Energy policy,Not so good,Somewhat worried,No,Shares my values,The single most important factor,Other Christian,Before that,Only Barack Obama,"Yes, I do",Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Norm Coleman did,Al Franken did not,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,Yes,I am,Yes,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
4420913.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02333700656891,Barack Obama,Dean Barkley,Female,White,50-59,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,,Continue George W. Bush's policies,Both of them,Both of them,Would not have voted for senator,Only Barack Obama,The economy,Not so good,Somewhat worried,No,Shares my values,Not a factor at all,Protestant,Before that,Both of them,No one does,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Norm Coleman did,Al Franken did,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,No,All others,,,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
4421122.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.24846744537354,John McCain,Norm Coleman,Male,,30-39,Independent,Conservative,,Postgraduate study,No,,Yes,,,,,,,,Somewhat worried,,Has the right experience,,,Just today,,,,,,,,30-44,30-59,18-44,30-44,30-39,18-64,,,,,,College graduate,More than High school graduate,,,,,,,,,,,Worried,Independent/Something else,,,,,,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,,,,,,All others,,,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
4421433.0,Minnesota,107.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.08338987827301,Barack Obama,Al Franken,Male,White,18-24,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Only Norm Coleman,Al Franken,Only Barack Obama,The war in Iraq,Omit,Somewhat worried,Yes,Can bring about needed change,Not a factor at all,Something else,Earlier in October,Only John McCain,No one does,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Norm Coleman did,Al Franken did not,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Omit,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Something else,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Something else,Yes,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,Midwest,Town,Rural,Rural,Downscale,55987.0
