ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSPA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BUSHMCCAIN,EXPER08,GOTV08,HILLPSPRT,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,TIME08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401721.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,65-74,Democrat,Moderate,"$75,000-$99,999",Some college or associate degree,,,,Only Barack Obama,,,Only Barack Obama,,,,,,About right,,,,,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,No,Suburbs,Suburbs,15.0,Philadelphia,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,18064.0
4401718.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,Black,75 or over,Democrat,Liberal,"$200,000 or more",High school graduate,,,,Neither of them,,,Only Barack Obama,,,,,,About right,,,,,,,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does not,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is not,Barack Obama is,,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,,,,,,,No,Suburbs,Suburbs,3.0,Philadelphia,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,16148.0
4402354.0,Pennsylvania,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,Asian,18-24,Independent,Liberal,"$30,000-$49,999",Some college or associate degree,,,,,,Hillary Clinton,,,,,,,,,,Other Christian,Earlier in October,No one does,,Non black male,All other races,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,All other,Other,No college degree,More than High school graduate,Non white no college degree,,,,,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,,,,Independent/Something else,Non black non Democrat,All other,All others,Asian,,,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,No,No,No,Non-white,No,Suburbs,Suburbs,13.0,Philadelphia,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19446.0
4402350.0,Pennsylvania,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,Black,18-24,Democrat,Moderate,"$30,000-$49,999",High school graduate,,,,,,Barack Obama,,,,,,,,,,None,Before that,No one does,,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,,,,,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,None,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Non-white,No,Suburbs,Suburbs,1.0,Philadelphia,East,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,19013.0
4401719.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,50-59,Democrat,Conservative,"$15,000-$29,999",Some college or associate degree,,,,Only Barack Obama,,,Only Barack Obama,,,,,,About right,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,Yes,Rural,Small Cities/Rural,12.0,Philadelphia,East,Low Density Rural,Rural,Rural,Very downscale,15338.0
4401715.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,18-24,Independent,Moderate,,High school graduate,,,,Only Barack Obama,,,Both of them,,,,,,About right,,,,,,,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,,,,,,,,John McCain is,Barack Obama is,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,"Cities over 500,000","Cities over 50,000",1.0,Philadelphia,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,19124.0
4401711.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,75 or over,Democrat,Conservative,"$15,000-$29,999",High school graduate,,,,Both of them,,,Only Barack Obama,,,,,,About right,,,,,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,Yes,"Cities 50,000-500,000","Cities over 50,000",15.0,Philadelphia,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,18102.0
4401710.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,Black,45-49,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,,,,Only Barack Obama,,,Only Barack Obama,,,,,,About right,,,,,,,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,More than High school graduate,Non white no college degree,John McCain does not,Barack Obama does,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,,,,Independent/Something else,Black non Democrat,Black Independents,All others,Black,,,,,,,,,,,No,Suburbs,Suburbs,17.0,Philadelphia,East,Town,70s Suburbs,Urban Perimeter,Very upscale,17112.0
4401104.0,Pennsylvania,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,65-74,Democrat,Liberal,"$15,000-$29,999",High school graduate,,Strongly disapprove,Continue George W. Bush's policies,,"No, I was not contacted",,,,Omit,Not so good,Somewhat worried,No,,Can bring about needed change,Not a factor at all,,Sometime in September,,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,Yes,Suburbs,Suburbs,8.0,Philadelphia,East,Suburb,70s Suburbs,Urban Perimeter,Very upscale,19047.0
4401102.0,Pennsylvania,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,Black,75 or over,Democrat,Conservative,"Under $15,000",High school graduate,,Somewhat disapprove,Continue George W. Bush's policies,,"Yes, for Barack Obama",,,,The economy,Not so good,Somewhat worried,No,,Can bring about needed change,Not a factor at all,,Before that,,Disapprove,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,,,John McCain did not,Barack Obama did,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Suburbs,Suburbs,7.0,Philadelphia,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,19036.0
