ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSTN08,SENTN08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,HILLPSPRT,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4393785.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.503746449947357,John McCain,Lamar Alexander,Female,White,50-59,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,No,Somewhat disapprove,Yes,Hillary Clinton,Energy policy,Not so good,Not too worried,No,Has the right experience,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,East,South,Suburb,60s Suburbs,Urban Perimeter,Downscale,37643.0
4393786.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.66718339920044,Other,Lamar Alexander,Male,White,65-74,Republican,Liberal,"$75,000-$99,999",High school graduate,No,Strongly disapprove,Yes,Did not care who won,Omit,Not so good,Very worried,No,Can bring about needed change,One of several important factors,Omit,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Omit,Omit,Omit,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,South,Low Density Rural,Rural,Rural,Very downscale,37821.0
4393787.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.386348456144333,Barack Obama,Other,Female,White,65-74,Democrat,Liberal,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,Barack Obama,Health care,Poor,Somewhat worried,No,Cares about people like me,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities over 500,000","Cities over 50,000",5.0,Nashville area,South,Suburb,Urban,Urban Core,Very upscale,37138.0
4393788.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.34950590133667,John McCain,Lamar Alexander,Female,White,65-74,Independent,Conservative,,High school graduate,No,Somewhat approve,Yes,Hillary Clinton,The economy,Not so good,Somewhat worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Non Democrats,,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,"Cities over 500,000","Cities over 50,000",9.0,Southwest,South,Suburb,Urban,Urban Core,Very upscale,38117.0
4393789.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.490612715482712,Barack Obama,Robert Tuke,Female,White,60-64,Democrat,Moderate,"Under $15,000",Some college or associate degree,No,Strongly disapprove,Yes,Hillary Clinton,Health care,Poor,Not at all worried,No,Cares about people like me,Not a factor at all,Earlier in October,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,7.0,Middle/West,South,Low Density Rural,Rural,Rural,Very downscale,38372.0
4393790.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.83117580413818,Other,Lamar Alexander,Male,White,30-39,Independent,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,Yes,Did not care who won,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,6.0,Nashville area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,37075.0
4393791.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.14076483249664,Barack Obama,Lamar Alexander,Female,White,75 or over,Democrat,Conservative,,High school graduate,No,Strongly disapprove,No,Hillary Clinton,Omit,Not so good,Very worried,No,Can bring about needed change,One of several important factors,Sometime in September,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,,All others,"Cities over 500,000","Cities over 50,000",5.0,Nashville area,South,Suburb,Urban,Urban Core,Upscale,37211.0
4393792.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.99838101863861,Barack Obama,Robert Tuke,Female,Black,50-59,Democrat,Liberal,,College graduate,No,Strongly disapprove,Yes,Barack Obama,The economy,Not so good,Very worried,No,Omit,A minor factor,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,Democrats for Obama,,,,,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities over 500,000","Cities over 50,000",9.0,Southwest,South,High Density Urban,Urban,Urban Core,Very upscale,38115.0
4393793.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.85937118530273,John McCain,Lamar Alexander,Female,White,40-44,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,No,Somewhat approve,Yes,Did not care who won,Terrorism,Good,Somewhat worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,7.0,Nashville area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37064.0
4393794.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.981680750846863,Barack Obama,Lamar Alexander,Female,White,50-59,Something else,Moderate,,College graduate,No,Strongly disapprove,No,Barack Obama,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Non Democrats,,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,,All others,Suburbs,Suburbs,2.0,East,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,37934.0
