ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNV08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,SPANISHQ,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
4401014.0,Nevada,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,3.91202330589294,,Male,Hispanic/Latino,,,,,,Yes,Strongly disapprove,,Continue George W. Bush's policies,,"No, I was not contacted",,,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,,Spanish,Earlier in October,Both of them,,Disapprove,Non black male,Latino men,Non white male,Non white,,,,,,,,,,,,,,,John McCain did not,Barack Obama did not,,,,,,,,Not so good/Poor,Worried,,,,,Hispanic/Latino,,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,,,,,,All others,,,Suburbs,Suburbs,3.0,Rural Counties,West,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
4391935.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.512181103229523,Barack Obama,Female,White,75 or over,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Both of them,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Protestant,English,Before that,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,3.0,Rural Counties,West,Suburb,80s Suburbs,Urban Perimeter,Very downscale
4391790.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.256090551614761,Barack Obama,Female,White,75 or over,Democrat,Liberal,,High school graduate,No,Omit,No,Omit,Neither of them,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,Health care,Not so good,Somewhat worried,No,Cares about people like me,Not a factor at all,Catholic,English,Before that,Only John McCain,No one does,Omit,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Catholic,,All others,All others,All others,"Cities over 500,000","Cities over 50,000",1.0,Rural Counties,West,Extremely High Density Urban,Urban,Urban Core,Upscale
4391488.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.522075712680817,Barack Obama,Female,White,65-74,Democrat,Liberal,,Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,Catholic,English,Before that,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Catholic,,All others,All others,All others,"Cities over 500,000","Cities over 50,000",3.0,Rural Counties,West,High Density Urban,Urban,Urban Core,Downscale
4392100.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.22487783432007,Barack Obama,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,Energy policy,Poor,Somewhat worried,No,Cares about people like me,Not a factor at all,None,English,Before that,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,None,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Clark County,West,Suburb,Urban,Urban Core,Upscale
4392030.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.08299446105957,Barack Obama,Male,Black,25-29,Independent,Liberal,"$30,000-$49,999",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,One of several important factors,Catholic,English,Sometime in September,Only John McCain,No one does,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Important,Factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Non-white,No,All others,All others,All others,"Cities over 500,000","Cities over 50,000",3.0,Rural Counties,West,High Density Urban,Urban,Urban Core,Very upscale
4391938.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.05504894256592,Barack Obama,Male,Hispanic/Latino,45-49,Democrat,Liberal,,College graduate,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Only Barack Obama,Somewhat disapprove,Health care,Poor,Very worried,No,Shares my values,Not a factor at all,Something else,English,Before that,Only John McCain,No one does,Disapprove,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,Latino 45-59,Latino 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,White,All others,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Non-white,,All others,All others,All others,Suburbs,Suburbs,1.0,Rural Counties,West,Suburb,80s Suburbs,Urban Perimeter,Downscale
4391933.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,6.03191328048706,Barack Obama,Female,Asian,50-59,Democrat,Liberal,"$100,000-$149,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"Yes, for Barack Obama",Only Barack Obama,Somewhat approve,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Jewish,English,Before that,Both of them,"Yes, I do",Disapprove,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,No college degree,More than High school graduate,Non white no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,All other,All others,Asian,All others,Not important,Not a factor,Jewish,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,I am,Yes,Non-white,No,All others,All others,All others,"Cities over 500,000","Cities over 50,000",3.0,Rural Counties,West,High Density Urban,Urban,Urban Core,Very upscale
4391915.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.748381614685059,Barack Obama,Male,White,65-74,Something else,Moderate,,College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Has the right experience,Not a factor at all,Something else,English,Before that,Only John McCain,No one does,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Something else,,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Washoe County,West,Suburb,Urban,Urban Core,Downscale
4391902.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.93372255563736,Barack Obama,Female,White,65-74,Democrat,Conservative,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Neither of them,Strongly disapprove,Health care,Poor,Very worried,No,Cares about people like me,Not a factor at all,Other Christian,English,Sometime in September,Both of them,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,"Cities 10,000-50,000",Small Cities/Rural,2.0,Clark County,West,Low Density Rural,Rural,Rural,Very downscale
