ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSUT08,GOVUT08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ISSUE08,NECWORRY,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401798.0, Utah,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,65-74,Democrat,Liberal,"$50,000-$74,999",College graduate,,,,,,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,No,Suburbs,Suburbs,1.0,Salt Lake County,West,Suburb,80s Suburbs,Urban Perimeter,Very upscale,84414.0
4401799.0, Utah,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Hispanic/Latino,30-39,Republican,Moderate,"$30,000-$49,999",Postgraduate study,,,,,,,,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Republican,Non black non Democrat,All Republicans,All others,Hispanic/Latino,,,,,,No,Suburbs,Suburbs,3.0,Salt Lake County,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84020.0
4400603.0, Utah,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,65-74,Republican,Conservative,"$50,000-$74,999",College graduate,,,The economy,,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Sometime last week or earlier,Before that,In the last month or before that,,No,"Cities 10,000-50,000",Small Cities/Rural,1.0,Salt Lake County,West,Low Density Rural,Rural,Rural,Downscale,84321.0
4400602.0, Utah,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Democrat,Liberal,"$75,000-$99,999",Some college or associate degree,,,Health care,,,Before that,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Before that,In the last month or before that,,No,"Cities 10,000-50,000",Small Cities/Rural,1.0,Salt Lake County,West,Low Density Rural,Rural,Rural,Upscale,84302.0
4402416.0, Utah,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,75 or over,Independent,Conservative,"Under $15,000",High school graduate,,,,,Mormon/LDS,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Protestant/Other Christian,Yes,"Cities 50,000-500,000","Cities over 50,000",2.0,Salt Lake County,West,Suburb,Urban,Urban Core,Downscale,84770.0
4402415.0, Utah,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,45-49,Independent,Conservative,"$100,000-$149,999",College graduate,,,,,Mormon/LDS,Earlier in October,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,Protestant/Other Christian,No,"Cities 50,000-500,000","Cities over 50,000",3.0,Salt Lake County,West,High Density Urban,Urban,Urban Core,Upscale,84057.0
4424541.0, Utah,55.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.704531610012054,,Jon Huntsman,Female,White,45-49,,,,Some college or associate degree,No,Somewhat approve,Omit,Very worried,Something else,Sometime last week,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,Worried,,,,,White,Something else,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,Something else,,Suburbs,Suburbs,1.0,East/Ogden Area,West,Suburb,70s Suburbs,Urban Perimeter,Upscale,84405.0
4421935.0, Utah,11.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.643279314041138,,Jon Huntsman,Female,White,18-24,Republican,Moderate,"Under $15,000",Some college or associate degree,No,Somewhat disapprove,Energy policy,Somewhat worried,None,In the last three days,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,None,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,None,Yes,Rural,Small Cities/Rural,2.0,East/Ogden Area,West,Extremely Low Density Rural,Rural,Rural,Downscale,84523.0
4422410.0, Utah,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.8016551733017,Barack Obama,,Male,Hispanic/Latino,75 or over,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,Yes,Strongly disapprove,Energy policy,Very worried,Mormon/LDS,Before that,Disapprove,Non black male,Latino men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,Suburbs,Suburbs,3.0,West/Provo Area,West,Low Density Rural,70s Suburbs,Urban Perimeter,Upscale,84663.0
4421134.0, Utah,11.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.748273730278015,Barack Obama,,Male,White,40-44,Independent,Moderate,"$50,000-$74,999",High school graduate,No,Somewhat disapprove,The economy,Somewhat worried,Mormon/LDS,Sometime in September,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Protestant/Other Christian,No,Rural,Small Cities/Rural,2.0,East/Ogden Area,West,Extremely Low Density Rural,Rural,Rural,Downscale,84523.0
