ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWY08,SENWY08,SEN2WY08,HSEWY08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401229.0,Wyoming,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,,Cynthia Lummis,Male,White,65-74,Republican,Conservative,"$30,000-$49,999",College graduate,,Somewhat disapprove,Yes,The economy,Very worried,Sometime in September,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,South,West,Extremely Low Density Rural,Rural,Rural,Downscale,83110.0
4427658.0,Wyoming,42.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.02319419384003,John McCain,Mike Enzi,John Barrasso,,Male,White,50-59,Republican,,,High school graduate,No,,,,Very worried,Earlier in October,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,West,Extremely Low Density Rural,Rural,Rural,Very upscale,82604.0
4430556.0,Wyoming,46.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.513956606388092,Other,,,,Male,White,65-74,Republican,Conservative,"$15,000-$29,999",Some college or associate degree,,Strongly disapprove,No,The economy,Very worried,Just today,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Yes,All others,Rural,Small Cities/Rural,1.0,North,West,Extremely Low Density Rural,Rural,Rural,Very downscale,82214.0
4422584.0,Wyoming,22.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.545463025569916,Barack Obama,Did not vote,Nick Carter,Did not vote,Female,Hispanic/Latino,18-24,Democrat,,,,Yes,,,,Somewhat worried,Just today,,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,Latino 18-29,Latino 18-29,,,,,,,,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,West,Extremely Low Density Rural,Rural,Rural,Downscale,82501.0
4421426.0,Wyoming,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.39595365524292,Barack Obama,Mike Enzi,Did not vote,Did not vote,Male,White,50-59,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,The war in Iraq,Somewhat worried,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,1.0,North,West,Extremely Low Density Rural,Rural,Rural,Very upscale,82839.0
4423164.0,Wyoming,4.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.859956026077271,Barack Obama,Mike Enzi,John Barrasso,Did not vote,Female,White,60-64,Independent,Moderate,"$50,000-$74,999",High school graduate,No,Strongly approve,No,The economy,Very worried,Before that,Approve,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,West,Extremely Low Density Rural,Rural,Rural,Very downscale,82072.0
4422369.0,Wyoming,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.496369570493698,Barack Obama,Mike Enzi,John Barrasso,Did not vote,Female,White,75 or over,Democrat,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,No,The economy,Somewhat worried,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,1.0,North,West,Extremely Low Density Rural,Rural,Rural,Very upscale,82839.0
4422207.0,Wyoming,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.405879735946655,John McCain,Did not vote,Did not vote,Did not vote,Male,,30-39,Republican,Moderate,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,Yes,The economy,Somewhat worried,Earlier in October,Approve,,,,,30-44,30-59,18-44,30-44,30-39,18-64,,,,No college degree,More than High school graduate,,100k or more,50k or more,100 thousand or more,,Worried,Republican,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,Rural,Small Cities/Rural,1.0,North,West,Extremely Low Density Rural,Rural,Rural,Very upscale,82839.0
4422517.0,Wyoming,22.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.713092029094696,John McCain,Mike Enzi,Did not vote,Did not vote,Female,,30-39,Something else,Conservative,"$30,000-$49,999",Some college or associate degree,No,Strongly approve,Yes,The economy,Very worried,Before that,Approve,,,,,30-44,30-59,18-44,30-44,30-39,18-64,,,,No college degree,More than High school graduate,,Less than 100k,Less than 50k,Less than 50 thousand,,Worried,Independent/Something else,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,North,West,Extremely Low Density Rural,Rural,Rural,Downscale,82501.0
4422957.0,Wyoming,36.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.85815840959549,John McCain,Mike Enzi,John Barrasso,Did not vote,Female,White,45-49,Republican,Conservative,"$200,000 or more",High school graduate,No,Somewhat approve,Yes,The economy,Very worried,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,West,Extremely Low Density Rural,Rural,Rural,Downscale,82601.0
