ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSIA08,SENIA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,ETHANOL,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ETHANOL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4389249.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.52064681053162,John McCain,,Female,White,40-44,Republican,Conservative,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,No,Take the country in a different direction,Only John McCain,Strongly support,"No, I was not contacted",Neither of them,Somewhat approve,Terrorism,Good,Somewhat worried,No,Has the right experience,One of several important factors,Protestant,Before that,Neither of them,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,3.0,Central,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50322.0
4388878.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.978058338165283,Barack Obama,Did not vote,Male,White,50-59,Independent,Conservative,"Under $15,000",Did not complete high school,No,Somewhat approve,Yes,Omit,Only Barack Obama,Strongly support,"No, I was not contacted",Only Barack Obama,Somewhat approve,The economy,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,Protestant,Before that,Neither of them,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 50,000-500,000","Cities over 50,000",3.0,Central,Midwest,Suburb,Urban,Urban Core,Very downscale,50317.0
4389166.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.82610237598419,,Tom Harkin,Female,White,60-64,Democrat,Conservative,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Yes,Omit,Neither of them,Strongly support,"Yes, for both Obama and McCain",Neither of them,Strongly disapprove,Health care,Poor,Very worried,No,Cares about people like me,One of several important factors,Protestant,Earlier in October,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Support,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 10,000-50,000",Small Cities/Rural,4.0,Central,Midwest,Low Density Rural,Rural,Rural,Upscale,50158.0
4388928.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,5.30819368362427,,Tom Harkin,Female,White,40-44,Independent,Conservative,"$30,000-$49,999",High school graduate,No,Strongly disapprove,Yes,Take the country in a different direction,Only John McCain,Somewhat support,"Yes, for both Obama and McCain",Only John McCain,Somewhat disapprove,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,Sometime in September,Both of them,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,John McCain did,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,Catholic,Yes,White Born-again/Evangelical Christians,All others,All others,Rural,Small Cities/Rural,3.0,Central,Midwest,Low Density Rural,Rural,Rural,Downscale,50138.0
4389454.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.18982446193695,Barack Obama,Tom Harkin,Female,White,45-49,Independent,Moderate,,High school graduate,No,Somewhat disapprove,Yes,Omit,Only Barack Obama,Omit,"Yes, for both Obama and McCain",Only Barack Obama,Somewhat disapprove,The economy,Poor,Somewhat worried,Yes,Cares about people like me,Not a factor at all,Other Christian,Sometime in September,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Omit,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,3.0,Central,Midwest,Suburb,80s Suburbs,Urban Perimeter,Very upscale,50266.0
4389448.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.642390251159668,Barack Obama,Tom Harkin,Female,White,60-64,Independent,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Somewhat support,Omit,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Catholic,Sometime in September,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Support,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,Omit,Omit,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,Catholic,No,All others,All others,All others,Suburbs,Suburbs,3.0,Central,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50322.0
4389444.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.52874350547791,Barack Obama,Tom Harkin,Female,White,30-39,Democrat,Moderate,"$100,000-$149,999",College graduate,No,Strongly disapprove,No,Take the country in a different direction,Only Barack Obama,Somewhat oppose,"No, I was not contacted",Only Barack Obama,Somewhat disapprove,Omit,Poor,Not too worried,No,Cares about people like me,Not a factor at all,Catholic,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Catholic,No,All others,All others,All others,Rural,Small Cities/Rural,4.0,Central,Midwest,Low Density Rural,Rural,Rural,Very upscale,50124.0
4389427.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.05748701095581,Barack Obama,Tom Harkin,Female,White,30-39,Democrat,Conservative,"Under $15,000",High school graduate,No,Somewhat disapprove,,Continue George W. Bush's policies,Only Barack Obama,Omit,"No, I was not contacted",Only Barack Obama,Somewhat approve,Omit,Poor,Very worried,No,Cares about people like me,Not a factor at all,Other Christian,Sometime in September,Both of them,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Omit,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,Yes,All others,,,Suburbs,Suburbs,3.0,Central,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50009.0
4389426.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.880129396915436,Barack Obama,Tom Harkin,Female,White,75 or over,Republican,Moderate,"$30,000-$49,999",High school graduate,No,Somewhat disapprove,Yes,Take the country in a different direction,Only Barack Obama,Somewhat support,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Good,Somewhat worried,No,Omit,Not a factor at all,Protestant,Sometime in September,Neither of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Support,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did not,Barack Obama did not,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,4.0,Central,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,50126.0
4389421.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.9024543762207,Barack Obama,Tom Harkin,Male,White,30-39,Independent,Liberal,"$75,000-$99,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Somewhat support,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,None,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Support,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,None,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Central,Midwest,High Density Urban,Urban,Urban Core,Very upscale,50310.0
