ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSRI08,SENRI08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ISSUE08,NECWORRY,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401106.0,Rhode Island,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Independent,Conservative,,College graduate,,Somewhat disapprove,The economy,Somewhat worried,,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,,,,,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Before that,In the last month or before that,,,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,2860.0
4401723.0,Rhode Island,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,50-59,Democrat,Liberal,"$100,000-$149,999",College graduate,,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,No,"Cities 50,000-500,000","Cities over 50,000",1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,Urban,Urban Core,Downscale,2908.0
4401722.0,Rhode Island,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,45-49,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,No,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,2860.0
4400522.0,Rhode Island,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Independent,Moderate,,College graduate,,,The economy,,,Before that,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Before that,In the last month or before that,,,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,2860.0
4411352.0,Rhode Island,11.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.572824895381927,Barack Obama,Did not vote,Female,Asian,45-49,Independent,Moderate,"$75,000-$99,999",Postgraduate study,No,Somewhat disapprove,The economy,Very worried,Other Christian,Sometime in September,Disapprove,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,All other,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,All other,All others,Asian,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,High Density Urban,Urban,Urban Core,Downscale,2920.0
4411071.0,Rhode Island,11.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09101450443268,Barack Obama,Jack Reed,Female,Other,18-24,Democrat,Liberal,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,The economy,Very worried,None,Sometime in September,Disapprove,Non black female,All other races,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,All other,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Other,None,Sometime last week or earlier,Sometime in September,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,High Density Urban,Urban,Urban Core,Downscale,2920.0
4413390.0,Rhode Island,5.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.00701057910919,Barack Obama,Jack Reed,Male,Other,18-24,Independent,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,The war in Iraq,Somewhat worried,None,Before that,Disapprove,Non black male,All other races,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,All other,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,All other,All others,Other,None,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,2863.0
4411648.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.735737800598145,Barack Obama,Jack Reed,Female,Other,45-49,Democrat,Moderate,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,The war in Iraq,Somewhat worried,Something else,Before that,Disapprove,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,All other,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Other,Something else,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4423376.0,Rhode Island,33.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.901516735553741,John McCain,Jack Reed,Female,Other,40-44,Independent,Conservative,"$15,000-$29,999",College graduate,No,Somewhat approve,The economy,Very worried,Catholic,Before that,Approve,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,All other,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,All other,All others,Other,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,Suburbs,Suburbs,2.0,Rural/Rest of State,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2852.0
4411351.0,Rhode Island,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.643896043300629,John McCain,Bob Tingle,Female,Other,30-39,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,No,Somewhat disapprove,The economy,Somewhat worried,Catholic,Sometime in September,Disapprove,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,All other,All others,Other,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,Non-white,No,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,2895.0
