ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSAL08,SENAL08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400059.0,Alabama,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,65-74,Democrat,Moderate,"$15,000-$29,999",College graduate,,,No,The economy,,Sometime in September,,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Jefferson county,South,Suburb,Rural,Rural,Very downscale,36201.0
4400644.0,Alabama,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,Black,50-59,Democrat,Moderate,"$15,000-$29,999",High school graduate,,Strongly disapprove,Yes,The war in Iraq,Very worried,Earlier in October,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Jefferson county,South,Low Density Rural,Rural,Rural,Very downscale,35160.0
4400645.0,Alabama,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Republican,Moderate,"$15,000-$29,999",High school graduate,,Somewhat approve,,The economy,Somewhat worried,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Suburbs,Suburbs,6.0,Jefferson county,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,35126.0
4400646.0,Alabama,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Other,,Female,White,75 or over,Independent,Conservative,"$30,000-$49,999",Some college or associate degree,,Somewhat approve,Yes,The economy,Very worried,Earlier in October,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,6.0,Jefferson county,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,35126.0
4400647.0,Alabama,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,Black,50-59,Democrat,Conservative,"Under $15,000",High school graduate,,Somewhat disapprove,Yes,The war in Iraq,Not too worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,Jefferson county,South,Suburb,Urban,Urban Core,Downscale,35211.0
4401230.0,Alabama,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,Other,50-59,Independent,Moderate,"$50,000-$74,999",Some college or associate degree,,,,,,,,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,,Independent/Something else,Non black non Democrat,All other,All others,American Indian,,,,,No,,Suburbs,Suburbs,1.0,Jefferson county,South,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,36522.0
4401231.0,Alabama,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,50-59,Independent,Moderate,"Under $15,000",Did not complete high school,,,,,,,,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Independent/Something else,Black non Democrat,Black Independents,All others,Black,,,,,No,,Rural,Small Cities/Rural,1.0,Jefferson county,South,Extremely Low Density Rural,Rural,Rural,Downscale,36545.0
4401232.0,Alabama,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,40-44,Republican,Conservative,"$15,000-$29,999",Some college or associate degree,,,,,,,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,Yes,,Suburbs,Suburbs,6.0,Jefferson county,South,Suburb,70s Suburbs,Urban Perimeter,Upscale,35005.0
4413643.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.443233400583267,Barack Obama,Vivian Figures,Male,White,18-24,Democrat,Liberal,,Some college or associate degree,No,Strongly disapprove,No,Energy policy,Somewhat worried,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4413717.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.87002694606781,Barack Obama,Vivian Figures,Female,Black,18-24,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Very worried,Sometime in September,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4413788.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.87002694606781,Barack Obama,Vivian Figures,Female,Black,18-24,Democrat,Moderate,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4413845.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.454972863197327,Barack Obama,Vivian Figures,Male,White,40-44,Democrat,Liberal,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,No,The economy,Somewhat worried,Sometime in September,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4413907.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.934024274349213,Barack Obama,Vivian Figures,Female,Black,30-39,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4413980.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.885418653488159,Barack Obama,Vivian Figures,Male,Black,18-24,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
