ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOH08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,HILLPSPRT,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401672.0,Ohio,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,2.70620536804199,Did not vote,Female,White,50-59,Independent,Moderate,"$15,000-$29,999",Did not complete high school,,,,,Neither of them,,,Neither of them,,,,,,About right,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,Yes,,,,Rural,Small Cities/Rural,7.0,Central,Midwest,Low Density Rural,Rural,Rural,Downscale,43739.0
4401072.0,Ohio,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.863401472568512,Barack Obama,Male,White,65-74,Independent,Moderate,"$75,000-$99,999",High school graduate,,Strongly disapprove,No,Take the country in a different direction,,"Yes, for both Obama and McCain",,,,The economy,Poor,Very worried,No,,Can bring about needed change,Not a factor at all,,Sometime in September,Only John McCain,,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,John McCain did,Barack Obama did,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,,,,,No,All others,,,Suburbs,Suburbs,8.0,Southwest,Midwest,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,45014.0
4402320.0,Ohio,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.723012983798981,Barack Obama,Female,White,65-74,Democrat,Moderate,,High school graduate,,,No,,,,Hillary Clinton,,,,,,,,,,Protestant,Sometime in September,,No one does,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,Democrats for Clinton,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,,,No,No,No,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,17.0,Northeast,Midwest,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,44266.0
4402315.0,Ohio,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.36150649189949,Barack Obama,Female,White,65-74,Democrat,Liberal,"$100,000-$149,999",College graduate,,,No,,,,Hillary Clinton,,,,,,,,,,Catholic,Before that,,"Yes, I do",,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,,,,,Democrats for Clinton,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Catholic,Sometime last week or earlier,Before that,In the last month or before that,,,Yes,I am,Yes,Catholic,No,All others,All others,All others,Suburbs,Suburbs,13.0,Northeast,Midwest,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,44221.0
4402310.0,Ohio,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,2.15385913848877,Barack Obama,Male,Black,25-29,Democrat,Conservative,,High school graduate,,,No,,,,Omit,,,,,,,,,,None,Omit,,No one does,,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,,,,,Omit,,,,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,None,Omit,Omit,Omit,,,No,No,No,Non-white,,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",11.0,Cuyahoga County,Midwest,High Density Urban,Urban,Urban Core,Very downscale,44105.0
4402306.0,Ohio,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.863401472568512,Barack Obama,Male,White,65-74,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,,,No,,,,Hillary Clinton,,,,,,,,,,Catholic,Before that,,No one does,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Catholic,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Catholic,Yes,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,4.0,Northwest,Midwest,Suburb,Rural,Rural,Upscale,45840.0
4402305.0,Ohio,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,2.99447822570801,Barack Obama,Female,White,30-39,Democrat,Liberal,,College graduate,,,No,,,,Hillary Clinton,,,,,,,,,,Jewish,Before that,,"Yes, someone else does",,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,,,Democrats for Clinton,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Jewish,Sometime last week or earlier,Before that,In the last month or before that,,,Yes,"Member in household, but not voter",No,Jewish,,All others,All others,All others,Suburbs,Suburbs,12.0,Central,Midwest,Suburb,80s Suburbs,Urban Perimeter,Very upscale,43065.0
4402304.0,Ohio,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.531850039958954,Barack Obama,Female,Black,50-59,Democrat,Liberal,"$50,000-$74,999",College graduate,,,No,,,,Barack Obama,,,,,,,,,,Other Christian,Before that,,"Yes, I do",,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,,,,,Democrats for Obama,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,Yes,I am,Yes,Non-white,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",9.0,Northwest,Midwest,High Density Urban,Urban,Urban Core,Very downscale,43607.0
4392569.0,Ohio,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.958718240261078,Barack Obama,Female,White,75 or over,Democrat,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Hillary Clinton,Only Barack Obama,Strongly disapprove,The economy,Poor,Somewhat worried,No,About right,Can bring about needed change,One of several important factors,Protestant,Before that,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,6.0,Northeast,Midwest,Suburb,60s Suburbs,Urban Perimeter,Very downscale,43935.0
4392568.0,Ohio,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.89242625236511,Barack Obama,Male,Hispanic/Latino,50-59,Democrat,Liberal,"$200,000 or more",Postgraduate study,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"Yes, for both Obama and McCain",Barack Obama,Both of them,Strongly disapprove,Health care,Poor,Very worried,No,About right,Shares my values,Not a factor at all,Catholic,Before that,Only John McCain,No one does,Disapprove,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does,Barack Obama does,John McCain did,Barack Obama did,Democrats for Obama,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,White,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Non-white,No,All others,All others,All others,Suburbs,Suburbs,7.0,Southwest,Midwest,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,45387.0
