ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOK08,SENOK08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402327.0,Oklahoma,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,65-74,Independent,Moderate,"$50,000-$74,999",College graduate,,,No,,,Before that,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Oklahoma City area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,74055.0
4401686.0,Oklahoma,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",High school graduate,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,No,,Suburbs,Suburbs,3.0,Oklahoma City area,South,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,74030.0
4401078.0,Oklahoma,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Something else,Moderate,"Under $15,000",Did not complete high school,,Strongly disapprove,Yes,The economy,Not too worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,4.0,Oklahoma City area,South,Suburb,70s Suburbs,Urban Perimeter,Upscale,73160.0
4400499.0,Oklahoma,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Democrat,Moderate,,Some college or associate degree,,,,The economy,,Omit,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Omit,Omit,Omit,,All others,Suburbs,Suburbs,3.0,Oklahoma City area,South,Suburb,70s Suburbs,Urban Perimeter,Downscale,74066.0
4401687.0,Oklahoma,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Republican,Conservative,"$200,000 or more",College graduate,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,No,,"Cities 10,000-50,000",Small Cities/Rural,3.0,Oklahoma City area,South,Low Density Rural,Rural,Rural,Upscale,74074.0
4401077.0,Oklahoma,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,75 or over,Something else,Conservative,"$15,000-$29,999",College graduate,,Somewhat approve,Yes,Terrorism,Somewhat worried,Before that,Approve,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,Oklahoma City area,South,Suburb,Urban,Urban Core,Very upscale,74145.0
4401076.0,Oklahoma,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,65-74,,Moderate,"$30,000-$49,999",Some college or associate degree,,Somewhat disapprove,Yes,The economy,Somewhat worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,,,,,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,3.0,Oklahoma City area,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,74044.0
4401075.0,Oklahoma,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,45-49,Republican,Moderate,"$200,000 or more",High school graduate,,Somewhat approve,Yes,The economy,Somewhat worried,Sometime in September,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Oklahoma City area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,74037.0
4400498.0,Oklahoma,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,,45-49,Republican,Conservative,,Postgraduate study,,,Yes,The war in Iraq,,Before that,,,,,,45-65,30-59,45+,45-59,40-49,18-64,,,,College graduate,More than High school graduate,,,,,,,Republican,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities over 500,000","Cities over 50,000",5.0,Oklahoma City area,South,High Density Urban,Urban,Urban Core,Upscale,73112.0
4422210.0,Oklahoma,80.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.875026524066925,Barack Obama,,Male,Black,65-74,Independent,Moderate,"$100,000-$149,999",Some college or associate degree,No,Strongly disapprove,Yes,Health care,Very worried,In the last three days,Disapprove,Black male,Black men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,More than High school graduate,Non white no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,Suburbs,Suburbs,1.0,Tulsa area,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,74429.0
