ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSVA08,SENVA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
4401808.0, Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,45-49,Democrat,Moderate,"$50,000-$74,999",College graduate,,,,,Only Barack Obama,,Only Barack Obama,,,,,,About right,,,,,,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,,,,,No,,Suburbs,Suburbs,1.0,North,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
4400610.0, Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,Asian,30-39,Independent,Conservative,"$100,000-$149,999",College graduate,,,No,Continue George W. Bush's policies,,"Yes, for Barack Obama",,Somewhat disapprove,The economy,Poor,,Yes,,Can bring about needed change,Not a factor at all,Earlier in October,Only Barack Obama,,Non black male,All other races,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,College graduate,More than High school graduate,Non white college degree,,,John McCain did not,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,,Disapprove,Not so good/Poor,,Independent/Something else,Non black non Democrat,All other,All others,Asian,All others,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did not,Barack Obama did,No,All others,Suburbs,Suburbs,10.0,North,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
4401809.0, Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,Other,65-74,Democrat,Moderate,,Some college or associate degree,,,,,Both of them,,Only Barack Obama,,,,,,About right,,,,,,Non black male,All other races,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,No college degree,More than High school graduate,Non white no college degree,John McCain does,Barack Obama does,,,,,,,John McCain is not,Barack Obama is,,,,Democrat,Non black Democrat,All other,All others,Other,,,,,,,,,,,Suburbs,Suburbs,7.0,North,South,Suburb,60s Suburbs,Urban Perimeter,Downscale
4401807.0, Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Independent,Moderate,"$75,000-$99,999",College graduate,,,,,Only Barack Obama,,Both of them,,,,,,About right,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,No,,"Cities 50,000-500,000","Cities over 50,000",2.0,North,South,Suburb,Urban,Urban Core,Upscale
4401806.0, Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,60-64,Republican,Conservative,"$50,000-$74,999",College graduate,,,,,Only Barack Obama,,Only Barack Obama,,,,,,About right,,,,,,Black female,Black women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,,,,Republican,Black non Democrat,All Republicans,All others,Black,,,,,,,,,No,,"Cities 50,000-500,000","Cities over 50,000",2.0,North,South,High Density Urban,Urban,Urban Core,Upscale
4401803.0, Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,30-39,Independent,Moderate,,College graduate,,,,,Both of them,,Only Barack Obama,,,,,,About right,,,,,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,,,,,,,John McCain is not,Barack Obama is,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,"Cities 10,000-50,000",Small Cities/Rural,5.0,North,South,Town,Rural,Rural,Downscale
4401184.0, Virginia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,40-44,Independent,Moderate,"$200,000 or more",College graduate,,Strongly disapprove,No,Continue George W. Bush's policies,,"No, I was not contacted",,,The economy,Not so good,Somewhat worried,No,,Can bring about needed change,Not a factor at all,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,All others,Suburbs,Suburbs,10.0,North,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
4401183.0, Virginia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,25-29,Independent,Liberal,,High school graduate,,Strongly disapprove,,Continue George W. Bush's policies,,"Yes, for Barack Obama",,,Omit,Omit,Not too worried,No,,Shares my values,Not a factor at all,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did,,,,,,,,Omit,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,All others,Suburbs,Suburbs,10.0,North,South,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
4400609.0, Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,Black,75 or over,Democrat,Conservative,,Did not complete high school,,,Yes,Continue George W. Bush's policies,,"No, I was not contacted",,Strongly disapprove,The war in Iraq,Poor,,No,,Shares my values,One of several important factors,Before that,Only John McCain,,Black male,Black men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,,,John McCain did not,Barack Obama did not,,,,,,,Disapprove,Not so good/Poor,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,North,South,High Density Urban,Urban,Urban Core,Very downscale
4400606.0, Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,30-39,Democrat,Moderate,"$30,000-$49,999",High school graduate,,,No,Continue George W. Bush's policies,,"Yes, for Barack Obama",,Strongly disapprove,The economy,Not so good,,No,,Can bring about needed change,A minor factor,Earlier in October,Both of them,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Disapprove,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,North,South,Suburb,Urban,Urban Core,Upscale
