ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSHI08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,FAVOBAM,ISSUE08,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,FAVOBAM2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEHI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4440639.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.27480030059814,Barack Obama,Male,White,60-64,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,No,Somewhat disapprove,No,Strongly favorable,The economy,Very worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Favorable,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440579.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.00200748443604,Barack Obama,Male,White,25-29,Independent,Moderate,"$15,000-$29,999",College graduate,No,Strongly disapprove,No,Strongly favorable,The war in Iraq,Somewhat worried,Yes,Can bring about needed change,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440514.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.21245682239532,Barack Obama,Female,Other,65-74,Democrat,Conservative,"$50,000-$74,999",High school graduate,No,Strongly disapprove,No,Strongly favorable,The economy,Very worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black female,All other races,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,Favorable,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Native Hawaiian,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4441274.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02499842643738,Barack Obama,Female,White,50-59,Something else,Liberal,,High school graduate,No,Strongly disapprove,No,Strongly favorable,Omit,Somewhat worried,No,Shares my values,A minor factor,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Favorable,No college degree,High school graduate or less,White no college degree,,,,,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4441178.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02499842643738,Barack Obama,Female,Hispanic/Latino,40-44,Independent,Moderate,"$100,000-$149,999",Postgraduate study,Yes,Somewhat disapprove,No,Strongly favorable,The economy,Somewhat worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,Favorable,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4441133.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02499842643738,Barack Obama,Female,White,45-49,Independent,Liberal,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,No,Strongly favorable,Health care,Very worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Favorable,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440919.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0777028799057,Barack Obama,Male,White,50-59,Democrat,Moderate,"$150,000-$199,999",College graduate,No,Strongly disapprove,Yes,Somewhat favorable,The economy,Very worried,No,Cares about people like me,Not a factor at all,Sometime last week,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Favorable,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440860.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0777028799057,Barack Obama,Male,White,50-59,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Strongly favorable,Energy policy,Very worried,No,Can bring about needed change,The single most important factor,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Favorable,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440818.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02499842643738,Barack Obama,Female,Asian,45-49,Democrat,Conservative,"$30,000-$49,999",College graduate,No,Somewhat disapprove,Yes,Somewhat favorable,The economy,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,All other,Other,Favorable,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Asian,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440706.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0777028799057,Barack Obama,Male,Other,50-59,Democrat,Moderate,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Strongly favorable,Energy policy,Somewhat worried,No,Shares my values,Not a factor at all,Before that,Disapprove,Non black male,All other races,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,Favorable,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Native Hawaiian,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440434.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.00200748443604,Barack Obama,Male,Other,18-24,Democrat,Conservative,"$50,000-$74,999",High school graduate,No,Strongly disapprove,No,Strongly favorable,The war in Iraq,Very worried,Yes,Shares my values,Not a factor at all,Before that,Disapprove,Non black male,All other races,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,All other,Other,Favorable,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Other,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
