ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMT08,SENMT08,GOVMT08,HSEMT08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,CANDVIS,PRES2WAY,GUNOWNER,ISSUE08,NECWORRY,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,CANDVISA,CANDVISB,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4389925.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.05229187011719,,,,John Driscoll,Female,White,30-39,Democrat,Moderate,,Some college or associate degree,No,Strongly disapprove,No,A minor factor,Barack Obama,No,The war in Iraq,Very worried,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Not Important,Was a factor,No college degree,More than High school graduate,White no college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Rural,Small Cities/Rural,1.0,Urban West,West,Extremely Low Density Rural,Rural,Rural,Upscale,59635.0
4390184.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.07666730880737,Barack Obama,Did not vote,Brian Schweitzer,Did not vote,Female,White,75 or over,Republican,Conservative,,High school graduate,No,Strongly approve,Yes,Omit,Omit,Yes,The economy,Not at all worried,Omit,Omit,Omit,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Omit,Omit,No college degree,High school graduate or less,White no college degree,,,,,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Omit,Omit,Omit,Omit,Omit,,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Urban West,West,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,59847.0
4390165.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.507931590080261,Barack Obama,Did not vote,Brian Schweitzer,John Driscoll,Female,White,65-74,Independent,Moderate,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,No,A minor factor,Barack Obama,No,The war in Iraq,Somewhat worried,Shares my values,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Not Important,Was a factor,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Urban West,West,High Density Urban,Urban,Urban Core,Downscale,59801.0
4390040.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.643270194530487,,Max Baucus,Brian Schweitzer,John Driscoll,Female,White,50-59,Democrat,Moderate,,Some college or associate degree,No,Somewhat disapprove,Yes,One of several important factors,Barack Obama,No,The economy,Very worried,Cares about people like me,One of several important factors,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Important,Was a factor,No college degree,More than High school graduate,White no college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,Urban West,West,Low Density Rural,Urban,Urban Core,Upscale,59405.0
4390141.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.344883322715759,,Max Baucus,Brian Schweitzer,Denny Rehberg,Female,White,75 or over,,,,Some college or associate degree,No,Omit,No,Omit,Omit,No,The economy,Omit,Omit,Omit,Omit,Omit,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Omit,Omit,No college degree,More than High school graduate,White no college degree,,,,,Omit,,,,,White,White non born again,Omit,Omit,Omit,Omit,Omit,,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Urban West,West,Low Density Rural,Urban,Urban Core,Upscale,59405.0
4390078.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.344883322715759,,Max Baucus,Brian Schweitzer,Denny Rehberg,Female,White,75 or over,Something else,,"$30,000-$49,999",High school graduate,No,Strongly disapprove,Yes,Not a factor at all,Omit,Yes,Omit,Somewhat worried,Can bring about needed change,A minor factor,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Not Important,Was not a factor,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Urban West,West,Extremely Low Density Rural,Rural,Rural,Very downscale,59711.0
4389997.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.991640269756317,Barack Obama,Max Baucus,Brian Schweitzer,,Female,White,30-39,Something else,,"$75,000-$99,999",College graduate,No,Strongly disapprove,No,Not a factor at all,Barack Obama,Yes,The economy,Very worried,Can bring about needed change,Not a factor at all,Earlier in October,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Not Important,Was not a factor,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Urban West,West,High Density Urban,Urban,Urban Core,Downscale,59801.0
4389916.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.088787317276,Barack Obama,Max Baucus,Brian Schweitzer,,Female,White,50-59,Democrat,Liberal,,High school graduate,No,Strongly disapprove,,Not a factor at all,Barack Obama,Yes,The economy,Very worried,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Not Important,Was not a factor,No college degree,High school graduate or less,White no college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Suburbs,Suburbs,1.0,Urban West,West,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,59847.0
4389934.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.77282905578613,Barack Obama,Max Baucus,Brian Schweitzer,Did not vote,Female,White,75 or over,Something else,Conservative,"Under $15,000",High school graduate,No,Strongly disapprove,No,One of several important factors,Barack Obama,Yes,The economy,Very worried,Can bring about needed change,One of several important factors,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Important,Was a factor,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Urban West,West,Town,Rural,Rural,Very upscale,59601.0
4390202.0,Montana,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.91522079706192,Barack Obama,Max Baucus,Brian Schweitzer,John Driscoll,Female,White,50-59,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,Strongly disapprove,No,A minor factor,Barack Obama,Yes,The economy,Very worried,Omit,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Not Important,Was a factor,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Urban West,West,High Density Urban,Urban,Urban Core,Downscale,59801.0
