ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNH08,SENNH08,GOVNH08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ATTEND,BUSHMCCAIN,EXPER08,UNFAIRNH,HILLPSPRT,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND2,ATTREL,UNFAIRSHAH,UNFAIRSUNU,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402257.0,New Hampshire,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,,Female,White,50-59,Democrat,Moderate,,Some college or associate degree,,,Once a week,,,,Hillary Clinton,,,,,,,,,,Catholic,Earlier in October,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,More than once a week/Once a week,Catholic/Attend weekly,,,No college degree,More than High school graduate,White no college degree,,,Democrats for Clinton,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,Catholic,,Suburbs,Suburbs,1.0,Industrial Areas,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,3077.0
4401018.0,New Hampshire,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,,Male,White,30-39,Independent,Moderate,"$200,000 or more",College graduate,,Somewhat approve,,Take the country in a different direction,,,,,,Terrorism,Poor,Very worried,No,,Has the right experience,Not a factor at all,,Earlier in October,Approve,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,,,,,College graduate,More than High school graduate,White college degree,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,,No,Suburbs,Suburbs,1.0,Industrial Areas,East,Suburb,80s Suburbs,Urban Perimeter,Very upscale,3110.0
4400431.0,New Hampshire,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,,Male,,50-59,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,,,,Take the country in a different direction,,,,,Somewhat approve,Energy policy,Not so good,,No,,Shares my values,Not a factor at all,,Before that,,,,,,45-65,30-59,45+,45-59,50-64,18-64,,,,,,,,No college degree,More than High school graduate,,,,,Less than 100k,50k or more,50 to 100 thousand,,,,Approve,Not so good/Poor,,Independent/Something else,,,,,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,Suburbs,Suburbs,1.0,Industrial Areas,East,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,3835.0
4416930.0,New Hampshire,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.784778654575348,Barack Obama,Jeanne Shaheen,John Lynch,Male,White,60-64,Independent,Moderate,"$30,000-$49,999",Postgraduate study,No,Strongly disapprove,Once a week,Continue George W. Bush's policies,Only Barack Obama,Only John Sununu,Another candidate,Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Not too worried,No,About right,Shares my values,One of several important factors,None,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,More than once a week/Once a week,All others,Jeanne Shaheen did not,John Sununu did,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Important,Factor,None,Sometime last week or earlier,Before that,In the last month or before that,None,No,Suburbs,Suburbs,2.0,South,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3084.0
4417046.0,New Hampshire,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.656689584255219,Barack Obama,Jeanne Shaheen,John Lynch,Male,White,30-39,Independent,Liberal,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,A few times a year,Continue George W. Bush's policies,Only Barack Obama,Both of them,Barack Obama,Only Barack Obama,Strongly disapprove,Energy policy,Poor,Somewhat worried,No,About right,Can bring about needed change,Not a factor at all,Something else,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,A few times a month/A few times a year,All others,Jeanne Shaheen did,John Sununu did,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,Something else,Yes,Suburbs,Suburbs,2.0,South,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3084.0
4416443.0,New Hampshire,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.579699397087097,Barack Obama,Jeanne Shaheen,John Lynch,Female,White,30-39,Independent,Liberal,"Under $15,000",Some college or associate degree,No,Strongly disapprove,A few times a year,Continue George W. Bush's policies,Both of them,Both of them,Did not care who won,Only Barack Obama,Strongly disapprove,Energy policy,Not so good,Not too worried,No,Too conservative,Can bring about needed change,Not a factor at all,Something else,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,A few times a month/A few times a year,All others,Jeanne Shaheen did,John Sununu did,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,Something else,Yes,Suburbs,Suburbs,2.0,South,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3084.0
4417755.0,New Hampshire,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.752562403678894,John McCain,John Sununu,Joe Kenney,Male,White,50-59,Independent,Moderate,"$50,000-$74,999",College graduate,No,Somewhat approve,A few times a year,Continue George W. Bush's policies,Only John McCain,Both of them,Did not care who won,Neither of them,Somewhat approve,Terrorism,Not so good,Somewhat worried,No,Too liberal,Has the right experience,Not a factor at all,None,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,A few times a month/A few times a year,All others,Jeanne Shaheen did,John Sununu did,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,None,No,Suburbs,Suburbs,2.0,South,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3084.0
4418323.0,New Hampshire,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.692771375179291,Barack Obama,Jeanne Shaheen,John Lynch,Female,White,65-74,Democrat,Liberal,"$15,000-$29,999",College graduate,No,Strongly disapprove,Never,Continue George W. Bush's policies,Only Barack Obama,Both of them,Barack Obama,Only Barack Obama,Strongly disapprove,Health care,Not so good,Very worried,No,About right,Shares my values,Not a factor at all,None,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Never,All others,Jeanne Shaheen did,John Sununu did,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,None,No,Suburbs,Suburbs,2.0,South,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3084.0
4418322.0,New Hampshire,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.692771375179291,Barack Obama,Jeanne Shaheen,John Lynch,Female,White,65-74,Democrat,Liberal,"$15,000-$29,999",College graduate,No,Strongly disapprove,Never,Continue George W. Bush's policies,Only Barack Obama,Both of them,Barack Obama,Only Barack Obama,Strongly disapprove,Health care,Not so good,Very worried,No,About right,Shares my values,Not a factor at all,None,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Never,All others,Jeanne Shaheen did,John Sununu did,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,None,No,Suburbs,Suburbs,2.0,South,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3084.0
4417258.0,New Hampshire,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.656689584255219,Barack Obama,Jeanne Shaheen,John Lynch,Male,White,50-59,Independent,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,Never,Take the country in a different direction,Only Barack Obama,Omit,Barack Obama,Only Barack Obama,Strongly disapprove,The war in Iraq,Not so good,Very worried,No,About right,Shares my values,Not a factor at all,None,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Never,All others,Omit,Omit,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,None,No,Suburbs,Suburbs,2.0,South,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3084.0
