ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSVT08,GOVVT08,HSEVT08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ISSUE08,NECWORRY,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401800.0, Vermont,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Peter Welch,Female,White,60-64,Democrat,Liberal,,College graduate,,,,,,,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,Suburbs,Suburbs,1.0,Burlington/Winooski River Valley,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,5461.0
4400604.0, Vermont,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Peter Welch,Male,White,45-49,Something else,Moderate,"$30,000-$49,999",College graduate,,,The war in Iraq,,,Before that,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Before that,In the last month or before that,,No,Suburbs,Suburbs,1.0,Burlington/Winooski River Valley,East,Town,70s Suburbs,Urban Perimeter,Very upscale,5452.0
4400605.0, Vermont,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Peter Welch,Female,White,75 or over,Independent,Moderate,"$75,000-$99,999",Postgraduate study,,,The economy,,,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Earlier in October,In the last month or before that,,No,"Cities 10,000-50,000",Small Cities/Rural,1.0,Burlington/Winooski River Valley,East,Town,Rural,Rural,Downscale,5641.0
4402419.0, Vermont,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Peter Welch,Female,White,65-74,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,,,,,Protestant,Sometime in September,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Protestant/Other Christian,Yes,"Cities 10,000-50,000",Small Cities/Rural,1.0,Burlington/Winooski River Valley,East,Town,Rural,Rural,Downscale,5701.0
4402417.0, Vermont,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Peter Welch,Male,White,40-44,Democrat,Liberal,"$30,000-$49,999",College graduate,,,,,Protestant,Before that,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Protestant/Other Christian,No,Rural,Small Cities/Rural,1.0,Burlington/Winooski River Valley,East,Low Density Rural,Rural,Rural,Very downscale,5201.0
4401801.0, Vermont,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Thomas Hermann,Male,Other,60-64,Republican,Conservative,"$30,000-$49,999",High school graduate,,,,,,,,Non black male,All other races,Non white male,Non white,45-65,60+,45+,60+,50-64,18-64,Non black 60+,All other,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Republican,Non black non Democrat,All Republicans,All others,American Indian,,,,,,No,Suburbs,Suburbs,1.0,Burlington/Winooski River Valley,East,Town,70s Suburbs,Urban Perimeter,Very upscale,5452.0
4402418.0, Vermont,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Thomas Hermann,Female,White,65-74,Republican,Conservative,"$75,000-$99,999",College graduate,,,,,Catholic,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Catholic,No,Suburbs,Suburbs,1.0,Burlington/Winooski River Valley,East,Town,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,5482.0
4401802.0, Vermont,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Other,,Other,Female,White,65-74,Independent,Liberal,,College graduate,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,Rural,Small Cities/Rural,1.0,Burlington/Winooski River Valley,East,Extremely Low Density Rural,Rural,Rural,Very upscale,5340.0
4412029.0, Vermont,25.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.69441545009613,,Jim Douglas,,Male,,60-64,Independent,Conservative,,College graduate,,Omit,Terrorism,Somewhat worried,Catholic,Earlier in October,Omit,,,,,45-65,60+,45+,60+,50-64,18-64,,,,College graduate,More than High school graduate,,,,,,Worried,Independent/Something else,,,,,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,,,Suburbs,Suburbs,1.0,Burlington/Winooski River Valley,East,Town,70s Suburbs,Urban Perimeter,Very upscale,5446.0
4412563.0, Vermont,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.764673113822937,Barack Obama,Gaye Symington,,Female,White,25-29,Independent,Liberal,"$15,000-$29,999",College graduate,No,Omit,The economy,Very worried,None,Sometime in September,Omit,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,None,Sometime last week or earlier,Sometime in September,In the last month or before that,None,No,Suburbs,Suburbs,1.0,Burlington/Winooski River Valley,East,Town,80s Suburbs,Urban Perimeter,Very upscale,5495.0
4413932.0, Vermont,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.644670069217682,Barack Obama,Gaye Symington,,Male,White,40-44,Something else,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,The economy,Very worried,Catholic,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Catholic,Yes,Rural,Small Cities/Rural,1.0,Burlington/Winooski River Valley,East,Low Density Rural,Rural,Rural,Very upscale,5602.0
4413768.0, Vermont,22.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.45511722564697,Barack Obama,Jim Douglas,,Female,White,50-59,Independent,Moderate,"$200,000 or more",Postgraduate study,No,Strongly disapprove,The war in Iraq,Very worried,Catholic,Earlier in October,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,Catholic,No,Suburbs,Suburbs,1.0,Green Mountains,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,5445.0
4415808.0, Vermont,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.539864659309387,Barack Obama,Jim Douglas,,Male,White,25-29,Democrat,Liberal,"Under $15,000",High school graduate,No,Strongly disapprove,Health care,Somewhat worried,None,Earlier in October,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,None,Sometime last week or earlier,Earlier in October,In the last month or before that,None,Yes,Rural,Small Cities/Rural,1.0,Rutland/CT River Valley,East,Low Density Rural,Rural,Rural,Upscale,5301.0
4412987.0, Vermont,69.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.705459594726563,Barack Obama,Jim Douglas,,Female,White,50-59,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,,The war in Iraq,,,Sometime in September,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Sometime in September,In the last month or before that,,Yes,Suburbs,Suburbs,1.0,Burlington/Winooski River Valley,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,5488.0
4412551.0, Vermont,67.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.524208784103394,Barack Obama,Jim Douglas,,Male,White,60-64,Republican,Conservative,,Some college or associate degree,No,Strongly disapprove,Energy policy,Very worried,None,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,None,Sometime last week or earlier,Before that,In the last month or before that,None,,Rural,Small Cities/Rural,1.0,Rutland/CT River Valley,East,Low Density Rural,Rural,Rural,Very downscale,5156.0
4412240.0, Vermont,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.778246760368347,Barack Obama,Jim Douglas,,Male,White,50-59,Democrat,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,The economy,Very worried,Something else,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Something else,Sometime last week or earlier,Sometime in September,In the last month or before that,Something else,No,Suburbs,Suburbs,1.0,Burlington/Winooski River Valley,East,Town,80s Suburbs,Urban Perimeter,Very upscale,5495.0
