ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNJ08,SENNJ08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ECONHARDSHIP,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ECONHARDSHIP2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401604.0,New Jersey,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,,,,,,,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,No,"Cities 50,000-500,000","Cities over 50,000",12.0,Northern Cities,East,High Density Urban,Urban,Urban Core,Very downscale,8618.0
4401603.0,New Jersey,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Hispanic/Latino,60-64,Independent,Conservative,,Did not complete high school,,,,,,,,,,,,,,Non black female,Latino women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Non black 60+,Latino 60+,Latino 45-54,,No college degree,High school graduate or less,Non white no college degree,,,,,,,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,,,,,,,,,,,,Suburbs,Suburbs,13.0,Northern Cities,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7305.0
4401020.0,New Jersey,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,,Strongly disapprove,,The economy,Poor,Very worried,No,Shares my values,A minor factor,,Before that,,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Suburbs,Suburbs,9.0,Northern Cities,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7601.0
4401019.0,New Jersey,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,40-44,Democrat,Liberal,"$30,000-$49,999",High school graduate,,Strongly disapprove,,The economy,Not so good,Not too worried,No,Shares my values,Not a factor at all,,Before that,,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,Yes,Suburbs,Suburbs,3.0,Northern Cities,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,8735.0
4400432.0,New Jersey,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,45-49,Independent,Moderate,"$50,000-$74,999",College graduate,,,,The economy,Not so good,,No,Cares about people like me,Not a factor at all,,Sometime in September,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,No,"Cities 10,000-50,000",Small Cities/Rural,2.0,Northern Cities,East,Town,Rural,Rural,Downscale,8226.0
4400436.0,New Jersey,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Democrat,Liberal,"$100,000-$149,999",College graduate,,,,The economy,Poor,,No,Shares my values,Not a factor at all,,Before that,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Suburbs,Suburbs,8.0,Northern Cities,East,Extremely High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7003.0
4402258.0,New Jersey,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,45-49,Independent,Conservative,"$50,000-$74,999",High school graduate,,,,,,,,,,Other Christian,Before that,"Yes, I do",,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Yes,I am,Yes,Protestant/Other Christian,No,Suburbs,Suburbs,12.0,Northern Cities,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,8884.0
4401602.0,New Jersey,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,40-44,Republican,Conservative,"$200,000 or more",College graduate,,,,,,,,,,,,,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,,,No,Suburbs,Suburbs,6.0,Northern Cities,East,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0
4401601.0,New Jersey,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,65-74,Independent,Moderate,"$50,000-$74,999",High school graduate,,,,,,,,,,,,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,No,Suburbs,Suburbs,5.0,Northern Cities,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7882.0
4401021.0,New Jersey,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,45-49,Independent,Conservative,"$75,000-$99,999",High school graduate,,Somewhat approve,,The economy,Not so good,Not too worried,No,Has the right experience,Not a factor at all,,Before that,,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Suburbs,Suburbs,4.0,Northern Cities,East,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,7728.0
