ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESWY04,HOUWY04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,LATINO,TIMEPRES,FORCAND,BUSH4,IRAQAPP,FAVCHEN,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,QRACEAI,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1536478.0,Wyoming,47.0,State,1.0,Call 3,1.42263627052307,Bush,Cubin,Male,White,65-74,Republican,Moderate,"$30,000-$49,999",About the same,Protestant,,Before that,For your candidate,Somewhat approve,Strongly approve,Favorable,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,1.0,82901.0
1492356.0,Wyoming,25.0,State,1.0,Call 1,1.06419825553894,Bush,Cubin,Female,White,30-39,Republican,Conservative,,Better today,Other Christian,No,Before that,For your candidate,Strongly approve,Strongly approve,Favorable,White female,30-44,30-39,18-64,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,North,Rural,Small cities and Rural,1.0,83118.0
1518825.0,Wyoming,42.0,State,1.0,Call 2,0.826233863830566,Bush,Ladd,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",About the same,Protestant,No,Just today,For your candidate,Somewhat approve,Somewhat approve,Favorable,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,North,"City: 10,000 to 49,999",Small cities and Rural,1.0,82801.0
1493455.0,Wyoming,49.0,State,1.0,Call 1,2.66049551963806,Bush,Cubin,Female,White,50-59,Republican,Moderate,"$200,000 or more",About the same,Protestant,No,Before that,For your candidate,Strongly approve,Somewhat approve,Favorable,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,North,"City: 10,000 to 49,999",Small cities and Rural,1.0,83001.0
1539780.0,Wyoming,14.0,State,1.0,Call 3,0.313562780618668,Bush,Ladd,Female,White,25-29,Democrat,Moderate,"$15,000-$29,999",Worse today,None,No,Just today,Against his opponent,Somewhat approve,Strongly disapprove,Unfavorable,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,White,North,Rural,Small cities and Rural,1.0,82240.0
1490143.0,Wyoming,26.0,State,1.0,Call 1,1.24282586574554,Bush,Cubin,Male,White,65-74,Independent,Conservative,"$75,000-$99,999",About the same,Mormon/LDS,No,Before that,For your candidate,Strongly approve,Strongly approve,Favorable,White male,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,North,Rural,Small cities and Rural,1.0,83110.0
1488795.0,Wyoming,20.0,State,1.0,Call 1,1.08507764339447,Kerry,Ladd,Female,White,45-49,Independent,Moderate,"$75,000-$99,999",About the same,Something else,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,Unfavorable,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,South,"City: 50,000 to 500,000","City over 50,000",1.0,82001.0
1489035.0,Wyoming,41.0,State,1.0,Call 1,1.02271604537964,Kerry,Ladd,Male,White,50-59,Democrat,Liberal,,Worse today,Catholic,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Unfavorable,White male,45-59,50-64,18-64,Democrat,,,Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,North,Rural,Small cities and Rural,1.0,82842.0
1535360.0,Wyoming,7.0,State,1.0,Call 3,0.976915538311005,Bush,,Male,Hispanic/Latino,40-44,Independent,Conservative,"$30,000-$49,999",Worse today,Other Christian,Yes,During the last month,Against his opponent,Somewhat approve,Somewhat approve,Omit,Non-white male,30-44,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Hispanic/Latino,North,Rural,Small cities and Rural,1.0,82732.0
1516599.0,Wyoming,14.0,State,1.0,Call 2,0.619968473911285,Kerry,Other,Female,White,30-39,Independent,Moderate,"Under $15,000",Worse today,None,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Favorable,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,North,Rural,Small cities and Rural,1.0,82240.0
