ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESNE04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,LATINO,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1537446.0,Nebraska,22.0,State,1.0,Call 3,0.54006952047348,Bush,Male,White,50-59,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,No,No,Before that,For your candidate,Strongly approve,Somewhat approve,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,CD 2,"City: 50,000 to 500,000","City over 50,000",2.0,68164.0
1514115.0,Nebraska,48.0,State,1.0,Call 2,0.969729065895081,Bush,Male,White,30-39,Democrat,Moderate,"$75,000-$99,999",Worse today,Catholic,No,No,Before that,Against his opponent,Somewhat approve,Strongly approve,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,CD 1,Rural,Small cities and Rural,1.0,68410.0
1537444.0,Nebraska,39.0,State,1.0,Call 3,0.816276609897614,Bush,Male,White,25-29,Republican,Conservative,"$50,000-$74,999",Better today,Other Christian,Yes,No,Before that,For your candidate,Strongly approve,Strongly approve,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,CD 1,"City: 50,000 to 500,000","City over 50,000",1.0,68516.0
1493116.0,Nebraska,54.0,National,4.0,Call 1,1.39189374446869,Other,Male,White,30-39,Democrat,Conservative,"$50,000-$74,999",,,,No,In the last three days,,,,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",,,,,,Just today/In the last three days,Just today/In the last three days/Sometime last week,,White,CD 3,Rural,Small cities and Rural,3.0,69356.0
1514112.0,Nebraska,41.0,State,1.0,Call 2,0.988603234291077,Bush,Female,White,50-59,Republican,Conservative,"$50,000-$74,999",About the same,Protestant,Yes,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,CD 1,"City: 50,000 to 500,000","City over 50,000",1.0,68507.0
1536986.0,Nebraska,22.0,State,1.0,Call 3,0.511123836040497,Bush,Female,White,25-29,Democrat,Moderate,"$30,000-$49,999",Better today,Other Christian,No,No,During the last month,Against his opponent,Somewhat approve,Somewhat disapprove,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,CD 2,"City: 50,000 to 500,000","City over 50,000",2.0,68164.0
1490774.0,Nebraska,54.0,National,2.0,Call 1,1.31108713150024,Kerry,Female,White,50-59,Democrat,Moderate,"$30,000-$49,999",About the same,Protestant,Yes,No,Before that,,Strongly disapprove,Strongly disapprove,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,CD 3,Rural,Small cities and Rural,3.0,69356.0
1535099.0,Nebraska,50.0,State,1.0,Call 3,0.868123829364777,Bush,Female,White,50-59,Republican,Conservative,"$30,000-$49,999",About the same,Other Christian,Yes,No,Before that,For your candidate,Strongly approve,Somewhat approve,White female,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,CD 2,Suburbs,Suburbs,2.0,68005.0
1514100.0,Nebraska,25.0,State,1.0,Call 2,0.597304582595825,Kerry,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",About the same,Catholic,No,No,Before that,Against his opponent,Somewhat disapprove,Strongly disapprove,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,CD 2,"City: 50,000 to 500,000","City over 50,000",2.0,68106.0
1537429.0,Nebraska,16.0,State,1.0,Call 3,0.61519068479538,Kerry,Male,White,25-29,Independent,Liberal,"$15,000-$29,999",Worse today,None,No,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,CD 2,"City: 50,000 to 500,000","City over 50,000",2.0,68105.0
