ID,STANUM,QTYPE,VERSION,TELEPOLL,WGT,PRESOR04,SENOR04,MEAS33OR,MEAS36OR,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,UNION4,MARRIED,LATINO,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECOR,COUNTACC,ENVIRON,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,IRAQ2,IRAQGO2,COUNT2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,ZIPCODE
1465113.0,Oregon,State,1.0,Phone survey,0.690034031867981,Kerry,Wyden,Yes,No,Female,White,60-64,Democrat,Liberal,No,"$30,000-$49,999",Worse today,Protestant,No,Some college/associate degree,"Yes, I am",No,No,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Somewhat confident,Protecting the environment,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,Multnomah county,"City over 500,000","City over 50,000",97230.0
1465114.0,Oregon,State,1.0,Phone survey,0.850240349769592,Bush,King,No,Yes,Female,White,18-24,Republican,Conservative,No,"$75,000-$99,999",Better today,Protestant,Yes,College graduate,No one is,No,No,For your candidate,Moral values,Will bring about needed change,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Somewhat confident,Keeping jobs in your state,White female,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,Suburbs,Suburbs,97133.0
1465115.0,Oregon,State,1.0,Phone survey,1.15786635875702,Kerry,Wyden,Yes,No,Female,White,30-39,Something Else,Moderate,No,"$50,000-$74,999",About the same,None,No,College graduate,"Yes, someone else is",Yes,No,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat well,Not so good,Very confident,Keeping jobs in your state,White female,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Very/Somewhat well,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,Married women,White,South and East,"City: 10,000 to 49,999",Small cities and Rural,97754.0
1465116.0,Oregon,State,1.0,Phone survey,1.06321978569031,Kerry,Wyden,Yes,No,Female,White,30-39,Democrat,Liberal,No,"$100,000-$149,999",About the same,Catholic,No,Postgraduate study,No one is,Yes,No,For your candidate,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Omit,Neither of them,Only John Kerry,Very badly,Not so good,Very confident,Omit,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Suburbs and capital,Suburbs,Suburbs,97055.0
1465117.0,Oregon,State,1.0,Phone survey,1.38006806373596,Kerry,Wyden,Yes,No,Female,White,50-59,Independent,Liberal,No,"$15,000-$29,999",Worse today,Catholic,Yes,Some college/associate degree,No one is,No,No,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Neither of them,Very badly,Poor,Not very confident,Keeping jobs in your state,White female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Not very/Not at all confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Multnomah county,Suburbs,Suburbs,97030.0
1465118.0,Oregon,State,1.0,Phone survey,0.440806090831757,,,,Yes,Female,White,65-74,Democrat,Moderate,No,,About the same,Protestant,,Some college/associate degree,No one is,No,No,Omit,Iraq,Is honest and trustworthy,Somewhat approve,Somewhat disapprove,Less safe from terrorism,Both of them,Both of them,Very badly,Not so good,Somewhat confident,Keeping jobs in your state,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Strongly/Somewhat approve,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,"City: 50,000 to 500,000","City over 50,000",97301.0
1465119.0,Oregon,State,1.0,Phone survey,0.560093760490417,Bush,King,No,Yes,Male,White,30-39,Independent,Moderate,No,"$50,000-$74,999",About the same,None,No,College graduate,No one is,No,No,For your candidate,Terrorism,Has clear stands on the issues,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Not so good,Very confident,Omit,White male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,College graduate,Strongly/Somewhat approve,Strongly/Somewhat approve,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,"City: 50,000 to 500,000","City over 50,000",97005.0
1465120.0,Oregon,State,1.0,Phone survey,1.40432572364807,Kerry,Wyden,Yes,No,Male,White,30-39,Something Else,Liberal,No,"$30,000-$49,999",Worse today,None,No,Some college/associate degree,No one is,No,No,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Neither of them,Very badly,Poor,Somewhat confident,Protecting the environment,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Multnomah county,"City over 500,000","City over 50,000",97202.0
1465121.0,Oregon,State,1.0,Phone survey,1.06321978569031,Kerry,Wyden,Yes,No,Female,White,45-49,Democrat,Moderate,No,"$50,000-$74,999",Worse today,Catholic,No,Some college/associate degree,No one is,No,No,Against his opponent,Health care,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Safer from terrorism,Both of them,Only John Kerry,Somewhat badly,Not so good,Very confident,Keeping jobs in your state,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,Suburbs,Suburbs,97351.0
1465122.0,Oregon,State,1.0,Phone survey,1.15786635875702,Kerry,Wyden,,No,Female,White,45-49,Independent,Moderate,No,"$75,000-$99,999",Worse today,Catholic,No,High school graduate,"Yes, someone else is",Yes,No,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Only John Kerry,Very badly,Not so good,Somewhat confident,Omit,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,Someone in household is union member,Voter is not union member,Married women,White,South and East,Suburbs,Suburbs,97520.0
