ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESAK04,SENAK04,HOUAK04,BM2AK,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,VETVOTER,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,FMURKOW,LISAMURK,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACEAK,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1488172.0,Alaska,13.0,State,1.0,Call 1,Complete,0.264117658138275,Kerry,Murkowski,,Yes,Female,White,25-29,,,,Better today,,,Before that,Against his opponent,Omit,Is a strong leader,Somewhat approve,Strongly approve,Omit,Omit,Omit,White female,18-29,25-29,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1488277.0,Alaska,13.0,State,1.0,Call 1,Complete,0.287200599908829,Bush,Knowles,,No,Male,White,18-24,,,,About the same,,,Before that,For your candidate,Omit,Cares about people like me,Somewhat disapprove,Strongly disapprove,Omit,Approve,Omit,White male,18-29,18-24,18-64,,,,,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1488367.0,Alaska,13.0,State,1.0,Call 1,Complete,0.278133153915405,Kerry,Knowles,,No,Female,Black,30-39,,,,About the same,,,Before that,For your candidate,Omit,Is a strong leader,Somewhat disapprove,Somewhat approve,Omit,Omit,Omit,Non-white female,30-44,30-39,18-64,,,,,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Omit,Omit,Black,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1488436.0,Alaska,13.0,State,1.0,Call 1,Complete,0.286761462688446,Kerry,,,,Female,Black,30-39,,,,Better today,,,Just today,For your candidate,Taxes,Is honest and trustworthy,Somewhat disapprove,Somewhat approve,Omit,Omit,Omit,Non-white female,30-44,30-39,18-64,,,,,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Omit,Omit,Black,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1488521.0,Alaska,13.0,State,1.0,Call 1,Complete,0.286761462688446,Kerry,,,,Female,White,40-44,,,,Worse today,,,Before that,Against his opponent,Education,Is a strong leader,Somewhat approve,Somewhat disapprove,Omit,Omit,Omit,White female,30-44,40-49,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489139.0,Alaska,13.0,State,1.0,Call 1,Complete,0.556819617748261,Kerry,Knowles,,,Female,White,30-39,,,,About the same,,,Before that,Against his opponent,Omit,Cares about people like me,Strongly approve,Somewhat disapprove,Omit,Omit,Omit,White female,30-44,30-39,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489244.0,Alaska,13.0,State,1.0,Call 1,Complete,0.286911517381668,Kerry,Murkowski,,,Male,White,40-44,,,,Better today,,,Before that,Against his opponent,Taxes,Is honest and trustworthy,Somewhat approve,Somewhat disapprove,Omit,Disapprove,Omit,White male,30-44,40-49,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489301.0,Alaska,13.0,State,1.0,Call 1,Complete,0.264117658138275,Bush,Knowles,,Yes,Female,White,18-24,,,,Better today,,,Before that,For your candidate,Education,Cares about people like me,Somewhat disapprove,Omit,Omit,Approve,Omit,White female,18-29,18-24,18-64,,,,,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489423.0,Alaska,13.0,State,1.0,Call 1,Complete,0.492823600769043,Bush,Murkowski,Other,Yes,Female,White,25-29,,,,Worse today,,,Sometime last week,Against his opponent,Education,Has strong religious faith,Somewhat approve,Strongly approve,Omit,Omit,Omit,White female,18-29,25-29,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489469.0,Alaska,13.0,State,1.0,Call 1,Complete,0.264117658138275,Bush,Knowles,,Yes,Female,White,18-24,,,,Worse today,,,Before that,For your candidate,Education,Cares about people like me,Somewhat disapprove,Somewhat disapprove,Omit,Omit,Omit,White female,18-29,18-24,18-64,,,,,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
