ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESAL04,SENAL04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1510006.0,Alabama,18.0,State,1.0,Call 2,0.593356609344482,Bush,Shelby,Female,White,50-59,Republican,Conservative,"$50,000-$74,999",About the same,Protestant,Yes,Before that,For your candidate,Somewhat approve,Somewhat approve,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1507799.0,Alabama,94.0,State,1.0,Call 2,1.08289289474487,Bush,Shelby,Male,White,30-39,Republican,Conservative,"$30,000-$49,999",About the same,Mormon/LDS,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Black belt,Rural,Small cities and Rural,7.0,35470.0
1490150.0,Alabama,1.0,State,1.0,Call 1,0.767814755439758,Kerry,Sowell,Male,White,,Democrat,Liberal,"$15,000-$29,999",About the same,Protestant,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White male,,,,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,South,Suburbs,Suburbs,1.0,36530.0
1505591.0,Alabama,51.0,State,1.0,Call 2,0.809466660022736,Kerry,Sowell,Female,Black,50-59,,Moderate,"$50,000-$74,999",Worse today,None,Yes,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,45-59,50-64,18-64,,"$50,000 or more","Under $100,000",None,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",7.0,35208.0
1526547.0,Alabama,51.0,State,1.0,Call 3,0.809466660022736,Kerry,Sowell,Female,Black,45-49,Democrat,Liberal,"$30,000-$49,999",About the same,Other Christian,Yes,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",7.0,35208.0
1506692.0,Alabama,51.0,State,1.0,Call 2,1.04816973209381,Kerry,Sowell,Female,Black,60-64,Democrat,Moderate,"$50,000-$74,999",About the same,Protestant,Yes,During the last month,For your candidate,Somewhat disapprove,Somewhat disapprove,Non-white female,60 or over,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",7.0,35208.0
1526980.0,Alabama,28.0,State,1.0,Call 3,1.11207723617554,Bush,,Female,White,30-39,Republican,Moderate,"$30,000-$49,999",Better today,,,During the last month,Against his opponent,Somewhat approve,Somewhat approve,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",,,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,North,Rural,Small cities and Rural,4.0,35962.0
1525437.0,Alabama,99.0,National,2.0,Call 3,1.36636412143707,Kerry,Sowell,Female,Black,65-74,Democrat,Liberal,"$15,000-$29,999",About the same,Other Christian,Yes,Before that,,Strongly disapprove,Strongly disapprove,Non-white female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,North central,Suburbs,Suburbs,3.0,36078.0
1480212.0,Alabama,80.0,State,1.0,Call 1,0.812169671058655,Bush,Shelby,Male,White,45-49,Republican,Conservative,"$30,000-$49,999",Better today,Protestant,Yes,Before that,Omit,Strongly approve,Strongly approve,White male,45-59,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Black belt,"City: 50,000 to 500,000","City over 50,000",2.0,36109.0
1507786.0,Alabama,51.0,State,1.0,Call 2,1.33406984806061,Bush,Shelby,Female,,65-74,Republican,Conservative,"$50,000-$74,999",Better today,,Yes,Before that,For your candidate,Strongly approve,Strongly approve,,60 or over,65 or over,65 or over,Republican,"$50,000 or more","Under $100,000",,,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,Jefferson county,"City: 50,000 to 500,000","City over 50,000",7.0,35208.0
1509113.0,Alabama,10.0,National,4.0,Call 3,1.04430770874023,Bush,Shelby,Female,White,45-49,Democrat,Conservative,"$15,000-$29,999",,,,Before that,,,,White female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,White,North central,"City: 10,000 to 49,999",Small cities and Rural,3.0,36201.0
