ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESDC04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,LATINO,TIMEPRES,FORCAND,BUSH4,IRAQAPP,TERRWORR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,TERWORR2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1527033.0,District of Columbia,26.0,State,1.0,Call 3,0.463520169258118,Kerry,Female,Black,30-39,Democrat,Liberal,"$150,000-$199,999",Better today,Protestant,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Somewhat worried,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Black,North central,"City over 500,000","City over 50,000",1.0,20018.0
1502450.0,District of Columbia,38.0,State,1.0,Call 2,1.11903941631317,Kerry,Female,Black,65-74,Democrat,Liberal,"$50,000-$74,999",Better today,None,No,Just today,For your candidate,Somewhat approve,Somewhat approve,Very worried,Non-white female,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","Under $100,000",None,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat worried,Black,Southeast,"City over 500,000","City over 50,000",1.0,20032.0
1525773.0,District of Columbia,22.0,State,1.0,Call 3,0.809648752212524,Kerry,Female,Black,40-44,Democrat,Conservative,"$30,000-$49,999",About the same,Other Christian,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Not too worried,Non-white female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Not too/Not at all worried,Black,Northwest,"City over 500,000","City over 50,000",1.0,20011.0
1504773.0,District of Columbia,9.0,State,1.0,Call 2,1.44641184806824,Bush,Male,,75 or over,Republican,Conservative,"$150,000-$199,999",Better today,Catholic,,Before that,For your candidate,Strongly approve,Strongly approve,Somewhat worried,,60 or over,65 or over,65 or over,Republican,"$50,000 or more","$100,000 or more",Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,,Southwest,"City over 500,000","City over 50,000",1.0,20016.0
1479109.0,District of Columbia,26.0,State,1.0,Call 1,0.514276444911957,Kerry,Male,Hispanic/Latino,45-49,Democrat,Moderate,"$100,000-$149,999",Worse today,Protestant,Yes,Just today,For your candidate,Strongly disapprove,Strongly disapprove,Somewhat worried,Non-white male,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Very/Somewhat worried,Black,North central,"City over 500,000","City over 50,000",1.0,20018.0
1479099.0,District of Columbia,28.0,State,1.0,Call 1,0.909212648868561,Kerry,Female,Black,50-59,Democrat,Moderate,"Under $15,000",Worse today,Other Christian,No,Before that,For your candidate,Strongly disapprove,Omit,Somewhat worried,Non-white female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Very/Somewhat worried,Black,North central,"City over 500,000","City over 50,000",1.0,20002.0
1504384.0,District of Columbia,5.0,State,1.0,Call 2,1.06736779212952,Kerry,Female,Black,18-24,Democrat,Liberal,"$30,000-$49,999",Worse today,Protestant,No,Before that,For your candidate,Strongly disapprove,Somewhat disapprove,Somewhat worried,Non-white female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Black,Southwest,"City over 500,000","City over 50,000",1.0,20009.0
1530419.0,District of Columbia,35.0,State,1.0,Call 3,1.63031232357025,Kerry,Female,Black,45-49,Democrat,Moderate,"$30,000-$49,999",Worse today,,No,Before that,For your candidate,Strongly disapprove,Somewhat disapprove,Somewhat worried,Non-white female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Black,Southeast,"City over 500,000","City over 50,000",1.0,20020.0
1504382.0,District of Columbia,12.0,State,1.0,Call 2,1.6627836227417,Bush,Female,White,65-74,Democrat,Liberal,"$30,000-$49,999",About the same,Jewish,No,Before that,For your candidate,Strongly approve,Strongly approve,Very worried,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Jewish,White Jewish,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,White,Southwest,"City over 500,000","City over 50,000",1.0,20008.0
1476758.0,District of Columbia,23.0,State,1.0,Call 1,0.891689777374268,Kerry,Female,White,40-44,Democrat,Liberal,"$200,000 or more",Better today,Jewish,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,Somewhat worried,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,White,North central,"City over 500,000","City over 50,000",1.0,20001.0
