ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESHI04,SENHI04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,LATINO,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,QRACEHI,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1497401.0,Hawaii,39.0,State,1.0,Call 1,0.775243103504181,Kerry,Inouye,Male,White,25-29,Independent,Liberal,"$75,000-$99,999",Omit,,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White male,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1497480.0,Hawaii,39.0,State,1.0,Call 1,0.760534524917603,Kerry,Inouye,Female,Hispanic/Latino,45-49,Democrat,Liberal,"$30,000-$49,999",Worse today,Catholic,,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Hispanic/Latino,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1497546.0,Hawaii,39.0,State,1.0,Call 1,0.811679720878601,Kerry,Inouye,Male,Asian,30-39,Democrat,Moderate,"$150,000-$199,999",Better today,Other Christian,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,Non-white male,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Asian,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1497708.0,Hawaii,39.0,State,1.0,Call 1,1.19016122817993,Bush,Cavasso,Male,White,45-49,Republican,Conservative,"$75,000-$99,999",Better today,Catholic,No,Before that,For your candidate,Somewhat approve,Strongly approve,White male,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1497851.0,Hawaii,39.0,State,1.0,Call 1,0.760534524917603,Kerry,Inouye,Female,White,50-59,Independent,Liberal,"$50,000-$74,999",About the same,Other Christian,,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1497958.0,Hawaii,39.0,State,1.0,Call 1,0.760534524917603,Kerry,Inouye,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",About the same,Protestant,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498022.0,Hawaii,39.0,State,1.0,Call 1,0.811679720878601,Kerry,Inouye,Male,White,50-59,Democrat,Moderate,"$75,000-$99,999",Better today,Catholic,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498115.0,Hawaii,39.0,State,1.0,Call 1,0.760534524917603,Kerry,Inouye,Female,,50-59,Independent,Moderate,"Under $15,000",About the same,Something else,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Something else,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498185.0,Hawaii,39.0,State,1.0,Call 1,0.760534524917603,Kerry,Inouye,Female,White,40-44,Democrat,Moderate,"$100,000-$149,999",Better today,Jewish,No,Sometime last week,Against his opponent,Strongly disapprove,Strongly disapprove,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498247.0,Hawaii,39.0,State,1.0,Call 1,0.811679720878601,Kerry,Inouye,Male,White,40-44,Independent,Liberal,"$30,000-$49,999",About the same,Something else,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White male,30-44,40-49,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498330.0,Hawaii,39.0,State,1.0,Call 1,0.811679720878601,Kerry,Inouye,Male,White,45-49,Democrat,Liberal,"$50,000-$74,999",Worse today,Jewish,,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White male,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498390.0,Hawaii,39.0,State,1.0,Call 1,0.760534524917603,Kerry,Inouye,Female,Asian,30-39,Democrat,Moderate,"$100,000-$149,999",Better today,None,No,Before that,For your candidate,Somewhat disapprove,Strongly disapprove,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Asian,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498432.0,Hawaii,39.0,State,1.0,Call 1,0.760534524917603,Kerry,Inouye,Female,White,45-49,Independent,Moderate,"$30,000-$49,999",Worse today,Other Christian,,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498494.0,Hawaii,39.0,State,1.0,Call 1,0.946428656578064,Bush,Inouye,Female,White,,Democrat,Moderate,"$100,000-$149,999",Better today,Protestant,No,Just today,Against his opponent,Somewhat disapprove,Strongly disapprove,White female,,,,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498547.0,Hawaii,39.0,State,1.0,Call 1,1.50307309627533,Bush,Cavasso,Female,White,65-74,Independent,Moderate,,Better today,Catholic,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,60 or over,65 or over,65 or over,Independent,,,Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498601.0,Hawaii,39.0,State,1.0,Call 1,0.760534524917603,Kerry,Inouye,Female,White,50-59,Democrat,Liberal,,Worse today,Something else,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White female,45-59,50-64,18-64,Democrat,,,Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
1498668.0,Hawaii,39.0,State,1.0,Call 1,0.726393818855286,Kerry,Inouye,Female,White,18-24,Democrat,Liberal,"Under $15,000",Worse today,,No,Before that,Omit,Strongly disapprove,Strongly disapprove,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Neighbor islands,Rural,Small cities and Rural,2.0,96790.0
