ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,TELEPOLL,WGT,PRESTX04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,MEXICAN,TIMEPRES,FORCAND,BUSH4,IRAQAPP,FAVBUSH,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1463908.0,Texas,,State,1.0,,Phone survey,0.953990638256073,Bush,Female,White,65-74,Republican,Conservative,"Under $15,000",Better today,Protestant,No,,For your candidate,Somewhat approve,Somewhat approve,Favorable,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,,,Strongly/Somewhat approve,White,English,South-Central,Suburbs,Suburbs,,77584.0
1463909.0,Texas,,State,1.0,,Phone survey,1.38437640666962,Kerry,Male,,,Democrat,Moderate,,Worse today,Other Christian,,,Against his opponent,Strongly disapprove,Strongly approve,Unfavorable,,,,,Democrat,,,Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,,,Houston,"City over 500,000","City over 50,000",,77006.0
1463910.0,Texas,,State,1.0,,Phone survey,1.53536152839661,Bush,Male,White,60-64,Republican,Conservative,"$50,000-$74,999",Worse today,Other Christian,No,,For your candidate,Strongly approve,Strongly approve,Favorable,White male,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,,,Strongly/Somewhat approve,White,English,South-Central,Suburbs,Suburbs,,76513.0
1463911.0,Texas,,State,1.0,,Phone survey,0.649547159671783,Bush,Female,Hispanic/Latino,30-39,Something Else,Conservative,"Under $15,000",Better today,Catholic,Yes,,For your candidate,Somewhat disapprove,Somewhat disapprove,Favorable,Non-white female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Catholic,All others,All others,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Hispanic/Latino,English,South-Central,Suburbs,Suburbs,,77469.0
1463912.0,Texas,,State,1.0,,Phone survey,0.746244192123413,Kerry,Female,White,60-64,Democrat,Liberal,"$30,000-$49,999",Worse today,Something else,No,,Omit,Strongly disapprove,Somewhat disapprove,Unfavorable,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,White,English,South-Central,"City: 50,000 to 500,000","City over 50,000",,78664.0
1463913.0,Texas,,State,1.0,,Phone survey,0.533295631408691,Bush,Female,White,60-64,Republican,Conservative,"$15,000-$29,999",Better today,Protestant,No,,For your candidate,Strongly approve,Strongly approve,Favorable,White female,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,,,Strongly/Somewhat approve,White,English,Hispanic/South,Suburbs,Suburbs,,78154.0
1463914.0,Texas,,State,1.0,,Phone survey,1.63517141342163,Bush,Female,White,50-59,Independent,Moderate,"$50,000-$74,999",About the same,Protestant,No,,For your candidate,Somewhat approve,Strongly approve,Favorable,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,,,Strongly/Somewhat approve,White,English,East,Suburbs,Suburbs,,75791.0
1463915.0,Texas,,State,1.0,,Phone survey,1.59072864055634,Kerry,Female,White,50-59,Democrat,Liberal,"$50,000-$74,999",About the same,Protestant,No,,For your candidate,Strongly approve,Somewhat disapprove,Unfavorable,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,White,English,West,Rural,Small cities and Rural,,78624.0
1463916.0,Texas,,State,1.0,,Phone survey,1.13846731185913,Bush,Male,White,65-74,Republican,Conservative,"Under $15,000",About the same,Catholic,No,,For your candidate,Strongly approve,Strongly approve,Favorable,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,,,Strongly/Somewhat approve,White,English,South-Central,Suburbs,Suburbs,,77584.0
1463917.0,Texas,,State,1.0,,Phone survey,1.63624513149261,Bush,Female,White,40-44,Republican,Moderate,"$30,000-$49,999",About the same,Mormon/LDS,No,,Omit,Strongly approve,Somewhat approve,Favorable,White female,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,,,Strongly/Somewhat approve,White,English,West,Suburbs,Suburbs,,78133.0
