ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESOK04,SENOK04,QST711OK,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,EXTOKSEN,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,CARSEXTR,COBUEXTR,QRACEAI,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1539778.0,Oklahoma,54.0,State,1.0,Call 3,Complete,0.87037867307663,Kerry,Carson,No,Female,Black,25-29,Democrat,Moderate,"$15,000-$29,999",Worse today,Other Christian,Yes,No,Before that,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Tom Coburn is too extreme,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Coburn/Neither too extreme,Coburn/Both too extreme,Black,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73127.0
1486118.0,Oklahoma,7.0,State,1.0,Call 1,Complete,0.783603012561798,Kerry,Coburn,Yes,Female,Hispanic/Latino,30-39,Democrat,Moderate,"Under $15,000",Worse today,Catholic,No,Yes,During the last month,Against his opponent,Omit,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,Brad Carson is too extreme,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,Carson/Both too extreme,Carson/Neither too extreme,Black,West,"City: 10,000 to 49,999",Small cities and Rural,4.0,73401.0
1486308.0,Oklahoma,20.0,State,1.0,Call 1,Complete,0.853949844837189,Bush,Coburn,Yes,Female,White,30-39,Independent,Moderate,,About the same,Other Christian,Yes,No,Before that,Against his opponent,Moral values,Omit,Strongly approve,Strongly approve,Safer from terrorism,Both of them,Omit,White female,30-44,30-39,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,Omit,Omit,White,West,Rural,Small cities and Rural,3.0,73096.0
1507112.0,Oklahoma,72.0,State,1.0,Call 2,Not complete,0.638102233409882,Bush,Coburn,No,Female,Other,45-49,,,,,,,No,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,,,,,Non-white female,45-59,40-49,18-64,,,,,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,Other,Tulsa area,Suburbs,Suburbs,2.0,74017.0
1532773.0,Oklahoma,60.0,State,1.0,Call 3,Complete,0.492785751819611,Kerry,Carson,Yes,Female,Black,45-49,Something Else,Moderate,"$50,000-$74,999",About the same,Other Christian,Yes,No,Sometime last week,For your candidate,Education,Will bring about needed change,Somewhat disapprove,Somewhat approve,Less safe from terrorism,Neither of them,Both are too extreme,Non-white female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Only Kerry/Neither,Only Bush/Neither,Carson/Both too extreme,Coburn/Both too extreme,Black,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73142.0
1488567.0,Oklahoma,61.0,State,1.0,Call 1,Complete,1.09898006916046,Bush,Coburn,Yes,Male,Black,30-39,Republican,Conservative,"$75,000-$99,999",Better today,Other Christian,Yes,No,Before that,Against his opponent,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both are too extreme,Non-white male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Carson/Both too extreme,Coburn/Both too extreme,Black,Oklahoma City area,Suburbs,Suburbs,5.0,73084.0
1481445.0,Oklahoma,40.0,State,1.0,Call 1,Complete,0.735242426395416,Bush,Coburn,Yes,Female,White,25-29,Democrat,Conservative,"$15,000-$29,999",About the same,Other Christian,Yes,No,Before that,For your candidate,Education,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Both of them,Both are too extreme,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,Carson/Both too extreme,Coburn/Both too extreme,White,East,Rural,Small cities and Rural,2.0,74423.0
1484286.0,Oklahoma,72.0,State,1.0,Call 1,Complete,1.15633761882782,Did not vote,Carson,Yes,Male,White,50-59,Democrat,Liberal,"$75,000-$99,999",Worse today,Other Christian,,,Before that,For your candidate,Economy/Jobs,Cares about people like me,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Brad Carson is too extreme,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Carson/Both too extreme,Carson/Neither too extreme,White,Tulsa area,Suburbs,Suburbs,2.0,74017.0
1507101.0,Oklahoma,79.0,State,1.0,Call 2,Complete,1.24552345275879,Bush,Coburn,Yes,Male,White,40-44,Republican,Conservative,"Under $15,000",Worse today,Other Christian,No,No,Before that,For your candidate,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Neither is too extreme,White male,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Coburn/Neither too extreme,Carson/Neither too extreme,White,Tulsa area,"City: 50,000 to 500,000","City over 50,000",1.0,74115.0
1530430.0,Oklahoma,1.0,State,1.0,Call 3,Complete,0.850239276885986,Bush,Coburn,No,Male,Other,30-39,Republican,Conservative,"$100,000-$149,999",About the same,Other Christian,Yes,No,Before that,For your candidate,Taxes,Has strong religious faith,Strongly approve,Omit,Omit,Omit,Omit,Non-white male,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Omit,Omit,Omit,Omit,American Indian,East,Rural,Small cities and Rural,2.0,74457.0
