ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESIN04,SENIN04,GOVIN04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,STECIN,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1521114.0,Indiana,34.0,State,1.0,Call 3,Complete,1.10974383354187,Kerry,Bayh,Kernan,Male,White,75 or over,Democrat,Moderate,"$15,000-$29,999",Worse today,Catholic,No,Yes,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Poor,White male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Northwest,"City: 10,000 to 49,999",Small cities and Rural,1.0,46372.0
1472119.0,Indiana,12.0,State,1.0,Call 1,Complete,1.97004413604736,Kerry,Bayh,Kernan,Female,White,30-39,Democrat,Liberal,"$15,000-$29,999",About the same,None,No,No,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,Not so good,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,All others,White,North,Suburbs,Suburbs,3.0,46793.0
1474446.0,Indiana,34.0,State,1.0,Call 1,Not complete,0.634336948394775,Kerry,Did not vote,Kernan,,Hispanic/Latino,65-74,,,,,,,,Just today,For your candidate,Omit,Omit,Strongly approve,,,,,60 or over,65 or over,65 or over,,,,,All others,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,,,,,Hispanic/Latino,Northwest,"City: 10,000 to 49,999",Small cities and Rural,1.0,46372.0
1472109.0,Indiana,66.0,State,1.0,Call 1,Complete,0.688720703125,Bush,Bayh,Daniels,Female,White,50-59,Democrat,Conservative,"$50,000-$74,999",Worse today,Catholic,Yes,Yes,Before that,Against his opponent,Omit,Is a strong leader,Somewhat approve,Somewhat disapprove,Only George W. Bush,Not so good,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Bush/Neither,Married women,White,South,Rural,Small cities and Rural,9.0,47454.0
1521101.0,Indiana,52.0,State,1.0,Call 3,Complete,0.628844559192657,Kerry,Bayh,Kernan,Male,White,45-49,Independent,Moderate,"$30,000-$49,999",Better today,Other Christian,No,No,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Only John Kerry,Not so good,White male,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Marion County,"City over 500,000","City over 50,000",4.0,46214.0
1495432.0,Indiana,45.0,State,1.0,Call 2,Complete,0.973720252513886,Bush,Scott,Daniels,Female,,60-64,Independent,Conservative,"$15,000-$29,999",Worse today,Protestant,Yes,No,Before that,Against his opponent,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Only George W. Bush,Not so good,,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,All others,,East central,Suburbs,Suburbs,6.0,46064.0
1521092.0,Indiana,70.0,National,2.0,Call 3,Complete,0.698593556880951,Bush,Scott,Kernan,Female,White,45-49,Republican,Moderate,"$100,000-$149,999",About the same,Protestant,Yes,Yes,Before that,,Moral values,Is a strong leader,Strongly approve,Strongly approve,,,White female,45-59,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,Married women,White,Northwest,Suburbs,Suburbs,2.0,46554.0
1472095.0,Indiana,25.0,State,1.0,Call 1,Complete,2.33010077476501,Bush,Bayh,Daniels,Female,White,40-44,Republican,Conservative,"$200,000 or more",Better today,Protestant,No,Yes,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Good,White female,30-44,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Married women,White,North,Suburbs,Suburbs,4.0,46123.0
1474422.0,Indiana,74.0,National,4.0,Call 1,Complete,0.836016178131104,Bush,Bayh,Daniels,Male,White,50-59,Independent,Moderate,"$75,000-$99,999",,,,Yes,Before that,,,,,,Only George W. Bush,,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Bush/Both,Only Bush/Neither,All others,White,East central,Suburbs,Suburbs,5.0,46126.0
1497436.0,Indiana,74.0,National,3.0,Call 2,Complete,0.540175914764404,Bush,Scott,Daniels,Female,White,50-59,Republican,Moderate,"$75,000-$99,999",,Protestant,Yes,Yes,,For your candidate,,,,,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,,,,,,,Married women,White,East central,Suburbs,Suburbs,5.0,46126.0
1499630.0,Indiana,69.0,National,1.0,Call 2,Complete,0.889105916023254,Bush,Scott,Daniels,Female,White,40-44,Republican,Moderate,"$50,000-$74,999",Better today,Other Christian,Yes,Yes,Before that,,Health care,Is a strong leader,Strongly approve,Strongly approve,,,White female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,Married women,White,North,Rural,Small cities and Rural,8.0,46120.0
1495412.0,Indiana,47.0,State,1.0,Call 2,Complete,0.961001873016357,Bush,Bayh,Kernan,Female,White,30-39,Democrat,Moderate,"$50,000-$74,999",Better today,None,No,Yes,Before that,For your candidate,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Only George W. Bush,Good,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Married women,White,East central,"City: 50,000 to 500,000","City over 50,000",6.0,42012.0
1523405.0,Indiana,88.0,National,4.0,Call 3,Complete,1.12347590923309,Bush,Scott,Daniels,Female,White,40-44,Republican,Conservative,"$100,000-$149,999",,,,Yes,Before that,,,,,,Only George W. Bush,,White female,30-44,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Bush/Both,Only Bush/Neither,Married women,White,South,Suburbs,Suburbs,8.0,47610.0
1472073.0,Indiana,3.0,State,1.0,Call 1,Complete,1.1391636133194,Bush,Bayh,Kernan,Male,White,30-39,Independent,Conservative,"$75,000-$99,999",Better today,Other Christian,Yes,Yes,Before that,Against his opponent,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat approve,Only George W. Bush,Good,White male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,All others,White,North,Suburbs,Suburbs,3.0,46804.0
1495401.0,Indiana,33.0,State,1.0,Call 2,Not complete,2.57636690139771,Bush,Scott,Kernan,Male,White,65-74,,,,,,,,Before that,Against his opponent,Terrorism,Is honest and trustworthy,Somewhat disapprove,,,,White male,60 or over,65 or over,65 or over,,,,,,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,All others,White,Northwest,Suburbs,Suburbs,1.0,46307.0
1495400.0,Indiana,26.0,National,2.0,Call 2,Complete,0.453106224536896,Bush,Scott,Daniels,Female,White,25-29,,,,Omit,,,,Before that,,Education,Has clear stands on the issues,Somewhat approve,Somewhat approve,,,White female,18-29,25-29,18-64,,,,,,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,All others,White,North,Suburbs,Suburbs,4.0,46123.0
1472069.0,Indiana,12.0,State,1.0,Call 1,Complete,1.81470763683319,Bush,Scott,Daniels,Male,White,50-59,Independent,Conservative,"$15,000-$29,999",About the same,Protestant,Yes,Yes,Before that,Against his opponent,Taxes,Has strong religious faith,Somewhat approve,Strongly approve,Only George W. Bush,Not so good,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,All others,White,North,Suburbs,Suburbs,3.0,46793.0
