ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESDE04,HOUDE04,GOVDE04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1503988.0,Delaware,83.0,State,1.0,Call 2,0.371282279491425,Nader,Castle,Lee,Female,White,50-59,Democrat,Liberal,"$30,000-$49,999",Worse today,Something else,In the last three days,For your candidate,Somewhat disapprove,Somewhat approve,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,Kent/Sussex counties,Rural,Small cities and Rural,1.0,19968.0
1528659.0,Delaware,11.0,State,1.0,Call 3,0.371323078870773,Nader,Donnelly,Minner,Male,Black,18-24,Independent,Moderate,"$30,000-$49,999",About the same,Other Christian,During the last month,For your candidate,Strongly disapprove,Somewhat disapprove,Non-white male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Kent/Sussex counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,19901.0
1504823.0,Delaware,11.0,State,1.0,Call 2,0.388533860445023,Kerry,Donnelly,Lee,Female,White,25-29,Democrat,Moderate,"$15,000-$29,999",Worse today,Other Christian,Before that,Against his opponent,Strongly disapprove,Somewhat disapprove,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Kent/Sussex counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,19901.0
1501714.0,Delaware,81.0,State,1.0,Call 2,0.403693288564682,Kerry,Donnelly,Lee,Female,White,30-39,Democrat,Moderate,"Under $15,000",Worse today,Other Christian,Before that,For your candidate,Somewhat disapprove,Strongly disapprove,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Kent/Sussex counties,Rural,Small cities and Rural,1.0,19945.0
1528418.0,Delaware,81.0,State,1.0,Call 3,0.410526365041733,Kerry,Donnelly,Lee,Female,White,18-24,Democrat,Liberal,"$15,000-$29,999",Worse today,Catholic,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Kent/Sussex counties,Rural,Small cities and Rural,1.0,19945.0
1508645.0,Delaware,4.0,State,1.0,Call 1,0.427914887666702,Kerry,Donnelly,Lee,Female,White,30-39,Democrat,Moderate,"$50,000-$74,999",Worse today,Protestant,Before that,Against his opponent,Somewhat disapprove,Somewhat approve,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Kent/Sussex counties,Suburbs,Suburbs,1.0,19977.0
1528614.0,Delaware,11.0,State,1.0,Call 3,0.431181162595749,Kerry,Donnelly,Lee,Female,Black,30-39,Democrat,Moderate,"$30,000-$49,999",About the same,Protestant,Before that,Against his opponent,Somewhat approve,Somewhat disapprove,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Kent/Sussex counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,19901.0
1478631.0,Delaware,11.0,State,1.0,Call 1,0.431181162595749,Kerry,Donnelly,Lee,Female,Black,40-44,Democrat,Moderate,"$15,000-$29,999",Worse today,Other Christian,Before that,For your candidate,Strongly disapprove,Somewhat disapprove,Non-white female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Kent/Sussex counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,19901.0
1477928.0,Delaware,46.0,State,1.0,Call 1,0.434419244527817,Kerry,,Minner,Female,White,50-59,Democrat,Liberal,"$150,000-$199,999",Worse today,Jewish,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,New Castle county,Suburbs,Suburbs,1.0,19711.0
1504394.0,Delaware,46.0,State,1.0,Call 2,0.434419244527817,Kerry,,Minner,Female,White,45-49,Democrat,Liberal,"$100,000-$149,999",About the same,Jewish,Before that,Omit,Strongly disapprove,Strongly disapprove,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,New Castle county,Suburbs,Suburbs,1.0,19711.0
1527700.0,Delaware,46.0,State,1.0,Call 3,0.434419244527817,Kerry,,Minner,Female,White,30-39,Democrat,Liberal,"Under $15,000",Worse today,Protestant,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,New Castle county,Suburbs,Suburbs,1.0,19711.0
1529106.0,Delaware,75.0,National,1.0,Call 2,0.451084136962891,Nader,Castle,Lee,Male,Black,40-44,Republican,Liberal,"$50,000-$74,999",Worse today,Protestant,Before that,,Strongly approve,Strongly disapprove,Non-white male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Kent/Sussex counties,Rural,Small cities and Rural,1.0,19970.0
1478669.0,Delaware,11.0,State,1.0,Call 1,0.455260038375854,Kerry,Donnelly,Lee,Male,Black,40-44,Democrat,Conservative,"$50,000-$74,999",About the same,Other Christian,During the last month,For your candidate,Somewhat approve,Strongly approve,Non-white male,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Black,Kent/Sussex counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,19901.0
1480349.0,Delaware,81.0,State,1.0,Call 2,0.45558762550354,Kerry,Donnelly,Lee,Female,Black,45-49,Democrat,Moderate,"$30,000-$49,999",Worse today,None,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,Non-white female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Kent/Sussex counties,Rural,Small cities and Rural,1.0,19945.0
1478266.0,Delaware,83.0,State,1.0,Call 1,0.461122870445251,Nader,Donnelly,Minner,Female,White,60-64,Independent,Moderate,"$30,000-$49,999",About the same,Protestant,Just today,Against his opponent,Somewhat disapprove,Strongly disapprove,White female,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,White,Kent/Sussex counties,Rural,Small cities and Rural,1.0,19968.0
1508688.0,Delaware,4.0,State,1.0,Call 1,0.48292288184166,Kerry,Donnelly,Lee,Female,Black,30-39,Democrat,Moderate,"$75,000-$99,999",About the same,Other Christian,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Kent/Sussex counties,Suburbs,Suburbs,1.0,19977.0
1527815.0,Delaware,80.0,State,1.0,Call 3,0.501119434833527,Kerry,Donnelly,Lee,Female,Black,25-29,Democrat,Liberal,"$15,000-$29,999",About the same,None,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Kent/Sussex counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,19973.0
1528797.0,Delaware,11.0,State,1.0,Call 3,0.501441061496735,Kerry,Donnelly,Minner,Male,White,40-44,Independent,Liberal,"$75,000-$99,999",Worse today,Something else,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White male,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Kent/Sussex counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,19901.0
