ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESNV04,SENNV04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,UNION4,MARRIED,MEXICAN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECNV,MOVETONV,YUCCAMTN,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466639.0,Nevada,,National,1.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,50-59,Independent,Moderate,Yes,"$30,000-$49,999",Better today,Catholic,High school graduate,"Yes, I do",No,No,,,Economy/Jobs,Is honest and trustworthy,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat well,,,,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,Someone in household is union member,Voter is union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89107.0
1466640.0,Nevada,,National,1.0,,Complete,Phone survey,1.22842562198639,Kerry,Reid,Female,White,75 or over,Democrat,Moderate,No,,About the same,Other Christian,High school graduate,No one does,Yes,No,,,Health care,Has strong religious faith,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat badly,,,,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,Married women,White,Clark County,Suburbs,Suburbs,,89103.0
1466641.0,Nevada,,National,1.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Female,White,50-59,Republican,Conservative,No,"$30,000-$49,999",About the same,Catholic,Some college/associate degree,No one does,No,No,,,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White female,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Clark County,"City: 50,000 to 500,000","City over 50,000",,89123.0
1466642.0,Nevada,,National,1.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Female,White,50-59,,Liberal,No,"$100,000-$149,999",Worse today,Protestant,College graduate,No one does,Yes,No,,,Education,Omit,Strongly disapprove,Strongly disapprove,Safer from terrorism,,,Omit,,,,White female,45-59,50-64,18-64,,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Omit,,,,,No one in household is union member,Voter is not union member,Married women,White,Clark County,"City over 500,000","City over 50,000",,89107.0
1466643.0,Nevada,,National,1.0,,Complete,Phone survey,2.18253946304321,Bush,Reid,Female,White,50-59,Democrat,Moderate,No,,Better today,Protestant,College graduate,No one does,No,No,,,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Very well,,,,White female,45-59,50-64,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89101.0
1466644.0,Nevada,,National,1.0,,Complete,Phone survey,2.48048663139343,Bush,Reid,Male,White,50-59,Independent,Moderate,No,"$100,000-$149,999",About the same,Catholic,Postgraduate study,No one does,Yes,No,,,Terrorism,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White male,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89108.0
1466645.0,Nevada,,National,1.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Male,White,50-59,Republican,Moderate,No,"$150,000-$199,999",About the same,Protestant,Postgraduate study,No one does,Yes,No,,,Terrorism,Has clear stands on the issues,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Rural Counties,"City: 10,000 to 49,999",Small cities and Rural,,89410.0
1466646.0,Nevada,,National,1.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,40-44,Something Else,Moderate,Yes,,About the same,None,College graduate,No one does,No,No,,,Terrorism,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White male,30-44,40-49,18-64,Independent,,,None,White None,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,,89103.0
1466647.0,Nevada,,National,1.0,,Complete,Phone survey,1.22842562198639,Kerry,Reid,Female,Hispanic/Latino,65-74,Democrat,Conservative,No,"Under $15,000",Worse today,Other Christian,Some college/associate degree,No one does,No,Yes,,,Moral values,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Somewhat badly,,,,Non-white female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,All others,Other,Clark County,"City over 500,000","City over 50,000",,89110.0
1467139.0,Nevada,,National,2.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,50-59,Independent,Moderate,Yes,"$30,000-$49,999",Better today,Catholic,High school graduate,"Yes, I do",No,No,,,Economy/Jobs,Is honest and trustworthy,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat well,,,,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,Someone in household is union member,Voter is union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89107.0
