ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESMO04,SENMO04,GOVMO04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,UNION4,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECMO,ISS04MO,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1502048.0,Missouri,83.0,State,1.0,Call 2,Complete,1.13978278636932,Kerry,Farmer,McCaskill,Female,White,18-24,Democrat,Liberal,Yes,,About the same,Jewish,No,Some college/associate degree,No one does,No,Before that,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,Omit,White female,18-29,18-24,18-64,Democrat,,,Jewish,White Jewish,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,St. Louis suburbs,Suburbs,Suburbs,3.0,63130.0
1502047.0,Missouri,24.0,State,1.0,Call 2,Complete,0.712015211582184,Kerry,Did not vote,McCaskill,Male,White,25-29,Republican,Moderate,No,"$15,000-$29,999",About the same,Protestant,No,College graduate,No one does,No,During the last month,Against his opponent,Terrorism,Is intelligent,Somewhat disapprove,Somewhat approve,Safer from terrorism,Only George W. Bush,Only John Kerry,Somewhat badly,Not so good,Economy/Jobs,White male,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Southwest,Suburbs,Suburbs,7.0,65610.0
1482599.0,Missouri,39.0,State,1.0,Call 1,Complete,0.754210412502289,Kerry,Farmer,McCaskill,Female,Black,50-59,Democrat,Liberal,No,"$30,000-$49,999",Worse today,Protestant,Yes,Some college/associate degree,No one does,No,Before that,For your candidate,Taxes,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Excellent,Economy/Jobs,Non-white female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,Black,Kansas City area,Suburbs,Suburbs,5.0,64133.0
1487454.0,Missouri,35.0,National,4.0,Call 1,Not complete,0.576008796691895,Kerry,Farmer,McCaskill,Male,White,75 or over,,,,,,,,,,,Before that,,,,,,,Both of them,Only John Kerry,,,,White male,60 or over,65 or over,65 or over,,,,,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,,,All others,White,Southwest,"City: 50,000 to 500,000","City over 50,000",7.0,65804.0
1531202.0,Missouri,12.0,National,3.0,Call 3,Complete,1.32451772689819,Bush,Farmer,McCaskill,Female,White,40-44,Democrat,Moderate,,"$30,000-$49,999",,Other Christian,Yes,,,No,,For your candidate,,,,,,,,,,,White female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,,,,,,,,,,,,,All others,White,Kansas City area,"City: 50,000 to 500,000","City over 50,000",6.0,64507.0
1527213.0,Missouri,83.0,State,1.0,Call 3,Complete,1.23479378223419,Kerry,Bond,Blunt,Male,White,18-24,Republican,Moderate,Yes,"$200,000 or more",Worse today,Catholic,No,Some college/associate degree,No one does,No,During the last month,For your candidate,Moral values,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Somewhat badly,Not so good,Economy/Jobs,White male,18-29,18-24,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,St. Louis suburbs,Suburbs,Suburbs,3.0,63130.0
1492310.0,Missouri,35.0,National,3.0,Call 2,Complete,0.445942163467407,Bush,Farmer,McCaskill,Female,White,18-24,Something Else,Liberal,,"Under $15,000",,Other Christian,Yes,,,No,,Against his opponent,,,,,,,,,,,White female,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,,,,,,,,,,,,,All others,White,Southwest,"City: 50,000 to 500,000","City over 50,000",7.0,65804.0
1502031.0,Missouri,73.0,State,1.0,Call 2,Complete,1.23697936534882,Kerry,Farmer,McCaskill,Female,White,40-44,Democrat,Moderate,No,"$50,000-$74,999",Worse today,Catholic,No,Some college/associate degree,No one does,Yes,Before that,For your candidate,Economy/Jobs,Is a strong leader,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,Economy/Jobs,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,North/Southeast,Rural,Small cities and Rural,9.0,63462.0
1526334.0,Missouri,37.0,State,1.0,Call 3,Complete,1.04386568069458,Bush,Bond,Blunt,Male,White,50-59,Independent,Moderate,No,,Better today,None,,High school graduate,No one does,Yes,During the last month,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,Omit,White male,45-59,50-64,18-64,Independent,,,None,White None,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,North/Southeast,Rural,Small cities and Rural,3.0,63621.0
1477723.0,Missouri,111.0,State,1.0,Call 1,Complete,0.250399351119995,Kerry,,,Male,Black,18-24,Democrat,Moderate,Yes,,Better today,Other Christian,Yes,High school graduate,,No,During the last month,For your candidate,Omit,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Only John Kerry,Somewhat badly,Good,Omit,Non-white male,18-29,18-24,18-64,Democrat,,,Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,,,All others,Black,St. Louis city,"City: 50,000 to 500,000","City over 50,000",3.0,63118.0
