ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESRI04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,UNION4,LATINO,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1516448.0,,69.0,State,1.0,Call 2,1.16881656646729,Bush,Male,White,25-29,Democrat,Moderate,"$75,000-$99,999",About the same,None,No one is,No,Just today,Against his opponent,Somewhat disapprove,Strongly approve,White male,18-29,25-29,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,No one in household is union member,Voter is not union member,White,Providence/Industrial,"City: 50,000 to 500,000","City over 50,000",2.0,2903.0
1532776.0,,57.0,National,2.0,Call 3,0.745136320590973,Bush,Male,White,50-59,Republican,Conservative,"$100,000-$149,999",About the same,,No one is,No,Before that,,Strongly approve,Strongly approve,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,No one in household is union member,Voter is not union member,White,Providence/Industrial,Suburbs,Suburbs,1.0,2860.0
1481448.0,,25.0,State,1.0,Call 1,1.25210320949554,Kerry,Male,White,18-24,Independent,Moderate,"$50,000-$74,999",About the same,Jewish,No one is,No,During the last month,Against his opponent,Somewhat disapprove,Strongly disapprove,White male,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,No one in household is union member,Voter is not union member,White,Rural/Rest of state,Suburbs,Suburbs,1.0,2864.0
1514109.0,,82.0,State,1.0,Call 2,0.6378014087677,Kerry,Female,White,50-59,Democrat,Moderate,"$100,000-$149,999",About the same,Jewish,No one is,No,Before that,For your candidate,Strongly disapprove,Somewhat disapprove,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,No one in household is union member,Voter is not union member,White,Rural/Rest of state,Rural,Small cities and Rural,1.0,2878.0
1513450.0,,82.0,State,1.0,Call 2,0.661653637886047,Kerry,Male,White,50-59,Democrat,Liberal,,Omit,Catholic,No one is,No,Sometime last week,For your candidate,Strongly disapprove,Somewhat approve,White male,45-59,50-64,18-64,Democrat,,,Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,No one in household is union member,Voter is not union member,White,Rural/Rest of state,Rural,Small cities and Rural,1.0,2878.0
1516438.0,,48.0,State,1.0,Call 2,0.990177571773529,Bush,Female,White,50-59,Republican,Conservative,"$75,000-$99,999",About the same,Catholic,No one is,No,During the last month,For your candidate,Strongly approve,Strongly approve,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,No one in household is union member,Voter is not union member,White,Rural/Rest of state,Suburbs,Suburbs,2.0,2852.0
1532766.0,,54.0,State,1.0,Call 3,0.767420411109924,Kerry,Female,White,40-44,Independent,Moderate,"$75,000-$99,999",About the same,Catholic,No one is,No,Just today,For your candidate,Somewhat approve,Somewhat approve,White female,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,No one in household is union member,Voter is not union member,White,Warwick/Suburbs,Suburbs,Suburbs,1.0,2911.0
1483762.0,,69.0,State,1.0,Call 1,1.01229751110077,Kerry,Male,White,18-24,Independent,Liberal,,Omit,Protestant,No one is,No,During the last month,For your candidate,Somewhat disapprove,Somewhat approve,White male,18-29,18-24,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,No one in household is union member,Voter is not union member,White,Providence/Industrial,"City: 50,000 to 500,000","City over 50,000",2.0,2903.0
1481427.0,,42.0,State,1.0,Call 1,1.18821310997009,Bush,Female,White,40-44,Independent,Moderate,"$50,000-$74,999",Better today,Catholic,No one is,No,Before that,For your candidate,Strongly approve,Somewhat approve,White female,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,No one in household is union member,Voter is not union member,White,Rural/Rest of state,Suburbs,Suburbs,2.0,2882.0
1515693.0,,57.0,National,1.0,Call 2,1.03253269195557,Bush,Male,White,65-74,Independent,Moderate,,About the same,Catholic,No one is,No,Just today,,Strongly disapprove,Somewhat approve,White male,60 or over,65 or over,65 or over,Independent,,,Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,No one in household is union member,Voter is not union member,White,Providence/Industrial,Suburbs,Suburbs,1.0,2860.0
