ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESSC04,SENSC04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,VETVOTER,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,ISS04SC,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1522513.0,South Carolina,92.0,State,1.0,Call 3,Complete,0.869488060474396,Bush,Tenenbaum,Female,White,25-29,Republican,Moderate,"$75,000-$99,999",Worse today,Protestant,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Economy/Jobs,White female,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Piedmont,Rural,Small cities and Rural,3.0,29325.0
1502045.0,South Carolina,86.0,State,1.0,Call 2,Complete,1.13532483577728,Bush,DeMint,Male,White,65-74,Republican,Conservative,"$75,000-$99,999",Better today,Catholic,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Taxes,White male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Pee Dee,Suburbs,Suburbs,1.0,29566.0
1477739.0,South Carolina,86.0,State,1.0,Call 1,Complete,1.06431972980499,Bush,DeMint,Female,White,60-64,Independent,Conservative,"$75,000-$99,999",About the same,Catholic,No,No,Before that,Against his opponent,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat approve,Only George W. Bush,Omit,White female,60 or over,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Pee Dee,Suburbs,Suburbs,1.0,29566.0
1497182.0,South Carolina,131.0,State,1.0,Call 2,Complete,0.414734810590744,Kerry,Tenenbaum,Male,Black,50-59,Democrat,Moderate,"$30,000-$49,999",About the same,Protestant,Yes,No,During the last month,For your candidate,Health care,Is a strong leader,Somewhat disapprove,Strongly disapprove,Only John Kerry,Health care,Non-white male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Black,Midlands,Suburbs,Suburbs,2.0,29223.0
1497175.0,South Carolina,81.0,State,1.0,Call 2,Complete,0.793984830379486,Bush,DeMint,Female,White,40-44,Republican,Conservative,,Better today,Catholic,No,No,Before that,For your candidate,Omit,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Health care,White female,30-44,40-49,18-64,Republican,,,Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Pee Dee,Suburbs,Suburbs,1.0,29566.0
1482588.0,South Carolina,95.0,State,1.0,Call 1,Complete,1.13271844387054,Bush,DeMint,Male,White,18-24,Republican,Conservative,"$15,000-$29,999",About the same,Protestant,Yes,No,Before that,For your candidate,Iraq,Has clear stands on the issues,Strongly approve,Strongly approve,Only George W. Bush,Taxes,White male,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Pee Dee,Rural,Small cities and Rural,5.0,29010.0
1497168.0,South Carolina,13.0,National,2.0,Call 2,Complete,0.927927494049072,Kerry,Did not vote,Male,Black,50-59,Democrat,Moderate,"$15,000-$29,999",About the same,,Yes,Yes,Before that,,Moral values,Will bring about needed change,Somewhat disapprove,Somewhat approve,,,Non-white male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,Black,Midlands,Rural,Small cities and Rural,6.0,29003.0
1502022.0,South Carolina,86.0,State,1.0,Call 2,Complete,0.889617502689362,Kerry,Tenenbaum,Female,Black,40-44,Democrat,Moderate,"$30,000-$49,999",Worse today,Other Christian,Yes,No,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Only John Kerry,Economy/Jobs,Non-white female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Black,Pee Dee,Suburbs,Suburbs,1.0,29566.0
1497158.0,South Carolina,24.0,State,1.0,Call 2,Complete,1.16825187206268,Bush,DeMint,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Better today,None,,No,Before that,For your candidate,Omit,Has clear stands on the issues,Somewhat approve,Strongly approve,Only George W. Bush,Omit,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Low Country,"City: 50,000 to 500,000","City over 50,000",1.0,29406.0
1475347.0,South Carolina,121.0,State,1.0,Call 1,Complete,0.977371990680695,Bush,DeMint,Female,Black,40-44,Republican,Conservative,"$50,000-$74,999",About the same,Protestant,Yes,No,Before that,For your candidate,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Both of them,Education,Non-white female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,Black,Piedmont,Suburbs,Suburbs,3.0,29631.0
