ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESMI04,PROP2MI,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,BRNAGAIN,EDUC,UNION4,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECMI,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,ATTEND2,ATTREL,RELGCONS,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466615.0,Michigan,,National,1.0,,Complete,Phone survey,1.13759338855743,Bush,Yes,Male,White,65-74,Independent,,No,"$30,000-$49,999",About the same,Protestant,A few times a year,Yes,Did not complete high school,No one does,Yes,,,Iraq,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,White male,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,University Belt,Suburbs,Suburbs,,49224.0
1466616.0,Michigan,,National,1.0,,Complete,Phone survey,1.13759338855743,Bush,Yes,Male,White,65-74,Independent,Moderate,No,,About the same,Protestant,A few times a year,No,College graduate,No one does,Yes,,,Iraq,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,White male,60 or over,65 or over,65 or over,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Suburban Oakland and Macomb,Suburbs,Suburbs,,48094.0
1466617.0,Michigan,,National,1.0,,Complete,Phone survey,1.68044555187225,Bush,Yes,Male,White,60-64,Independent,Conservative,No,,About the same,Protestant,A few times a year,Yes,College graduate,No one does,Yes,,,Terrorism,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,White male,60 or over,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,Protestants/Non-weekly,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,University Belt,Suburbs,Suburbs,,48116.0
1466618.0,Michigan,,National,1.0,,Complete,Phone survey,2.20163869857788,Bush,Yes,Male,White,50-59,Republican,Conservative,No,"$50,000-$74,999",Better today,Protestant,A few times a year,No,High school graduate,No one does,Yes,,,Terrorism,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,,,Very well,,,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Occasionally,Protestants/Non-weekly,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Suburban Oakland and Macomb,Suburbs,Suburbs,,48328.0
1466619.0,Michigan,,National,1.0,,Complete,Phone survey,0.502943634986877,Bush,Yes,Female,White,75 or over,Independent,Conservative,No,"$15,000-$29,999",Worse today,Protestant,More than once a week,Yes,High school graduate,No one does,Yes,,,Terrorism,Has strong religious faith,Strongly approve,Somewhat approve,Safer from terrorism,,,Very badly,,,White female,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,Protestants/Weekly,Religious conservatives,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,Married women,White,North/Northeast,Rural,Small cities and Rural,,48880.0
1466620.0,Michigan,,National,1.0,,Complete,Phone survey,2.02307486534119,Bush,Did not vote,Female,White,30-39,Something Else,Moderate,No,"$30,000-$49,999",Worse today,None,Once a week,,Some college/associate degree,No one does,No,,,Education,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,Weekly,All others,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Wayne County,Suburbs,Suburbs,,48185.0
1466621.0,Michigan,,National,1.0,,Complete,Phone survey,0.502943634986877,Bush,Yes,Female,White,65-74,Republican,Conservative,No,"$15,000-$29,999",About the same,Catholic,More than once a week,No,Some college/associate degree,No one does,No,,,Moral values,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,,,Omit,,,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Weekly,Catholics/Weekly,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Omit,,,,,No one in household is union member,Voter is not union member,All others,White,Suburban Oakland and Macomb,Suburbs,Suburbs,,48328.0
1466622.0,Michigan,,National,1.0,,Complete,Phone survey,0.711985528469086,Kerry,No,Female,White,75 or over,Democrat,Liberal,No,"Under $15,000",About the same,Catholic,Once a week,No,Did not complete high school,No one does,No,,,Health care,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Weekly,Catholics/Weekly,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,All others,White,University Belt,"City: 10,000 to 49,999",Small cities and Rural,,48708.0
1466623.0,Michigan,,National,1.0,,Complete,Phone survey,0.502943634986877,Bush,Yes,Female,White,65-74,Republican,,No,,About the same,None,More than once a week,Yes,High school graduate,No one does,No,,,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,White female,60 or over,65 or over,65 or over,Republican,,,None,White None,All others,White evangelicals,Weekly,All others,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Wayne County,"City: 50,000 to 500,000","City over 50,000",,48154.0
1466624.0,Michigan,,National,1.0,,Complete,Phone survey,1.24739956855774,Bush,Yes,Male,White,30-39,Republican,Moderate,Yes,"$50,000-$74,999",Better today,Catholic,A few times a year,No,College graduate,No one does,No,,,Terrorism,Has clear stands on the issues,Somewhat approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Occasionally,Catholics/Non-weekly,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Southwest,"City: 10,000 to 49,999",Small cities and Rural,,49417.0
1466625.0,Michigan,,National,1.0,,Complete,Phone survey,0.628301382064819,Kerry,Did not vote,Female,White,75 or over,Democrat,Moderate,No,"$15,000-$29,999",About the same,Protestant,A few times a month,Yes,High school graduate,No one does,Yes,,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Somewhat badly,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,Married women,White,North/Northeast,Rural,Small cities and Rural,,49712.0
1466626.0,Michigan,,National,1.0,,Complete,Phone survey,2.3179292678833,Bush,Yes,Female,White,25-29,Republican,Conservative,No,"$200,000 or more",Better today,Protestant,A few times a month,Yes,Postgraduate study,No one does,Yes,,,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,,,Very well,,,White female,18-29,25-29,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,Protestants/Non-weekly,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,Married women,White,Southwest,Suburbs,Suburbs,,49103.0
1466627.0,Michigan,,National,1.0,,Complete,Phone survey,1.54053151607513,Kerry,Yes,Female,White,60-64,Independent,Conservative,No,,About the same,Protestant,Never,No,Some college/associate degree,No one does,Yes,,,Economy/Jobs,Is intelligent,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,,,Very badly,,,White female,60 or over,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Never,Protestants/Non-weekly,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,Married women,White,University Belt,Suburbs,Suburbs,,49246.0
1466628.0,Michigan,,National,1.0,,Complete,Phone survey,0.577750682830811,Kerry,Yes,Female,White,75 or over,Democrat,Liberal,No,,Worse today,Protestant,More than once a week,Yes,Did not complete high school,No one does,No,,,Economy/Jobs,Is honest and trustworthy,Strongly disapprove,Somewhat disapprove,Omit,,,Somewhat badly,,,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,All others,White,University Belt,Suburbs,Suburbs,,48603.0
1466629.0,Michigan,,National,1.0,,Complete,Phone survey,0.611021637916565,Other,Did not vote,Female,White,75 or over,Independent,Moderate,No,,About the same,Protestant,A few times a year,No,Some college/associate degree,No one does,No,,,Health care,Is a strong leader,Strongly disapprove,Somewhat approve,Safer from terrorism,,,Very badly,,,White female,60 or over,65 or over,65 or over,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,No degree,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,All others,White,University Belt,"City: 50,000 to 500,000","City over 50,000",,48503.0
