ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESCT04,SENCT04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,LATINO,TIMEPRES,FORCAND,BUSH4,IRAQAPP,TERRWORR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,TERWORR2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1497623.0,Connecticut,1.0,State,1.0,Call 2,1.70982563495636,Bush,Orchulli,Male,White,60-64,Republican,Moderate,"$30,000-$49,999",Worse today,Protestant,No,Before that,For your candidate,Somewhat approve,Strongly approve,Not too worried,White male,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Not too/Not at all worried,White,Connecticut valley,Suburbs,Suburbs,3.0,6401.0
1528112.0,Connecticut,51.0,National,2.0,Call 3,1.05707931518555,Bush,Dodd,Female,White,50-59,Democrat,Conservative,"$50,000-$74,999",About the same,Catholic,No,Just today,,Somewhat approve,Somewhat approve,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,,White,Connecticut valley,Suburbs,Suburbs,3.0,6770.0
1525778.0,Connecticut,50.0,State,1.0,Call 3,1.1204422712326,Bush,Orchulli,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Better today,Other Christian,No,Before that,For your candidate,Strongly approve,Strongly approve,Not too worried,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Not too/Not at all worried,White,East/West rural,Suburbs,Suburbs,2.0,6370.0
1472118.0,Connecticut,48.0,State,1.0,Call 1,0.332914024591446,Kerry,Dodd,Male,White,50-59,Republican,Conservative,,Better today,Catholic,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,Not too worried,White male,45-59,50-64,18-64,Republican,,,Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Not too/Not at all worried,White,Connecticut valley,"City: 50,000 to 500,000","City over 50,000",3.0,6460.0
1483782.0,Connecticut,24.0,State,1.0,Call 1,0.838687241077423,Kerry,Dodd,Male,Hispanic/Latino,30-39,Democrat,Liberal,"$100,000-$149,999",Better today,Protestant,Yes,Just today,For your candidate,Somewhat approve,Somewhat approve,Somewhat worried,Non-white male,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat worried,Hispanic/Latino,Connecticut valley,Suburbs,Suburbs,1.0,6033.0
1528108.0,Connecticut,42.0,National,2.0,Call 3,0.59157520532608,Kerry,Dodd,Male,Black,30-39,Independent,Conservative,"$150,000-$199,999",Better today,Protestant,No,Just today,,Somewhat approve,Strongly approve,,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,,Black,Connecticut valley,Suburbs,Suburbs,5.0,6450.0
1497777.0,Connecticut,93.0,State,1.0,Call 2,0.874812185764313,Kerry,Dodd,Female,White,50-59,Democrat,Liberal,"$200,000 or more",About the same,Jewish,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Somewhat worried,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,White,Coastal/NY suburbs,Suburbs,Suburbs,4.0,6880.0
1474990.0,Connecticut,42.0,National,3.0,Call 1,0.778754830360413,Bush,Dodd,Male,White,30-39,Republican,Moderate,"$75,000-$99,999",,None,No,,For your candidate,,,,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",None,White None,All others,,,,,,White,Connecticut valley,Suburbs,Suburbs,5.0,6450.0
1527020.0,Connecticut,37.0,State,1.0,Call 3,1.18508315086365,Bush,Orchulli,Female,White,30-39,Democrat,Moderate,"$50,000-$74,999",About the same,Catholic,No,During the last month,For your candidate,Somewhat approve,Somewhat approve,Very worried,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,White,East/West rural,Rural,Small cities and Rural,5.0,6791.0
1472104.0,Connecticut,32.0,State,1.0,Call 1,2.4396028518676802,Bush,Orchulli,Male,White,45-49,Republican,Conservative,"$75,000-$99,999",Better today,Catholic,No,Before that,Against his opponent,Somewhat approve,Strongly approve,Not too worried,White male,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Not too/Not at all worried,White,"Large cities, not Stamford","City: 50,000 to 500,000","City over 50,000",1.0,6106.0
1497766.0,Connecticut,24.0,State,1.0,Call 2,1.1381801366806,Bush,Dodd,Male,White,45-49,Independent,Moderate,"$75,000-$99,999",About the same,Catholic,No,Before that,For your candidate,Somewhat approve,Somewhat approve,Somewhat worried,White male,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,White,Connecticut valley,Suburbs,Suburbs,1.0,6033.0
1497764.0,Connecticut,48.0,State,1.0,Call 2,0.332914024591446,Kerry,Dodd,Male,White,30-39,Independent,Liberal,"$15,000-$29,999",Worse today,Protestant,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,Very worried,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,White,Connecticut valley,"City: 50,000 to 500,000","City over 50,000",3.0,6460.0
1474433.0,Connecticut,46.0,National,2.0,Call 1,1.70982563495636,Bush,Orchulli,Male,White,60-64,Republican,Moderate,,About the same,Catholic,No,Before that,,Strongly approve,Strongly approve,,White male,60 or over,50-64,18-64,Republican,,,Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,White,Connecticut valley,"City: 10,000 to 49,999",Small cities and Rural,3.0,6457.0
1497600.0,Connecticut,42.0,National,2.0,Call 2,0.845468580722809,Kerry,Orchulli,Male,White,75 or over,Independent,Moderate,"$50,000-$74,999",Worse today,None,No,Before that,,Strongly disapprove,Strongly disapprove,,White male,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,White,Connecticut valley,Suburbs,Suburbs,5.0,6450.0
1528087.0,Connecticut,48.0,State,1.0,Call 3,0.419604033231735,Bush,Dodd,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Better today,Protestant,No,Before that,Against his opponent,Somewhat approve,Somewhat disapprove,Very worried,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,White,Connecticut valley,"City: 50,000 to 500,000","City over 50,000",3.0,6460.0
1474427.0,Connecticut,42.0,National,2.0,Call 1,0.723264813423157,Bush,Dodd,Female,White,50-59,Democrat,Moderate,,About the same,Protestant,,Before that,,Somewhat approve,Somewhat disapprove,,White female,45-59,50-64,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,White,Connecticut valley,Suburbs,Suburbs,5.0,6450.0
1472092.0,Connecticut,11.0,State,1.0,Call 1,1.2702978849411,Bush,Orchulli,Male,White,60-64,Republican,Conservative,"$50,000-$74,999",About the same,Protestant,No,Before that,For your candidate,Strongly approve,Somewhat approve,Somewhat worried,White male,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,White,East/West rural,Rural,Small cities and Rural,2.0,6234.0
1525749.0,Connecticut,48.0,State,1.0,Call 3,0.331425130367279,Kerry,Dodd,Male,White,60-64,Independent,Moderate,"$50,000-$74,999",About the same,Protestant,No,During the last month,For your candidate,Strongly disapprove,Somewhat disapprove,Somewhat worried,White male,60 or over,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,White,Connecticut valley,"City: 50,000 to 500,000","City over 50,000",3.0,6460.0
1525743.0,Connecticut,92.0,State,1.0,Call 3,2.30772829055786,Bush,Orchulli,Female,White,30-39,Independent,Liberal,"$50,000-$74,999",Worse today,Catholic,No,Just today,For your candidate,Somewhat approve,Somewhat approve,Very worried,White female,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat worried,White,"Large cities, not Stamford",Suburbs,Suburbs,3.0,6516.0
1474415.0,Connecticut,93.0,State,1.0,Call 1,0.874812185764313,Kerry,Dodd,Female,White,40-44,Republican,Moderate,"$30,000-$49,999",Worse today,Other Christian,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Somewhat worried,White female,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,White,Coastal/NY suburbs,Suburbs,Suburbs,4.0,6880.0
