ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESWI04,SENWI04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,UNION4,VETVOTER,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECWI,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1511769.0,Wisconsin,10.0,State,1.0,Call 2,Complete,1.89610052108765,Bush,Michels,Female,White,75 or over,Democrat,Moderate,No,"$15,000-$29,999",Worse today,Protestant,Once a week,Some college/associate degree,No one is,No,Yes,Just today,For your candidate,Moral values,Has strong religious faith,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Only George W. Bush,Somewhat badly,Good,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,No degree,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,South,Rural,Small cities and Rural,2.0,53954.0
1492323.0,Wisconsin,77.0,National,1.0,Call 1,Complete,0.85424530506134,Bush,Michels,Female,White,50-59,Republican,Moderate,No,"$50,000-$74,999",Worse today,Protestant,A few times a year,College graduate,No one is,No,Yes,Before that,,Taxes,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,,,Very well,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,Married women,White,Milwaukee vicinity,Suburbs,Suburbs,5.0,53005.0
1512269.0,Wisconsin,7.0,State,1.0,Call 2,Complete,0.698246479034424,Kerry,Feingold,Female,White,30-39,Democrat,Liberal,No,"$15,000-$29,999",Worse today,Catholic,A few times a month,Did not complete high school,No one is,No,Yes,Before that,Omit,Omit,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Northwest,Suburbs,Suburbs,7.0,54748.0
1489512.0,Wisconsin,25.0,State,1.0,Call 1,Complete,0.736109852790833,Kerry,Feingold,Male,Black,50-59,Democrat,Liberal,No,"$30,000-$49,999",Worse today,Protestant,A few times a year,Postgraduate study,"Yes, someone else is",Yes,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,Non-white male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,All others,Black,Milwaukee vicinity,"City: 10,000 to 49,999",Small cities and Rural,6.0,54935.0
1494221.0,Wisconsin,31.0,State,1.0,Call 1,Complete,0.503801643848419,Did not vote,,Female,White,65-74,,Moderate,No,,About the same,Protestant,A few times a month,Some college/associate degree,No one is,No,No,Before that,Against his opponent,Education,Is honest and trustworthy,Somewhat approve,Somewhat approve,Safer from terrorism,Both of them,Neither of them,Somewhat well,Not so good,White female,60 or over,65 or over,65 or over,,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,South,Suburbs,Suburbs,1.0,53143.0
1487453.0,Wisconsin,30.0,State,1.0,Call 1,Complete,1.15195465087891,Bush,Michels,Male,White,65-74,Republican,Conservative,,"$15,000-$29,999",Better today,Protestant,More than once a week,Some college/associate degree,No one is,Yes,No,Before that,For your candidate,Iraq,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Excellent,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Milwaukee vicinity,Rural,Small cities and Rural,6.0,53036.0
1536062.0,Wisconsin,88.0,State,1.0,Call 3,Complete,1.04314458370209,Kerry,Feingold,Female,White,45-49,Democrat,Moderate,No,"$50,000-$74,999",Worse today,Protestant,A few times a month,High school graduate,No one is,No,Yes,Just today,Against his opponent,Health care,Omit,Omit,Somewhat approve,Less safe from terrorism,Neither of them,Neither of them,Very badly,Good,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,No degree,Omit,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Northeast,"City: 50,000 to 500,000","City over 50,000",6.0,54904.0
1492311.0,Wisconsin,84.0,State,1.0,Call 1,Not complete,1.1044305562973,Bush,Michels,Male,White,50-59,,,,,,,,,,,,Before that,For your candidate,Terrorism,Is intelligent,Strongly approve,,,,,,Excellent,White male,45-59,50-64,18-64,,,,,,All others,,,,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,,,,All others,White,Northeast,Rural,Small cities and Rural,6.0,54965.0
1487443.0,Wisconsin,7.0,State,1.0,Call 1,Complete,0.754575312137604,Bush,Michels,Female,White,45-49,Republican,Moderate,No,"$50,000-$74,999",Better today,Catholic,A few times a year,Some college/associate degree,No one is,No,Yes,Before that,For your candidate,Economy/Jobs,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,White female,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Northwest,Suburbs,Suburbs,7.0,54748.0
1511747.0,Wisconsin,4.0,State,1.0,Call 2,Complete,0.625886738300323,Kerry,Feingold,Female,White,30-39,Democrat,Liberal,No,"$100,000-$149,999",About the same,Catholic,A few times a year,Postgraduate study,No one is,No,Yes,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Northeast,"City: 50,000 to 500,000","City over 50,000",8.0,54302.0
