ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESAZ04,SENAZ04,PRP200AZ,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,VETVOTER,MEXICAN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECAZ,IMMIG,MCAINGWB,MOVETOAZ,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,QRACEAI,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466020.0,Arizona,,State,1.0,,Complete,Phone survey,1.4406213760376,Kerry,Starky,No,Male,,40-44,Democrat,Moderate,No,,Better today,None,College graduate,No,No,,For your candidate,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Kept about the same,Had no effect on your vote for president,I moved to AZ more than 10 years ago,,30-44,40-49,18-64,Democrat,,,None,,,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,,English,Maricopa County,Suburbs,Suburbs,,85308.0
1466021.0,Arizona,,State,1.0,,Complete,Phone survey,0.918922126293182,Kerry,McCain,No,Female,White,45-49,Something Else,Moderate,No,"$30,000-$49,999",Better today,Protestant,Some college/associate degree,No,No,,Against his opponent,Health care,Cares about people like me,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Poor,Increased,Had no effect on your vote for president,I was born in Arizona,White female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,White,English,Pima/Pinal/Santa Cruz,Suburbs,Suburbs,,85220.0
1466022.0,Arizona,,State,1.0,,Complete,Phone survey,0.789325773715973,Kerry,Did not vote,Yes,Female,White,45-49,Republican,Liberal,No,"$50,000-$74,999",About the same,Protestant,Some college/associate degree,No,No,,For your candidate,Terrorism,Is a strong leader,Somewhat disapprove,Strongly approve,Less safe from terrorism,Neither of them,Both of them,Somewhat badly,Not so good,Decreased,More likely to vote for Bush,I was born in Arizona,White female,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,White,English,Rest of state,Rural,Small cities and Rural,,86326.0
1466023.0,Arizona,,State,1.0,,Complete,Phone survey,2.04174256324768,Bush,McCain,Yes,Female,White,18-24,Republican,Conservative,Yes,"$50,000-$74,999",Better today,Other Christian,Some college/associate degree,No,No,,For your candidate,Moral values,Cares about people like me,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Good,Kept about the same,Had no effect on your vote for president,I moved to AZ 5-10 years ago,White female,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,White,English,Rest of state,Rural,Small cities and Rural,,86326.0
1466024.0,Arizona,,State,1.0,,Complete,Phone survey,1.58017480373383,Bush,McCain,No,Female,White,25-29,Republican,Moderate,No,"$30,000-$49,999",About the same,None,College graduate,No,No,,Against his opponent,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat well,Good,Increased,Had no effect on your vote for president,I was born in Arizona,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",None,White None,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,White,English,Pima/Pinal/Santa Cruz,Suburbs,Suburbs,,85228.0
1466025.0,Arizona,,State,1.0,,Complete,Phone survey,0.918922126293182,Kerry,McCain,No,Female,White,50-59,Democrat,Liberal,No,"$15,000-$29,999",About the same,Catholic,Postgraduate study,No,No,,For your candidate,Iraq,Has clear stands on the issues,Somewhat disapprove,Strongly disapprove,Omit,Only John Kerry,Only John Kerry,Very badly,Not so good,Increased,Had no effect on your vote for president,I moved to AZ more than 10 years ago,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,White,English,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",,85716.0
1466026.0,Arizona,,State,1.0,,Complete,Phone survey,1.13081240653992,Bush,McCain,Yes,Female,White,65-74,Independent,Moderate,No,"Under $15,000",About the same,Protestant,High school graduate,No,No,,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Kept about the same,Had no effect on your vote for president,I moved to AZ more than 10 years ago,White female,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,White,English,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",,85716.0
1466027.0,Arizona,,State,1.0,,Complete,Phone survey,3.00208711624146,Bush,McCain,Did not vote,Female,Hispanic/Latino,40-44,Independent,Conservative,Yes,,About the same,Other Christian,Some college/associate degree,No,Yes,,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Excellent,Increased,Had no effect on your vote for president,I moved to AZ more than 10 years ago,Non-white female,30-44,40-49,18-64,Independent,,,Protestant/Other Christian,All others,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,White,English,Pima/Pinal/Santa Cruz,Suburbs,Suburbs,,85242.0
1466028.0,Arizona,,State,1.0,,Complete,Phone survey,2.30562686920166,Kerry,McCain,No,Female,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",Worse today,Protestant,Some college/associate degree,No,No,,Against his opponent,Iraq,Will bring about needed change,Somewhat disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Not so good,Kept about the same,Had no effect on your vote for president,I moved to AZ more than 10 years ago,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,White,English,Maricopa County,"City: 50,000 to 500,000","City over 50,000",,85281.0
1466029.0,Arizona,,State,1.0,,Complete,Phone survey,2.46488046646118,Kerry,Starky,No,Male,Hispanic/Latino,40-44,Democrat,Conservative,Yes,"$30,000-$49,999",Worse today,Catholic,Some college/associate degree,No,Yes,,For your candidate,Economy/Jobs,Is intelligent,Strongly approve,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Kept about the same,Had no effect on your vote for president,I was born in Arizona,Non-white male,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,No degree,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Hispanic/Latino,English,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",,85745.0
