ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESCO04,SENCO04,AMND36CO,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,MARRIED,MEXICAN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECCO,QUAL04CO,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,WOMENWED,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466529.0,Colorado,,National,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Male,Black,60-64,Democrat,Liberal,No,"$30,000-$49,999",Worse today,Protestant,No,Some college/associate degree,No,No,,,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,Non-white male,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,Black,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80011.0
1466530.0,Colorado,,National,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Male,White,65-74,Independent,Moderate,Yes,"$50,000-$74,999",Worse today,Protestant,No,College graduate,Yes,No,,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Omit,,,Very badly,,,,White male,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80111.0
1466531.0,Colorado,,National,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,White,45-49,Democrat,Liberal,No,"$50,000-$74,999",Better today,Protestant,No,Some college/associate degree,No,No,,,Economy/Jobs,Cares about people like me,Strongly disapprove,Strongly disapprove,Safer from terrorism,,,Somewhat badly,,,,White male,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80524.0
1466532.0,Colorado,,National,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,White,30-39,Independent,Moderate,No,"$75,000-$99,999",About the same,None,No,Some college/associate degree,Yes,No,,,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,,,Somewhat badly,,,,White male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80004.0
1466533.0,Colorado,,National,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Male,White,30-39,Democrat,Moderate,No,"$15,000-$29,999",Better today,Other Christian,No,Some college/associate degree,No,No,,,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80004.0
1466534.0,Colorado,,National,1.0,,Complete,Phone survey,2.55760765075684,Bush,Coors,Did not vote,Male,White,65-74,Independent,Conservative,No,"$75,000-$99,999",About the same,Catholic,No,Some college/associate degree,Yes,No,,,Economy/Jobs,Is a strong leader,Somewhat disapprove,Strongly approve,Safer from terrorism,,,Somewhat badly,,,,White male,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,All others,White,English,West,"City: 10,000 to 49,999",Small cities and Rural,,81301.0
1466535.0,Colorado,,National,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,40-44,Something Else,Liberal,No,"$50,000-$74,999",About the same,None,No,Postgraduate study,No,No,,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Omit,,,Very badly,,,,White female,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Denver/Adams/Boulder,"City over 500,000","City over 50,000",,80222.0
1466536.0,Colorado,,National,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,,60-64,Democrat,Liberal,No,,About the same,None,No,Postgraduate study,Yes,,,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,,60 or over,50-64,18-64,Democrat,,,None,All others,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,,,Denver/Adams/Boulder,Suburbs,Suburbs,,80501.0
1466537.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,30-39,Republican,Conservative,No,"$100,000-$149,999",Better today,Protestant,Yes,College graduate,Yes,No,,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80015.0
1466538.0,Colorado,,National,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",Worse today,Something else,No,College graduate,No,No,,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80215.0
