ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,wgt,PRESMA04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,VETVOTER,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,FAVKERY,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1526015.0,Massachusetts,32.0,State,1.0,Call 3,Complete,0.529109299182892,Bush,Male,White,18-24,Republican,Moderate,"$150,000-$199,999",Better today,,Yes,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Unfavorable,White male,18-29,18-24,18-64,Republican,"$50,000 or more","$100,000 or more",,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,East,Suburbs,Suburbs,3.0,1510.0
1500115.0,Massachusetts,15.0,National,1.0,Call 2,Not complete,1.05474877357483,Bush,Female,,30-39,,,,,,,,Before that,,Omit,Omit,Omit,,,,,,30-44,30-39,18-64,,,,,,,Omit,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,Boston area,"City over 500,000","City over 50,000",8.0,2116.0
1474451.0,Massachusetts,103.0,State,1.0,Call 1,Complete,0.640197098255157,Bush,Female,White,30-39,Independent,Liberal,"$100,000-$149,999",Worse today,Catholic,No,No,Before that,For your candidate,Economy/Jobs,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Unfavorable,White female,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,East,Suburbs,Suburbs,5.0,1876.0
1500113.0,Massachusetts,32.0,State,1.0,Call 2,Complete,0.483070522546768,Kerry,Male,White,18-24,Independent,Liberal,"$50,000-$74,999",About the same,Other Christian,No,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Favorable,White male,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,East,Suburbs,Suburbs,3.0,1510.0
1501849.0,Massachusetts,86.0,National,4.0,Call 2,Complete,2.20522141456604,Bush,Female,White,45-49,Something Else,Conservative,"$50,000-$74,999",,,,No,Before that,,,,,,,Only George W. Bush,Unfavorable,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Bush/Both,Only Bush/Neither,White,North/South Shores,Suburbs,Suburbs,10.0,2358.0
1525764.0,Massachusetts,8.0,State,1.0,Call 3,Complete,1.92929816246033,Bush,Male,White,25-29,Independent,Moderate,"$50,000-$74,999",Better today,Catholic,No,No,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Both of them,Unfavorable,White male,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,Boston area,"City over 500,000","City over 50,000",8.0,2128.0
1474437.0,Massachusetts,90.0,National,2.0,Call 1,Complete,0.607413649559021,Kerry,Female,White,30-39,Independent,Moderate,"$30,000-$49,999",Worse today,Something else,No,No,Before that,,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,,,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,White,East,Suburbs,Suburbs,3.0,2769.0
1476766.0,Massachusetts,50.0,State,1.0,Call 1,Complete,0.61394214630127,Kerry,Male,White,50-59,Democrat,Liberal,"$100,000-$149,999",Worse today,Catholic,Yes,No,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Somewhat approve,Strongly disapprove,Safer from terrorism,Only John Kerry,Favorable,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,East,Suburbs,Suburbs,3.0,2038.0
1525758.0,Massachusetts,32.0,State,1.0,Call 3,Complete,0.329761475324631,Bush,Female,,30-39,Republican,Conservative,"$50,000-$74,999",About the same,Catholic,No,,Before that,Against his opponent,Moral values,Is honest and trustworthy,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Unfavorable,,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,,East,Suburbs,Suburbs,3.0,1510.0
1504386.0,Massachusetts,50.0,State,1.0,Call 2,Complete,0.834314227104187,Kerry,Male,White,65-74,Independent,Moderate,"$30,000-$49,999",Worse today,Catholic,Yes,No,During the last month,Against his opponent,Omit,Will bring about needed change,Somewhat disapprove,Somewhat approve,Safer from terrorism,Both of them,Favorable,White male,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,East,Suburbs,Suburbs,3.0,2038.0
