ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESAR04,SENAR04,AMEND3AR,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1535720.0,Arkansas,36.0,State,1.0,Call 3,Complete,1.67147719860077,Kerry,Lincoln,Yes,Female,White,18-24,Republican,Moderate,"$75,000-$99,999",About the same,Other Christian,Yes,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,White female,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,All others,White,East,"City: 10,000 to 49,999",Small cities and Rural,1.0,72501.0
1481453.0,Arkansas,60.0,State,1.0,Call 1,Complete,0.702525675296783,Kerry,Lincoln,No,Female,White,40-44,Democrat,Liberal,"$75,000-$99,999",About the same,Other Christian,No,Yes,Before that,Against his opponent,Iraq,Will bring about needed change,Somewhat disapprove,Somewhat approve,Less safe from terrorism,Both of them,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,Married women,White,Northwest,Rural,Small cities and Rural,3.0,72858.0
1514114.0,Arkansas,9.0,State,1.0,Call 2,Complete,0.701070785522461,Bush,Lincoln,No,Female,White,18-24,Independent,Moderate,"$15,000-$29,999",About the same,Protestant,,No,Sometime last week,Against his opponent,Terrorism,Is a strong leader,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,White female,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,All others,White,Northwest,"City: 10,000 to 49,999",Small cities and Rural,3.0,72756.0
1482674.0,Arkansas,54.0,State,1.0,Call 1,Complete,2.43840289115906,Kerry,Lincoln,No,Male,Black,75 or over,Democrat,Moderate,"$15,000-$29,999",Worse today,Other Christian,Yes,No,Just today,For your candidate,Education,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Non-white male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,Black,South,Rural,Small cities and Rural,4.0,71764.0
1532774.0,Arkansas,55.0,State,1.0,Call 3,Not complete,0.870893359184265,Kerry,Lincoln,Yes,Male,Black,45-49,,,,,,,,Before that,For your candidate,Economy/Jobs,Is intelligent,Strongly disapprove,,,,Non-white male,45-59,40-49,18-64,,,,,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,All others,Black,South,"City: 10,000 to 49,999",Small cities and Rural,4.0,71701.0
1516439.0,Arkansas,58.0,State,1.0,Call 2,Complete,1.04921281337738,Kerry,Lincoln,No,Male,Black,18-24,Democrat,Conservative,"$15,000-$29,999",Worse today,Other Christian,Yes,No,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Non-white male,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,Black,East,Rural,Small cities and Rural,1.0,72342.0
1535097.0,Arkansas,58.0,State,1.0,Call 3,Complete,0.935113847255707,Kerry,Lincoln,Yes,Female,Black,50-59,Democrat,Conservative,"Under $15,000",Worse today,Other Christian,,No,During the last month,Omit,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Non-white female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,Black,East,Rural,Small cities and Rural,1.0,72342.0
1532763.0,Arkansas,9.0,State,1.0,Call 3,Complete,0.76696252822876,Bush,Holt,Yes,Female,White,40-44,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,Yes,No,Before that,For your candidate,Terrorism,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,White female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,All others,White,Northwest,"City: 10,000 to 49,999",Small cities and Rural,3.0,72756.0
1514098.0,Arkansas,63.0,State,1.0,Call 2,Complete,1.98575627803802,Kerry,Lincoln,No,Male,Black,25-29,Democrat,Moderate,"$15,000-$29,999",About the same,Something else,Yes,No,Just today,For your candidate,Education,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only George W. Bush,Non-white male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Something else,All others,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Bush/Both,Only Bush/Neither,All others,Black,Little Rock area,"City: 50,000 to 500,000","City over 50,000",2.0,72117.0
1486101.0,Arkansas,69.0,State,1.0,Call 1,Complete,0.945925414562225,Bush,Holt,Yes,Male,White,30-39,Democrat,Conservative,"$50,000-$74,999",About the same,Catholic,No,Yes,Before that,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,All others,White,Little Rock area,"City: 50,000 to 500,000","City over 50,000",2.0,72212.0
