ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESVT04,SENVT04,HOUVT04,GOVVT04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,GAYMRRGE,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1480406.0,Vermont,41.0,State,1.0,Call 1,Complete,0.495440036058426,Kerry,Leahy,Sanders,Douglas,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Worse today,Other Christian,Yes,During the last month,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Both of them,Civil unions,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,Married women,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480484.0,Vermont,41.0,State,1.0,Call 1,Complete,0.511967122554779,Kerry,Leahy,Sanders,Clavelle,Male,White,60-64,Democrat,Moderate,"$30,000-$49,999",About the same,Protestant,Yes,Before that,For your candidate,Economy/Jobs,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Both of them,Legally marry,White male,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480524.0,Vermont,41.0,State,1.0,Call 1,Complete,0.436600506305695,Kerry,Leahy,Drown,Clavelle,Male,White,18-24,Independent,Moderate,"$75,000-$99,999",Worse today,Protestant,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only George W. Bush,Civil unions,White male,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Bush/Neither,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480572.0,Vermont,41.0,State,1.0,Call 1,Complete,0.323071122169495,Kerry,Leahy,Sanders,Diamondstone,Female,White,30-39,Independent,Liberal,"$30,000-$49,999",About the same,Protestant,Yes,Before that,Against his opponent,Moral values,Is intelligent,Strongly disapprove,Strongly disapprove,Neither of them,Legally marry,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Married women,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480608.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404801994562149,Kerry,Leahy,Sanders,Clavelle,Male,White,30-39,Independent,Liberal,"$30,000-$49,999",About the same,Something else,Yes,Before that,For your candidate,Moral values,Cares about people like me,Strongly disapprove,Strongly disapprove,Only John Kerry,Legally marry,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480669.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404801994562149,Kerry,Leahy,Sanders,Clavelle,Male,White,50-59,Independent,Conservative,"$75,000-$99,999",Worse today,Protestant,Yes,Before that,For your candidate,Economy/Jobs,Omit,Somewhat disapprove,Somewhat disapprove,Only John Kerry,Civil unions,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480732.0,Vermont,41.0,State,1.0,Call 1,Complete,0.626600205898285,Kerry,Leahy,Sanders,Douglas,Female,Hispanic/Latino,60-64,Democrat,Moderate,"$30,000-$49,999",Better today,Protestant,No,Before that,Against his opponent,Economy/Jobs,Is a strong leader,Strongly disapprove,Strongly disapprove,Only John Kerry,Legally marry,Non-white female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,Hispanic/Latino,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480787.0,Vermont,41.0,State,1.0,Call 1,Not complete,0.404301702976227,Kerry,Leahy,Sanders,Clavelle,Female,White,45-49,,,,,,,Before that,Against his opponent,Iraq,Is intelligent,Strongly disapprove,,,,White female,45-59,40-49,18-64,,,,,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480832.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404301702976227,Kerry,Leahy,Sanders,Clavelle,Female,White,45-49,Independent,Moderate,"$15,000-$29,999",Worse today,Other Christian,No,During the last month,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Both of them,Civil unions,White female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480849.0,Vermont,11.0,National,1.0,Call 1,Complete,1.02792930603027,Kerry,Leahy,Sanders,Douglas,Male,White,25-29,Something Else,Moderate,"$15,000-$29,999",Worse today,None,No,Before that,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,,,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,All others,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1480898.0,Vermont,41.0,State,1.0,Call 1,Complete,0.511967122554779,Kerry,Leahy,Sanders,Clavelle,Male,White,60-64,Democrat,Liberal,"$30,000-$49,999",Worse today,Jewish,Yes,Before that,Against his opponent,Moral values,Cares about people like me,Somewhat disapprove,Strongly disapprove,Neither of them,Civil unions,White male,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480953.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404801994562149,Kerry,Leahy,Sanders,Clavelle,Male,White,45-49,Independent,Moderate,"$15,000-$29,999",Worse today,Other Christian,Yes,During the last month,Against his opponent,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,Somewhat disapprove,Only John Kerry,Civil unions,White male,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1480980.0,Vermont,11.0,National,1.0,Call 1,Complete,0.747634530067444,Kerry,Leahy,Sanders,Clavelle,Male,White,65-74,Democrat,Liberal,"$30,000-$49,999",Worse today,Protestant,Yes,During the last month,,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,,,White male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,All others,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1481045.0,Vermont,41.0,State,1.0,Call 1,Complete,3.16524720191956,Kerry,Other,Sanders,Douglas,Male,White,50-59,Democrat,Liberal,"$30,000-$49,999",Worse today,Catholic,No,Before that,Against his opponent,Moral values,Cares about people like me,Strongly disapprove,Strongly disapprove,Only John Kerry,Civil unions,White male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481063.0,Vermont,11.0,National,1.0,Call 1,Not complete,0.989081799983978,Bush,McMullen,Parke,Douglas,Male,White,75 or over,,,,,,,Before that,,Taxes,Cares about people like me,Strongly approve,,,,White male,60 or over,65 or over,65 or over,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,All others,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1481150.0,Vermont,41.0,State,1.0,Call 1,Complete,0.465441644191742,Kerry,Leahy,Parke,Douglas,Female,White,50-59,Democrat,Liberal,"$30,000-$49,999",Worse today,Something else,Yes,Before that,Against his opponent,Omit,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,Legally marry,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Married women,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481217.0,Vermont,41.0,State,1.0,Call 1,Complete,0.825635254383087,Kerry,Leahy,Sanders,Clavelle,Female,Black,45-49,Independent,Liberal,"$75,000-$99,999",About the same,Something else,Yes,Before that,Against his opponent,Moral values,Is intelligent,Strongly disapprove,Strongly disapprove,Only John Kerry,Legally marry,Non-white female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Something else,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Married women,Black,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481218.0,Vermont,11.0,National,1.0,Call 1,Complete,0.838837325572968,Kerry,Leahy,Sanders,Clavelle,Male,White,18-24,Democrat,Liberal,,About the same,None,No,Before that,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,,,White male,18-29,18-24,18-64,Democrat,,,None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,All others,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1481303.0,Vermont,41.0,State,1.0,Call 1,Complete,0.573711335659027,Kerry,Leahy,Sanders,Clavelle,Female,White,25-29,Independent,Liberal,"$15,000-$29,999",Better today,None,No,Before that,Against his opponent,Taxes,Is intelligent,Strongly disapprove,Strongly disapprove,Neither of them,Legally marry,White female,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481353.0,Vermont,11.0,National,1.0,Call 1,Complete,0.590408861637115,Kerry,Leahy,Sanders,Clavelle,Female,White,30-39,Democrat,Liberal,"$30,000-$49,999",Worse today,Something else,No,During the last month,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,All others,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1481394.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404301702976227,Kerry,Leahy,Sanders,Clavelle,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Worse today,Protestant,Yes,Just today,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Only John Kerry,Legally marry,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Married women,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481459.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404301702976227,Kerry,Leahy,Sanders,Clavelle,Female,White,30-39,Independent,Moderate,"$15,000-$29,999",About the same,Something else,No,Before that,For your candidate,Terrorism,Is honest and trustworthy,Strongly disapprove,Somewhat disapprove,Only John Kerry,Civil unions,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481510.0,Vermont,11.0,National,1.0,Call 1,Complete,0.680533587932587,Kerry,Leahy,Parke,Douglas,Male,White,30-39,Republican,Moderate,"$75,000-$99,999",Better today,Protestant,No,Before that,,Iraq,Is honest and trustworthy,Strongly disapprove,Somewhat disapprove,,,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,All others,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1481547.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404301702976227,Kerry,Leahy,Sanders,Clavelle,Female,White,30-39,Independent,Liberal,"Under $15,000",Worse today,None,No,Before that,Against his opponent,Health care,Is intelligent,Strongly disapprove,Strongly disapprove,Neither of them,Legally marry,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
