ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESFL04,SENFL04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,CUBAN3,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECFL,COUNTACC,GOTV,CANERESP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,COUNT2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,GOTVBUSH,GOTVKERY,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466554.0,Florida,,National,1.0,,Complete,Phone survey,1.27347350120544,Bush,Did not vote,Female,White,30-39,Democrat,Moderate,No,"$200,000 or more",Better today,Catholic,Once a week,College graduate,No,,,Iraq,Has clear stands on the issues,Somewhat approve,Somewhat disapprove,Less safe from terrorism,,,Somewhat well,,,,,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,College graduate,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,,,,White,English,North,"City: 50,000 to 500,000","City over 50,000",,32607.0
1466555.0,Florida,,National,1.0,,Complete,Phone survey,1.87611997127533,Bush,Martinez,Female,White,50-59,Republican,Moderate,No,"$100,000-$149,999",Better today,Catholic,More than once a week,Some college/associate degree,No,,,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,,,,White,English,North,"City: 10,000 to 49,999",Small cities and Rural,,32444.0
1466556.0,Florida,,National,1.0,,Complete,Phone survey,0.36808380484581,Kerry,Castor,Female,White,45-49,Democrat,Liberal,No,"$75,000-$99,999",Worse today,Protestant,A few times a year,College graduate,No,,,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,,White,English,Miami/Gold Coast,"City: 50,000 to 500,000","City over 50,000",,33139.0
1466557.0,Florida,,National,1.0,,Complete,Phone survey,1.07499921321869,Kerry,Castor,Female,White,65-74,Independent,Moderate,No,"$200,000 or more",Worse today,Catholic,More than once a week,College graduate,No,,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,,,Somewhat badly,,,,,White female,60 or over,65 or over,65 or over,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,,White,English,North,Suburbs,Suburbs,,32034.0
1466558.0,Florida,,National,1.0,,Complete,Phone survey,1.92515790462494,Kerry,Did not vote,Male,,50-59,,,No,,Better today,,Omit,College graduate,,,,Taxes,Omit,Omit,Omit,Omit,,,Omit,,,,,,45-59,50-64,18-64,,,,,,,Omit,Omit,College graduate,Omit,,,Omit,Omit,,,,,,,,,,Central,Suburbs,Suburbs,,32808.0
1466559.0,Florida,,National,1.0,,Complete,Phone survey,1.21489441394806,Kerry,Castor,Male,White,65-74,Independent,Moderate,No,,Worse today,None,A few times a month,Postgraduate study,No,,,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,,White male,60 or over,65 or over,65 or over,Independent,,,None,White None,All others,Occasionally,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,,White,English,Tampa Bay Area,"City: 50,000 to 500,000","City over 50,000",,33756.0
1466560.0,Florida,,National,1.0,,Complete,Phone survey,2.81417989730835,Bush,Martinez,Female,White,50-59,Independent,Conservative,No,,Better today,Protestant,Once a week,High school graduate,No,,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Omit,,,,,White female,45-59,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Omit,,,,,,,,White,English,Tampa Bay Area,"City: 50,000 to 500,000","City over 50,000",,33647.0
1466561.0,Florida,,National,1.0,,Complete,Phone survey,1.45333445072174,Kerry,Castor,Female,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",About the same,None,Never,Some college/associate degree,No,,,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,,White,English,North,Suburbs,Suburbs,,32324.0
1466562.0,Florida,,National,1.0,,Complete,Phone survey,0.622673809528351,Kerry,Castor,Female,Black,65-74,Democrat,Conservative,No,"$15,000-$29,999",Better today,,More than once a week,High school graduate,No,,,Health care,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,,,Omit,,,,,Non-white female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",,All others,All others,Weekly,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Omit,,,,,,,,Black,English,Central,Suburbs,Suburbs,,32808.0
1466563.0,Florida,,National,1.0,,Complete,Phone survey,3.22492098808289,Kerry,Castor,Female,White,18-24,Democrat,Moderate,No,"Under $15,000",Better today,Other Christian,A few times a month,Did not complete high school,No,,,Health care,Is a strong leader,Somewhat approve,Somewhat disapprove,Safer from terrorism,,,Somewhat well,,,,,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,All others,No degree,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,,,,White,English,Tampa Bay Area,Suburbs,Suburbs,,34601.0
