ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESIL04,SENIL04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,UNION4,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,STECIL,OBAMAPRS,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1479489.0,Illinois,95.0,National,1.0,Call 1,Complete,1.24678039550781,Kerry,Obama,Female,Hispanic/Latino,25-29,Democrat,Conservative,"$30,000-$49,999",About the same,None,No one does,Yes,In the last three days,,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,,,,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,,,No one in household is union member,Voter is not union member,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1479579.0,Illinois,95.0,National,1.0,Call 1,Complete,1.45158803462982,Bush,Obama,Male,Hispanic/Latino,25-29,Republican,Conservative,"$30,000-$49,999",Better today,Other Christian,No one does,No,Before that,,Education,Is a strong leader,Strongly approve,Strongly approve,,,,Non-white male,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,No one in household is union member,Voter is not union member,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1479662.0,Illinois,95.0,National,1.0,Call 1,Complete,1.42772042751312,Kerry,Obama,Male,Hispanic/Latino,30-39,Democrat,Moderate,"$75,000-$99,999",Worse today,Catholic,"Yes, I do",Yes,Before that,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,,Non-white male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,Someone in household is union member,Voter is union member,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1479721.0,Illinois,95.0,National,1.0,Call 1,Complete,1.28264033794403,Kerry,Obama,Female,Hispanic/Latino,30-39,Democrat,Conservative,"$30,000-$49,999",Better today,Catholic,No one does,Yes,Before that,,Education,Will bring about needed change,Somewhat disapprove,Strongly disapprove,,,,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,No one in household is union member,Voter is not union member,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1479796.0,Illinois,95.0,National,2.0,Call 1,Complete,1.49333870410919,Bush,Obama,Male,Hispanic/Latino,50-59,Republican,Moderate,"$75,000-$99,999",Better today,Catholic,No one does,Yes,Before that,,Omit,Cares about people like me,Strongly approve,Strongly approve,,,,Non-white male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,No one in household is union member,Voter is not union member,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1479872.0,Illinois,95.0,National,2.0,Call 1,Complete,1.16734898090363,Kerry,Obama,Female,Black,30-39,Democrat,Liberal,"Under $15,000",Worse today,Other Christian,No one does,No,Before that,,Economy/Jobs,Cares about people like me,Strongly disapprove,Somewhat approve,,,,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,No one in household is union member,Voter is not union member,Black,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1479926.0,Illinois,95.0,National,2.0,Call 1,Complete,1.24678039550781,Kerry,Obama,Female,Hispanic/Latino,18-24,Something Else,Moderate,"$50,000-$74,999",Better today,None,"Yes, someone else does",Yes,Before that,,Moral values,Is intelligent,Strongly disapprove,Strongly disapprove,,,,Non-white female,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,Someone in household is union member,Voter is not union member,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1479999.0,Illinois,95.0,National,3.0,Call 1,Complete,1.42772042751312,Kerry,Obama,Male,Hispanic/Latino,50-59,Democrat,Moderate,"Under $15,000",,Catholic,,Yes,,Omit,,,,,,,,Non-white male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,,,,,,,,,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1480068.0,Illinois,95.0,National,3.0,Call 1,Complete,1.38780438899994,Kerry,Obama,Male,Hispanic/Latino,18-24,Independent,Moderate,"$15,000-$29,999",,Catholic,,Yes,,Against his opponent,,,,,,,,Non-white male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Catholic,All others,All others,,,,,,,,,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
1480135.0,Illinois,95.0,National,3.0,Call 1,Complete,1.24678039550781,Kerry,Obama,Female,Hispanic/Latino,25-29,Democrat,Moderate,"$30,000-$49,999",,Catholic,,Yes,,For your candidate,,,,,,,,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,,,,,,,,,Hispanic/Latino,Chicago,"City over 500,000","City over 50,000",4.0,60623.0
