ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESNY04,SENNY04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,UNION4,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,TERRWORR,STECNY,HRCPRES,RUDYPRES,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,TERWORR2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1472122.0,New York,75.0,National,1.0,Call 1,Complete,1.18182027339935,Kerry,Schumer,Female,Asian,25-29,Democrat,Liberal,Yes,"$30,000-$49,999",About the same,Something else,Postgraduate study,No one does,No,During the last month,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Something else,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,Asian,English,New York City,"City over 500,000","City over 50,000",7.0,11377.0
1535112.0,New York,89.0,State,1.0,Call 3,Complete,0.782201588153839,Kerry,Schumer,Male,Black,40-44,Democrat,Liberal,No,"$30,000-$49,999",Better today,Jewish,High school graduate,"Yes, I do",No,Just today,Against his opponent,Taxes,Cares about people like me,Strongly approve,Strongly disapprove,Less safe from terrorism,Neither of them,Only John Kerry,Very well,Very worried,Excellent,Yes,No,Non-white male,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Jewish,All others,All others,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Very/Somewhat well,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,Someone in household is union member,Voter is union member,Black,English,Lower Hudson Valley,Suburbs,Suburbs,18.0,10956.0
1472120.0,New York,32.0,National,4.0,Call 1,Complete,2.3733243942260698,Kerry,Schumer,Male,Black,30-39,Democrat,Moderate,,"$30,000-$49,999",,,High school graduate,"Yes, I do",No,Before that,,,,,,,Only John Kerry,Only John Kerry,,Very worried,,,,Non-white male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",,,,No degree,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,Black,English,New York City,"City over 500,000","City over 50,000",12.0,11208.0
1502448.0,New York,7.0,State,1.0,Call 2,Complete,0.857262551784515,Kerry,Did not vote,Male,White,18-24,Independent,Liberal,No,"$15,000-$29,999",Worse today,None,College graduate,No one does,No,During the last month,Against his opponent,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Somewhat worried,Good,Yes,No,White male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,White,English,New York City,"City over 500,000","City over 50,000",17.0,10471.0
1502446.0,New York,23.0,National,1.0,Call 2,Complete,1.14302206039429,Kerry,Schumer,Female,Black,30-39,Democrat,Moderate,No,"$75,000-$99,999",About the same,Something else,High school graduate,No one does,No,During the last month,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,Black,English,Upstate Urban,Suburbs,Suburbs,26.0,14228.0
1504778.0,New York,68.0,State,1.0,Call 2,Not complete,0.636726200580597,Bush,Schumer,Male,White,40-44,,,,,,,,,No,Before that,For your candidate,Taxes,Has clear stands on the issues,Somewhat approve,,,,,,Somewhat worried,Not so good,,,White male,30-44,40-49,18-64,,,,,,All others,,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,,,,,,,White,English,Upstate Urban,Suburbs,Suburbs,24.0,13413.0
1476883.0,New York,104.0,National,2.0,Call 1,Complete,0.831973671913147,Kerry,Schumer,Female,White,65-74,Independent,Moderate,No,"$50,000-$74,999",About the same,Protestant,College graduate,No one does,,During the last month,,Health care,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,,,Somewhat badly,,,,,White female,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,,Lower Hudson Valley,Rural,Small cities and Rural,22.0,12561.0
1472114.0,New York,33.0,State,1.0,Call 1,Complete,0.397729516029358,Kerry,Schumer,Female,Black,30-39,Democrat,Liberal,No,"$100,000-$149,999",Better today,Catholic,College graduate,No one does,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Very worried,Not so good,Yes,No,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Black,English,New York City,"City over 500,000","City over 50,000",11.0,11212.0
1472730.0,New York,84.0,National,3.0,Call 1,Complete,0.684928894042969,Kerry,Schumer,Female,White,45-49,Independent,Moderate,,"$75,000-$99,999",,Jewish,,,No,,For your candidate,,,,,,,,,,,,,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,,,,,,,,,,,,,,White,English,New York City,"City over 500,000","City over 50,000",13.0,10303.0
1504774.0,New York,15.0,State,1.0,Call 2,Complete,0.880667746067047,Kerry,Schumer,Male,White,60-64,Democrat,Conservative,No,"$75,000-$99,999",Better today,Protestant,High school graduate,"Yes, I do",No,During the last month,Omit,Taxes,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,Not too worried,Excellent,Yes,No,White male,60 or over,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Not too/Not at all worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,White,English,Rural Upstate,Suburbs,Suburbs,27.0,14136.0
