ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESMT04,HOUMT04,GOVMT04,CI96MT,I148MT,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,QRACEAI,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1489748.0,Montana,49.0,National,4.0,Call 1,Complete,0.688863217830658,Kerry,Rehberg,Schweitzer,Yes,Yes,Male,White,65-74,Republican,Moderate,"$50,000-$74,999",,,,In the last three days,,,,White male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","Under $100,000",,,,,,Just today/In the last three days,Just today/In the last three days/Sometime last week,,White,Urban west,Suburbs,Suburbs,1.0,59823.0
1490156.0,Montana,49.0,National,4.0,Call 1,Complete,0.518207430839539,Kerry,Rehberg,Schweitzer,No,Yes,Female,White,18-24,Democrat,Liberal,"Under $15,000",,,,Before that,,,,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,White,Urban west,Suburbs,Suburbs,1.0,59823.0
1490293.0,Montana,49.0,National,4.0,Call 1,Complete,0.605288088321686,Bush,Rehberg,Brown,Yes,Yes,Female,White,40-44,Republican,Conservative,"$50,000-$74,999",,,,Just today,,,,White female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",,,,,,Just today/In the last three days,Just today/In the last three days/Sometime last week,,White,Urban west,Suburbs,Suburbs,1.0,59823.0
1490434.0,Montana,69.0,State,1.0,Call 1,Complete,1.87358522415161,Kerry,Rehberg,Schweitzer,Yes,Yes,Female,White,45-49,Independent,Conservative,"$50,000-$74,999",About the same,Catholic,,During the last month,Against his opponent,Strongly disapprove,Strongly disapprove,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,East,"City: 50,000 to 500,000","City over 50,000",1.0,59102.0
1490444.0,Montana,49.0,National,4.0,Call 1,Complete,0.919395446777344,Kerry,Velazquez,Schweitzer,No,No,Female,White,30-39,Democrat,Liberal,"$50,000-$74,999",,,,Before that,,,,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,White,Urban west,Suburbs,Suburbs,1.0,59823.0
1490536.0,Montana,10.0,State,1.0,Call 1,Complete,0.460025906562805,Bush,Rehberg,Brown,Yes,No,Female,White,50-59,Republican,Moderate,"$150,000-$199,999",Better today,Protestant,No,Before that,For your candidate,Somewhat approve,Somewhat disapprove,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,East,Rural,Small cities and Rural,1.0,59330.0
1490584.0,Montana,49.0,National,4.0,Call 1,Complete,0.605288088321686,Bush,Rehberg,Brown,Yes,Yes,Female,White,45-49,Independent,Moderate,"$75,000-$99,999",,,,Before that,,,,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,White,Urban west,Suburbs,Suburbs,1.0,59823.0
1490609.0,Montana,10.0,State,1.0,Call 1,Complete,0.521258115768433,Bush,Rehberg,Brown,Yes,No,Male,White,50-59,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,East,Rural,Small cities and Rural,1.0,59330.0
1490686.0,Montana,10.0,State,1.0,Call 1,Complete,0.460025906562805,Bush,Rehberg,Brown,Yes,No,Female,White,30-39,Republican,Moderate,"$50,000-$74,999",Better today,Other Christian,Yes,Before that,For your candidate,Strongly approve,Somewhat approve,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,East,Rural,Small cities and Rural,1.0,59330.0
1490702.0,Montana,69.0,State,1.0,Call 1,Complete,0.769476294517517,Bush,Rehberg,Brown,Yes,No,Male,White,45-49,Republican,Conservative,,Better today,Protestant,Yes,Before that,For your candidate,Strongly approve,Somewhat approve,White male,45-59,40-49,18-64,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,East,"City: 50,000 to 500,000","City over 50,000",1.0,59102.0
