ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESMD04,SENMD04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,UNION4,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,TERRWORR,COUNTACC,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,TERWORR2,COUNT2,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1516449.0,Maryland,48.0,State,1.0,Call 2,Complete,1.32033407688141,Kerry,Mikulski,Male,Black,45-49,Independent,Conservative,"$15,000-$29,999",Worse today,Other Christian,"Yes, I do",Before that,Against his opponent,Omit,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,Somewhat worried,Not very confident,Non-white male,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Not very/Not at all confident,Only Kerry/Neither,Only Bush/Neither,Someone in household is union member,Voter is union member,Black,Baltimore city,"City over 500,000","City over 50,000",3.0,21211.0
1502146.0,Maryland,14.0,State,1.0,Call 2,Complete,1.03555357456207,Kerry,Mikulski,Male,Black,25-29,Independent,Moderate,"$15,000-$29,999",About the same,Other Christian,No one does,In the last three days,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Neither of them,Somewhat worried,Very confident,Non-white male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Very/Somewhat worried,Very/somewhat confident,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Black,Suburban Baltimore,Suburbs,Suburbs,5.0,21037.0
1481452.0,Maryland,7.0,National,2.0,Call 1,Complete,0.553345739841461,Kerry,Mikulski,Female,White,60-64,Independent,Liberal,"$75,000-$99,999",About the same,Something else,No one does,Before that,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,,White female,60 or over,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,,No one in household is union member,Voter is not union member,White,Suburban Baltimore,Suburbs,Suburbs,3.0,21032.0
1536076.0,Maryland,63.0,National,1.0,Call 3,Complete,0.974017202854156,Kerry,Mikulski,Female,Black,30-39,Democrat,Conservative,"$50,000-$74,999",About the same,Other Christian,"Yes, I do",Before that,,Taxes,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,,Someone in household is union member,Voter is union member,Black,Rest of state,Suburbs,Suburbs,5.0,20616.0
1530435.0,Maryland,48.0,State,1.0,Call 3,Complete,1.28797125816345,Kerry,Mikulski,Female,Black,18-24,Democrat,Conservative,"Under $15,000",Worse today,Something else,"Yes, I do",Before that,Against his opponent,Terrorism,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Only John Kerry,Very worried,Very confident,Non-white female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Something else,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,Black,Baltimore city,"City over 500,000","City over 50,000",3.0,21211.0
1502433.0,Maryland,63.0,National,3.0,Call 2,Complete,0.952168643474579,Kerry,Mikulski,Male,White,45-49,Democrat,Moderate,"$30,000-$49,999",,Catholic,,,Against his opponent,,,,,,,Very confident,White male,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,,,,,,Very/somewhat confident,,,,,White,Rest of state,Suburbs,Suburbs,5.0,20616.0
1502431.0,Maryland,73.0,National,2.0,Call 2,Complete,0.985031306743622,Kerry,Mikulski,Male,White,18-24,Democrat,Liberal,"Under $15,000",Better today,Other Christian,No one does,During the last month,,Moral values,Will bring about needed change,Somewhat approve,Strongly approve,,,,White male,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,,,No one in household is union member,Voter is not union member,White,Suburban Baltimore,Suburbs,Suburbs,1.0,21015.0
1502122.0,Maryland,73.0,National,1.0,Call 2,Complete,1.02789926528931,,Pipkin,Male,Hispanic/Latino,75 or over,Republican,Liberal,"$50,000-$74,999",Better today,Other Christian,No one does,Before that,,Moral values,Has clear stands on the issues,Strongly approve,Strongly approve,,,,Non-white male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,,,No one in household is union member,Voter is not union member,Black,Suburban Baltimore,Suburbs,Suburbs,1.0,21015.0
1499859.0,Maryland,43.0,State,1.0,Call 2,Complete,0.781119823455811,Kerry,,Female,Asian,25-29,Democrat,Liberal,"$15,000-$29,999",About the same,Catholic,No one does,Before that,For your candidate,Health care,Is intelligent,Strongly disapprove,Strongly disapprove,Only John Kerry,Not too worried,Very confident,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Not too/Not at all worried,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Asian,Baltimore city,"City over 500,000","City over 50,000",3.0,21211.0
1500089.0,Maryland,134.0,National,1.0,Call 2,Complete,0.825318038463593,Bush,Pipkin,Female,White,50-59,Republican,Conservative,"$100,000-$149,999",Better today,Protestant,No one does,Before that,,Terrorism,Has strong religious faith,Strongly approve,Strongly approve,,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,,,No one in household is union member,Voter is not union member,White,Rest of state,Suburbs,Suburbs,6.0,21795.0
1530416.0,Maryland,31.0,State,1.0,Call 3,Complete,0.812477588653564,Bush,Pipkin,Female,White,50-59,Republican,,,Better today,Protestant,No one does,In the last three days,For your candidate,Terrorism,Has clear stands on the issues,Somewhat approve,Somewhat approve,Only George W. Bush,Somewhat worried,Somewhat confident,White female,45-59,50-64,18-64,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat worried,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,White,Suburban Baltimore,"City: 50,000 to 500,000","City over 50,000",3.0,21204.0
1516417.0,Maryland,48.0,State,1.0,Call 2,Complete,1.20916378498077,Kerry,Mikulski,Female,Black,50-59,Democrat,Conservative,"Under $15,000",Worse today,Other Christian,No one does,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Not too worried,Somewhat confident,Non-white female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Not too/Not at all worried,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Black,Baltimore city,"City over 500,000","City over 50,000",3.0,21211.0
