ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESNM04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,MARRIED,SPANISH,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECNM,LANDBUSH,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,WOMENWED,QRACEAI,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466648.0,New Mexico,,National,1.0,,Complete,Phone survey,0.747418284416199,Nader,Male,White,30-39,Republican,Conservative,No,"$100,000-$149,999",Better today,Other Christian,More than once a week,College graduate,Yes,,,,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White male,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,,South/East,"City: 50,000 to 500,000","City over 50,000",,88011.0
1466649.0,New Mexico,,National,1.0,,Complete,Phone survey,2.81067037582397,Kerry,Female,White,,Independent,Liberal,No,,About the same,Something else,A few times a year,High school graduate,,,,,Terrorism,Is intelligent,Omit,Somewhat disapprove,Safer from terrorism,,,Somewhat well,,,,White female,,,,Independent,,,Something else,White Something else,All others,Occasionally,All others,No degree,Omit,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,All others,White,,Albuquerque area,Suburbs,Suburbs,,87124.0
1466650.0,New Mexico,,National,1.0,,Complete,Phone survey,2.07138466835022,Bush,Male,Black,50-59,Independent,Liberal,No,"Under $15,000",Worse today,Protestant,A few times a month,High school graduate,No,,,,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat disapprove,Safer from terrorism,,,Somewhat badly,,,,Non-white male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,Black,,South/East,"City: 10,000 to 49,999",Small cities and Rural,,88201.0
1466651.0,New Mexico,,National,1.0,,Complete,Phone survey,2.83522725105286,Kerry,Female,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",Worse today,,Never,Some college/associate degree,Yes,,,,Health care,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",,,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,White,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87532.0
1466652.0,New Mexico,,National,1.0,,Complete,Phone survey,3.11620879173279,Bush,Female,White,50-59,Independent,Conservative,No,,About the same,Protestant,Once a week,College graduate,No,,,,Omit,Omit,Strongly approve,Strongly approve,Less safe from terrorism,,,Somewhat well,,,,White female,45-59,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87112.0
1466653.0,New Mexico,,National,1.0,,Complete,Phone survey,1.6813805103302,Bush,Female,White,45-49,Independent,Conservative,No,"$50,000-$74,999",About the same,None,A few times a year,College graduate,Yes,,,,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Occasionally,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,,South/East,"City: 50,000 to 500,000","City over 50,000",,88005.0
1466654.0,New Mexico,,National,1.0,,Complete,Phone survey,0.742740333080292,Nader,Male,Hispanic/Latino,30-39,Independent,Conservative,No,"$100,000-$149,999",About the same,Something else,More than once a week,College graduate,Yes,,,,Economy/Jobs,Cares about people like me,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat well,,,,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Something else,All others,All others,Weekly,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,All others,American Indian,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87701.0
1466655.0,New Mexico,,National,1.0,,Complete,Phone survey,0.712127685546875,Nader,Female,White,30-39,Democrat,Liberal,No,,About the same,Something else,Never,College graduate,Yes,,,,Moral values,Will bring about needed change,Strongly disapprove,Somewhat approve,Omit,,,Very well,,,,White female,30-44,30-39,18-64,Democrat,,,Something else,White Something else,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,,Northwest,Rural,Small cities and Rural,,87514.0
1466656.0,New Mexico,,National,1.0,,Complete,Phone survey,3.11620879173279,Bush,Female,White,30-39,Independent,Conservative,No,"$30,000-$49,999",Better today,Protestant,More than once a week,Some college/associate degree,Yes,,,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87020.0
1466657.0,New Mexico,,National,1.0,,Complete,Phone survey,2.14447951316834,Kerry,Female,White,75 or over,Democrat,Liberal,No,"Under $15,000",Worse today,None,Never,High school graduate,Yes,,,,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very well,,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,Married women,White,,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87112.0
